# Demand.ninja degree days (daily data 1980-2022)  -  demand_ninja_CN_BAIT - Version 1.0
# License: https://creativecommons.org/licenses/by-nc/4.0/  -  Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: date in local timezone; other columns are the population-weighted building adjusted internal temperature in degrees centigrade; column names signify country ISO2 code or GADM level1 code.  Calculated with global average model parameters

"date","CN","CN.AH","CN.BJ","CN.CQ","CN.FJ","CN.GD","CN.GS","CN.GX","CN.GZ","CN.HA","CN.HB","CN.HE","CN.HL","CN.HN","CN.HU","CN.JL","CN.JS","CN.JX","CN.LN","CN.NM","CN.NX","CN.QH","CN.SA","CN.SC","CN.SD","CN.SH","CN.SX","CN.TJ","CN.XJ","CN.XZ","CN.YN","CN.ZJ"
1980-01-01,2.567,0.521,-5.997,4.14,14.753,18.105,-4.909,18.302,7.57,21.387,-4.696,-2.435,-17.204,2.912,0.056,-9.951,3.63,8.595,-6.049,-11.029,-5.56,-9.529,-3.186,3.62,-1.354,10.373,-7.299,-3.464,-7.14,-10.663,8.612,11.047
1980-01-02,2.858,0.679,-4.684,4.258,15.233,18.474,-5.745,18.458,7.498,21.465,-3.681,-0.975,-15.777,2.4,0.331,-8.696,3.606,7.872,-4.73,-11.666,-6.106,-10.245,-2.673,3.904,-0.776,9.231,-6.409,-2.858,-8.134,-11.15,8.715,10.118
1980-01-03,2.139,0.664,-5.431,3.979,14.85,18.461,-6.851,17.417,5.963,21.229,-4.087,-0.181,-18.858,1.758,0.814,-13.336,3.005,6.381,-8.384,-14.762,-7.299,-11.331,-2.83,3.715,-0.573,7.163,-6.634,-3.471,-8.812,-11.771,8.825,7.972
1980-01-04,0.578,-0.078,-7.095,3.295,12.616,15.582,-6.95,12.439,3.436,20.776,-5.558,-0.244,-23.399,1.476,0.908,-18.08,1.589,4.339,-11.46,-16.886,-7.777,-12.128,-2.993,3.185,-1.538,5.487,-7.926,-5.521,-8.676,-12.102,8.394,5.337
1980-01-05,-0.093,-0.321,-7.131,2.829,9.752,13.197,-6.91,9.973,2.684,18.506,-5.482,-0.034,-25.487,2.161,1.132,-18.468,0.491,3.79,-10.693,-16.737,-7.863,-12.392,-2.7,2.705,-1.651,3.435,-7.781,-5.677,-8.48,-12.655,7.926,3.146
1980-01-06,-0.297,0.236,-7.489,3.141,9.173,12.732,-7.976,8.78,2.263,19.02,-5.743,0.074,-27.809,2.766,1.895,-19.776,0.779,3.832,-11.31,-18.294,-9.234,-13.922,-3.257,2.713,-1.623,4.028,-9.141,-5.637,-8.349,-12.666,7.534,3.768
1980-01-07,-0.446,0.427,-6.297,3.341,7.888,11.772,-7.185,8.526,2.099,17.543,-5.02,0.137,-29.096,3.322,2.199,-21.682,0.625,3.614,-11.331,-18.096,-8.671,-13.949,-2.691,2.713,-1.519,3.118,-8.654,-4.904,-7.493,-13.015,6.086,2.835
1980-01-08,0.23,1.186,-5.509,4.072,7.977,12.049,-5.45,9.301,3.236,18.125,-4.356,0.714,-28.614,3.973,2.928,-20.071,1.083,3.745,-9.775,-17.517,-7.279,-13.748,-1.183,3.25,-1.213,3.643,-7.691,-3.644,-6.129,-12.438,6.895,3.35
1980-01-09,0.753,2.465,-5.577,4.947,8.578,12.758,-3.85,10.067,4.428,18.191,-4.841,1.249,-28.897,5.13,3.889,-19.939,1.937,4.59,-11.178,-17.981,-5.985,-11.63,-0.131,3.819,-0.992,4.353,-7.142,-4.247,-5.627,-11.261,6.924,4.261
1980-01-10,0.432,2.023,-7.585,5.061,8.909,13.452,-5.355,11.904,5.285,19.013,-6.52,-0.283,-28.304,6.163,3.271,-21.83,1.582,5.592,-13.6,-18.759,-8.311,-10.675,-2.02,3.961,-2.478,4.867,-8.171,-6.01,-5.651,-10.753,7.708,5.075
1980-01-11,0.509,1.456,-8.259,4.417,9.523,14.771,-6.785,13.589,5.071,20.154,-6.675,-0.683,-26.392,4.537,2.299,-19.343,1.643,6.019,-11.98,-17.829,-9.627,-11.093,-3.324,3.736,-2.948,5.355,-8.634,-6.666,-6.24,-11.376,7.826,5.703
1980-01-12,0.815,1.018,-6.363,4.369,10.91,14.989,-6.729,12.625,4.369,20.939,-4.913,0.199,-26.043,2.789,2.456,-17.795,1.667,4.809,-10.581,-16.84,-9.261,-11.416,-2.988,3.881,-1.823,5.617,-8.125,-4.718,-7.201,-11.063,7.867,5.864
1980-01-13,0.522,1.438,-5.72,4.132,9.989,12.8,-6.876,10.258,3.1,19.886,-4.246,1.027,-26.172,1.957,2.888,-17.91,1.606,4.152,-10.823,-16.425,-8.241,-12.151,-2.421,3.816,-1.049,4.511,-7.869,-3.937,-7.507,-11.049,7.523,4.51
1980-01-14,0.431,1.917,-5.814,4.345,8.943,11.639,-6.173,8.912,2.677,18.206,-4.361,1.421,-26.321,2.715,3.783,-17.808,1.776,4.207,-11.122,-16.257,-7.785,-12.35,-1.781,4.02,-1.141,4.279,-8.087,-4.044,-7.013,-11.262,6.686,4.221
1980-01-15,0.685,2.758,-5.554,4.94,8.202,11.629,-5.054,9.249,3.37,17.617,-3.895,2.051,-29.172,4.644,4.764,-20.504,2.052,5.358,-12.091,-16.855,-6.958,-11.878,-0.779,4.132,-1.044,4.111,-7.557,-3.542,-6.361,-11.507,6.592,4.934
1980-01-16,1.298,3.945,-5.771,4.544,8.804,12.821,-3.622,10.017,3.634,19.001,-4.065,2.486,-28.865,5.773,5.513,-22.852,3.274,6.343,-13.907,-16.816,-5.595,-11.215,0.13,4.573,-0.454,6.213,-6.194,-4.143,-6.222,-11.346,7.15,6.564
1980-01-17,1.133,3.382,-6.941,5.062,9.269,13.502,-4.148,10.806,4.476,19.432,-5.465,1.142,-25.487,6.134,5.853,-22.884,2.484,6.896,-15.259,-15.73,-5.36,-10.579,0.474,4.443,-1.949,5.356,-5.755,-5.654,-7.126,-10.62,7.389,6.133
