# Demand.ninja degree days (daily data 1980-2022)  -  demand_ninja_CN_CDD - Version 1.0
# License: https://creativecommons.org/licenses/by-nc/4.0/  -  Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: date in local timezone; other columns are the population-weighted cooling degree days; column names signify country ISO2 code or GADM level1 code.  Calculated with global average model parameters

"date","CN","CN.AH","CN.BJ","CN.CQ","CN.FJ","CN.GD","CN.GS","CN.GX","CN.GZ","CN.HA","CN.HB","CN.HE","CN.HL","CN.HN","CN.HU","CN.JL","CN.JS","CN.JX","CN.LN","CN.NM","CN.NX","CN.QH","CN.SA","CN.SC","CN.SD","CN.SH","CN.SX","CN.TJ","CN.XJ","CN.XZ","CN.YN","CN.ZJ"
1980-01-01,0.055,0,0,0,0.001,0.305,0,0.48,0,1.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-02,0.066,0,0,0,0.007,0.394,0,0.579,0,1.771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
1980-01-03,0.067,0,0,0,0.004,0.444,0,0.5,0,1.593,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
1980-01-04,0.015,0,0,0,0,0.063,0,0.01,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-05,0.002,0,0,0,0,0.001,0,0,0,0.343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-06,0.004,0,0,0,0,0.004,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-07,0.001,0,0,0,0,0,0,0,0,0.157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-08,0.002,0,0,0,0,0.002,0,0,0,0.265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-09,0.002,0,0,0,0,0.003,0,0,0,0.276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-10,0.005,0,0,0,0,0.017,0,0.003,0,0.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-11,0.012,0,0,0,0,0.054,0,0.034,0,0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-12,0.019,0,0,0,0,0.1,0,0.017,0,1.396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-13,0.006,0,0,0,0,0.006,0,0,0,0.822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-14,0.002,0,0,0,0,0,0,0,0,0.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-15,0.001,0,0,0,0,0,0,0,0,0.183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-16,0.004,0,0,0,0,0.01,0,0.002,0,0.502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-17,0.006,0,0,0,0,0.013,0,0.003,0,0.666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-18,0.006,0,0,0,0,0.007,0,0.003,0,0.741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-19,0.008,0,0,0,0,0.019,0,0.006,0,0.893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-20,0.007,0,0,0,0,0.011,0,0.001,0,0.824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-21,0.004,0,0,0,0,0.003,0,0,0,0.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-22,0.003,0,0,0,0,0.002,0,0,0,0.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-23,0.007,0,0,0,0,0.017,0,0.004,0,0.701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-24,0.011,0,0,0,0,0.046,0,0.026,0,0.847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-25,0.021,0,0,0,0,0.129,0,0.065,0,1.044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
1980-01-26,0.049,0,0,0,0,0.389,0,0.154,0,1.438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-27,0.07,0,0,0,0.001,0.536,0,0.263,0,1.985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-28,0.159,0,0,0,0.007,1.193,0,0.902,0,3.417,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-29,0.048,0,0,0,0.034,0.281,0,0.045,0,2.948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-30,0.004,0,0,0,0,0.001,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-01-31,0,0,0,0,0,0,0,0,0,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-02-01,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-02-02,0.001,0,0,0,0,0,0,0,0,0.133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-02-03,0.003,0,0,0,0,0.001,0,0,0,0.451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
1980-02-04,0.007,0,0,0,0,0.002,0,0,0,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
1980-02-05,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
1980-02-06,0.001,0,0,0,0,0,0,0,0,0.128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
1980-02-07,0.001,0,0,0,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0
1980-02-08,0,0,0,0,0,0,0,0,0,0.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
1980-02-09,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-02-10,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
1980-02-11,0.001,0,0,0,0,0,0,0,0,0.088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0
1980-02-12,0.001,0,0,0,0,0,0,0,0,0.102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-02-13,0.002,0,0,0,0,0.001,0,0,0,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-02-14,0.003,0,0,0,0,0.003,0,0,0,0.344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
1980-02-15,0.002,0,0,0,0,0.001,0,0,0,0.321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
1980-02-16,0.004,0,0,0,0,0.006,0,0.003,0,0.477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0
1980-02-17,0.01,0,0,0,0,0.022,0,0.023,0,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0
1980-02-18,0.032,0,0,0,0,0.15,0,0.165,0,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004,0
1980-02-19,0.08,0,0,0,0.002,0.545,0,0.493,0,2.197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0
1980-02-20,0.098,0,0,0,0,0.701,0,0.588,0,2.373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0
1980-02-21,0.048,0,0,0,0,0.309,0,0.152,0,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0
1980-02-22,0.025,0,0,0,0,0.1,0,0.074,0,1.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021,0
1980-02-23,0.033,0,0,0,0,0.145,0,0.115,0,2.301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0
1980-02-24,0.055,0,0,0,0,0.308,0,0.216,0,2.903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027,0
1980-02-25,0.097,0,0,0,0,0.466,0,0.893,0,3.634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.036,0
1980-02-26,0.13,0,0,0,0.027,0.8,0,1.07,0,3.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0
1980-02-27,0.036,0,0,0,0,0.186,0,0.173,0,1.937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0
1980-02-28,0.028,0,0,0,0,0.108,0,0.101,0,2.113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0
1980-02-29,0.115,0,0,0,0,0.574,0,1.131,0.004,3.526,0,0,0,0.019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0
1980-03-01,0.256,0,0,0,0.036,1.718,0,2.049,0.002,4.775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062,0
1980-03-02,0.292,0,0,0,0,1.963,0,2.411,0.006,5.163,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.077,0
1980-03-03,0.279,0,0,0,0.02,1.794,0,2.53,0.009,4.778,0,0,0,0.011,0,0,0,0.022,0,0,0,0,0,0,0,0,0,0,0,0,0.041,0
1980-03-04,0.322,0,0,0,0.051,2.403,0,2.156,0.001,5.273,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0
1980-03-05,0.167,0,0,0,0.004,1.1,0,0.944,0,5.511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025,0
1980-03-06,0.262,0,0,0,0.001,1.807,0,1.881,0,5.702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0
1980-03-07,0.345,0,0,0,0.097,2.487,0,2.439,0.004,5.795,0,0,0,0.004,0,0,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0.052,0
1980-03-08,0.435,0,0,0,0.255,3.228,0,2.898,0.002,6.001,0,0,0,0.01,0,0,0,0.089,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0
1980-03-09,0.235,0,0,0,0.146,1.759,0,1.071,0,5.511,0,0,0,0,0,0,0,0.001,0,0,0,0,0,0,0,0,0,0,0,0,0.059,0
1980-03-10,0.211,0,0,0.001,0.004,1.212,0,1.826,0.003,5.605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0
1980-03-11,0.266,0,0,0,0.006,1.419,0,2.885,0.032,5.219,0,0,0,0.001,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0,0.228,0
1980-03-12,0.218,0,0,0,0,1.08,0,2.396,0.055,4.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.299,0
1980-03-13,0.193,0,0,0,0.001,0.922,0,2.086,0.066,4.236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32,0
1980-03-14,0.125,0,0,0,0.003,0.718,0,0.67,0,4.288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.289,0
1980-03-15,0.054,0,0,0,0,0.203,0,0.137,0,3.536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.209,0
1980-03-16,0.104,0,0,0,0,0.614,0,0.546,0,3.907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.144,0
1980-03-17,0.244,0,0,0,0.109,1.658,0,1.645,0.014,4.487,0,0,0,0.028,0,0,0,0.061,0,0,0,0,0,0,0,0,0,0,0,0,0.166,0
1980-03-18,0.347,0,0,0,0.192,2.598,0,2.203,0.003,4.768,0,0,0,0,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0,0,0.165,0
