# Demand.ninja degree days (daily data 1980-2022)  -  demand_ninja_CN_HDD - Version 1.0
# License: https://creativecommons.org/licenses/by-nc/4.0/  -  Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: date in local timezone; other columns are the population-weighted heating degree days; column names signify country ISO2 code or GADM level1 code.  Calculated with global average model parameters

"date","CN","CN.AH","CN.BJ","CN.CQ","CN.FJ","CN.GD","CN.GS","CN.GX","CN.GZ","CN.HA","CN.HB","CN.HE","CN.HL","CN.HN","CN.HU","CN.JL","CN.JS","CN.JX","CN.LN","CN.NM","CN.NX","CN.QH","CN.SA","CN.SC","CN.SD","CN.SH","CN.SX","CN.TJ","CN.XJ","CN.XZ","CN.YN","CN.ZJ"
1980-01-01,12.054,13.47,19.988,9.851,0.621,0.047,18.9,0.235,6.509,0,18.687,16.426,31.195,11.102,13.935,23.942,10.361,5.59,20.04,25.02,19.551,23.52,17.177,10.371,15.345,3.632,21.291,17.455,21.131,24.654,5.553,3.092
1980-01-02,11.81,13.312,18.675,9.733,0.491,0.041,19.736,0.293,6.58,0,17.672,14.966,29.768,11.609,13.66,22.687,10.385,6.24,18.721,25.657,20.097,24.236,16.664,10.087,14.767,4.761,20.4,16.849,22.125,25.142,5.463,4.023
1980-01-03,12.499,13.327,19.422,10.012,0.689,0.142,20.842,0.729,8.046,0,18.078,14.172,32.849,12.233,13.177,27.327,10.986,7.637,22.376,28.753,21.29,25.322,16.821,10.276,14.564,6.828,20.625,17.462,22.803,25.762,5.376,6.053
1980-01-04,13.72,14.069,21.086,10.696,2.099,0.705,20.941,2.514,10.555,0,19.549,14.235,37.39,12.515,13.083,32.071,12.402,9.652,25.451,30.877,21.768,26.119,16.984,10.806,15.529,8.504,21.917,19.512,22.667,26.093,5.759,8.654
1980-01-05,14.195,14.312,21.122,11.162,4.344,1.569,20.901,4.179,11.307,0.008,19.473,14.026,39.478,11.83,12.859,32.459,13.5,10.202,24.684,30.728,21.854,26.383,16.691,11.286,15.642,10.556,21.772,19.668,22.471,26.646,6.161,10.846
1980-01-06,14.393,13.755,21.48,10.85,4.92,1.959,21.967,5.283,11.728,0.003,19.734,13.917,41.8,11.225,12.096,33.767,13.212,10.159,25.301,32.285,23.225,27.913,17.248,11.278,15.614,9.963,23.132,19.628,22.34,26.657,6.565,10.223
1980-01-07,14.493,13.564,20.288,10.65,6.123,2.535,21.176,5.502,11.892,0.03,19.011,13.854,43.087,10.669,11.792,35.673,13.366,10.377,25.322,32.087,22.662,27.94,16.682,11.278,15.51,10.873,22.645,18.895,21.484,27.006,7.953,11.156
1980-01-08,13.834,12.805,19.5,9.919,6.028,2.389,19.441,4.794,10.755,0.016,18.347,13.277,42.605,10.018,11.063,34.062,12.908,10.246,23.766,31.508,21.271,27.739,15.174,10.741,15.204,10.349,21.682,17.635,20.12,26.429,7.141,10.641
1980-01-09,13.335,11.526,19.568,9.044,5.452,1.916,17.841,4.096,9.563,0.013,18.832,12.742,42.888,8.861,10.102,33.93,12.054,9.401,25.17,31.972,19.976,25.621,14.122,10.172,14.983,9.638,21.133,18.238,19.619,25.252,7.097,9.73
1980-01-10,13.698,11.969,21.576,8.93,5.133,1.496,19.346,2.589,8.706,0.003,20.511,14.274,42.295,7.828,10.72,35.821,12.409,8.399,27.591,32.75,22.302,24.666,16.011,10.03,16.469,9.124,22.162,20.001,19.642,24.745,6.344,8.916
1980-01-11,13.72,12.535,22.251,9.574,4.564,0.876,20.776,1.712,8.92,0,20.666,14.674,40.383,9.454,11.692,33.334,12.348,7.972,25.971,31.82,23.618,25.084,17.315,10.255,16.939,8.636,22.625,20.657,20.231,25.367,6.246,8.289
1980-01-12,13.444,12.973,20.354,9.622,3.438,0.986,20.72,2.317,9.622,0,18.904,13.792,40.034,11.202,11.535,31.786,12.325,9.182,24.572,30.831,23.252,25.407,16.979,10.11,15.814,8.374,22.116,18.709,21.192,25.054,6.234,8.128
1980-01-13,13.588,12.553,19.711,9.859,4.152,1.921,20.867,3.934,10.891,0,18.237,12.964,40.163,12.034,11.103,31.901,12.385,9.839,24.814,30.416,22.232,26.142,16.413,10.175,15.04,9.48,21.86,17.928,21.499,25.04,6.559,9.481
1980-01-14,13.626,12.074,19.805,9.646,5.111,2.699,20.164,5.14,11.314,0.018,18.352,12.57,40.312,11.276,10.208,31.799,12.215,9.784,25.113,30.248,21.776,26.341,15.772,9.971,15.133,9.712,22.078,18.035,21.004,25.253,7.357,9.77
1980-01-15,13.365,11.233,19.545,9.051,5.82,2.696,19.045,4.823,10.621,0.036,17.886,11.94,43.163,9.347,9.227,34.495,11.939,8.633,26.082,30.846,20.949,25.869,14.77,9.859,15.035,9.88,21.548,17.533,20.352,25.498,7.434,9.057
1980-01-16,12.805,10.046,19.763,9.447,5.239,1.927,17.613,4.2,10.357,0.004,18.056,11.505,42.856,8.218,8.478,36.843,10.717,7.648,27.898,30.807,19.586,25.206,13.861,9.418,14.445,7.778,20.185,18.134,20.213,25.337,6.886,7.428
1980-01-17,12.998,10.609,20.932,8.929,4.802,1.485,18.139,3.532,9.515,0.001,19.456,12.849,39.478,7.857,8.138,36.875,11.507,7.095,29.25,29.721,19.351,24.57,13.517,9.548,15.94,8.635,19.746,19.645,21.117,24.611,6.644,7.858
1980-01-18,13.361,11.795,21.498,9.232,5.598,1.596,18.783,3.258,9.29,0,19.956,14.408,37.09,8.475,9.909,34.037,12.322,7.467,27.526,28.586,19.863,24.923,14.002,9.553,17.218,9.587,19.458,19.909,21.816,24.009,6.156,9.121
1980-01-19,12.936,11.822,20.548,8.541,4.656,1.263,18.725,3.251,9.246,0,19.411,13.981,34.341,9.096,10.141,30.973,12.117,7.854,25.312,28.27,19.964,24.753,14.429,9.301,16.567,9.042,20.178,18.938,20.934,23.595,5.922,8.505
1980-01-20,12.712,11.445,19.509,8.829,4.655,1.301,18.202,3.861,9.756,0,18.186,12.751,34.284,8.897,9.429,31.101,12.041,8.144,25.117,28.37,19.906,24.256,14.216,9.446,15.896,9.645,20.231,17.892,19.975,23.914,5.903,9.099
1980-01-21,12.569,10.94,19.096,7.986,5.509,1.929,17.423,4.231,9.606,0,17.835,11.837,35.949,8.232,8.58,32.531,11.687,8.099,26.399,28.518,19.667,24.055,13.664,9.008,15.335,9.756,19.097,17.886,19.373,23.969,5.981,8.98
1980-01-22,12.012,10.452,17.946,7.821,5.788,1.83,17.288,3.547,9.359,0.003,16.89,11.174,34.824,7.222,8.161,31.401,11.371,7.532,24.646,26.349,18.453,23.871,12.959,8.857,14.893,9.529,17.421,17.308,18.641,23.712,5.835,9.221
1980-01-23,11.027,9.394,16.659,7.071,5.18,1.18,16.543,2.473,8.373,0.001,16.224,10.262,32.807,5.636,7.017,29.313,10.528,5.939,22.899,25.404,17.526,23.548,12.34,8.285,13.8,8.332,16.385,16.22,18.342,24.05,5.745,7.955
1980-01-24,10.497,8.386,16.723,7.255,3.363,0.412,15.846,1.11,7.473,0,15.883,10.587,33.585,5.481,7.235,29.179,9.281,4.797,21.955,24.795,16.405,23.518,12.138,8.025,13.1,6.774,15.967,15.38,19.645,24.958,5.563,6.749
1980-01-25,9.87,7.881,16.582,6.803,1.843,0.142,16.138,0.596,6.456,0,15.104,9.592,32.691,5.947,7.201,26.91,8.261,4.485,19.974,23.797,17.67,23.464,11.421,7.745,11.985,6.289,15.198,14.139,21.061,25.154,5.397,5.651
