# Demand.ninja degree days (daily data 1980-2022)  -  demand_ninja_IN_Temp - Version 1.0
# License: https://creativecommons.org/licenses/by-nc/4.0/  -  Reference: https://doi.org/10.1038/s41560-023-01341-5
# Units: date in local timezone; other columns are the population-weighted surface temperature in degrees centigrade; column names signify country ISO2 code or GADM level1 code.  Calculated with global average model parameters

"date","IN","IN.AN","IN.AP","IN.AR","IN.AS","IN.BR","IN.CH","IN.CT","IN.DD","IN.DL","IN.DN","IN.GA","IN.GJ","IN.HP","IN.HR","IN.JH","IN.JK","IN.KA","IN.KL","IN.LD","IN.MH","IN.ML","IN.MN","IN.MP","IN.MZ","IN.NL","IN.OR","IN.PB","IN.PY","IN.RJ","IN.SK","IN.TG","IN.TN","IN.TR","IN.UP","IN.UT","IN.WB"
1980-01-01,18.004,26.017,22.046,8.897,15.04,17.81,10.094,21.14,22.069,12.593,21.63,24.641,19.082,3.06,12.772,19.209,-1.384,20.897,24.326,27.475,20.42,13.88,13.79,18.11,16.128,12.84,21.925,11.792,24.615,14.859,2.133,22.237,21.534,17.543,15.908,7.389,19.068
1980-01-02,17.881,26.466,22.217,8.979,14.992,17.992,10.446,21.511,20.911,13.367,20.378,24.378,18.009,2.614,12.771,17.744,-2.404,20.769,23.909,27.392,20.528,13.881,13.791,17.44,16.253,12.951,22.456,11.473,24.571,13.746,1.441,22.283,21.215,17.618,16.467,7.853,18.625
1980-01-03,17.319,26.9,22.277,8.397,14.621,17.985,9.992,20.2,19.713,11.968,18.609,24.098,16.709,1.763,11.517,17.997,-3.268,21.097,24.079,27.187,19.648,13.91,13.948,15.598,16.519,12.944,22.389,11.162,24.594,12.066,1.107,22.588,21.306,17.476,15.605,7.179,18.76
1980-01-04,16.903,27.036,22.299,8.618,14.531,16.969,10.742,19.104,21.245,11.366,21.066,23.586,16.962,2.279,11.202,17.667,-4.914,21.066,23.821,26.848,20.139,13.159,14.272,15.066,16.822,12.866,20.763,11.216,24.853,11.411,1.465,22.505,21.502,17.204,14.379,7.813,18.853
1980-01-05,16.469,27.496,22.328,8.429,14.421,15.833,9.932,18.561,22.435,10.446,22.579,24.381,17.8,2.781,10.456,16.817,-3.578,20.757,23.542,27.08,20.602,12.997,13.992,14.578,16.21,12.558,20.571,10.598,25.333,11.399,1.926,21.854,21.782,16.322,13.173,7.358,17.717
1980-01-06,16.227,27.509,22.563,8.599,14.539,13.989,9.819,18.397,22.712,10.44,22.882,25.196,18.651,3.786,10.269,15.723,-2.867,21.081,23.582,27.039,20.713,12.973,13.29,15.107,15.435,12.606,20.618,10.022,25.498,12,1.001,22.176,22.138,16.254,12.224,7.737,16.903
1980-01-07,16.213,27.489,22.511,8.277,14.413,12.982,10.887,17.265,23.79,11.262,23.994,25.578,20.29,5.769,11.307,13.794,0.511,21.113,23.464,27.418,21.171,13.239,12.437,15.217,14.445,11.864,19.623,11.186,25.429,13.341,1.447,22.15,21.939,15.54,12.151,8.763,15.532
1980-01-08,16.65,27.201,22.25,8.752,14.282,13.4,11.786,16.63,24.426,12.043,24.386,25.447,21.912,6.701,12.049,13.563,1.46,21.08,23.253,27.504,21.54,12.881,13.124,16.582,15.05,12.303,18.309,11.597,25.302,15.142,2.532,21.9,21.888,15.566,13.097,9.905,15.068
1980-01-09,16.835,26.946,22.002,8.608,14.447,13.735,11.666,17.217,24.145,11.838,24.206,25.807,21.551,5.918,12.155,13.599,0.035,21.182,23.769,27.646,21.807,13.211,13.001,17.74,14.913,12.267,18.379,12.058,25.003,15.689,3.363,21.444,21.88,16.249,13.258,9.122,15.328
1980-01-10,16.915,26.856,21.947,7.951,13.881,14.278,11.705,17.965,22.731,12.633,22.701,25.779,19.762,4.339,12.506,14.198,-1.435,21.013,23.945,27.438,21.892,13.249,12.192,18.01,14.382,11.543,18.964,11.867,24.625,14.963,2.395,21.963,21.486,16.482,13.766,9.289,15.928
1980-01-11,16.9,26.554,21.938,7.405,13.233,15,11.135,19.595,21.898,11.905,21.514,25.426,18.542,4.27,11.631,15.939,-1.923,20.78,23.737,27.147,21.767,12.461,11.103,17.843,13.294,10.233,19.778,11.074,24.414,13.834,1.737,22.5,20.948,15.599,14.073,8.972,16.246
