# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 29.301, 117.446 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Asia/Shanghai, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Asia/Shanghai", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": true, "header": true, "lat": "29.300740527789422", "lon": "117.44560363026713", "date_from": "2022-01-01", "date_to": "2022-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": true}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2022-01-01 00:00,2022-01-01 08:00,0.179,0.080,0.122,5.237
2022-01-01 01:00,2022-01-01 09:00,0.359,0.207,0.194,8.293
2022-01-01 02:00,2022-01-01 10:00,0.502,0.347,0.229,11.224
2022-01-01 03:00,2022-01-01 11:00,0.552,0.389,0.254,12.449
2022-01-01 04:00,2022-01-01 12:00,0.585,0.440,0.249,13.100
2022-01-01 05:00,2022-01-01 13:00,0.549,0.411,0.232,13.321
2022-01-01 06:00,2022-01-01 14:00,0.447,0.314,0.202,13.059
2022-01-01 07:00,2022-01-01 15:00,0.288,0.178,0.150,12.237
2022-01-01 08:00,2022-01-01 16:00,0.092,0.046,0.067,9.641
2022-01-01 09:00,2022-01-01 17:00,0,0.001,0.002,6.351
2022-01-01 10:00,2022-01-01 18:00,0,0,0,5.911
2022-01-01 11:00,2022-01-01 19:00,0,0,0,5.671
2022-01-01 12:00,2022-01-01 20:00,0,0,0,5.265
2022-01-01 13:00,2022-01-01 21:00,0,0,0,4.702
2022-01-01 14:00,2022-01-01 22:00,0,0,0,4.000
2022-01-01 15:00,2022-01-01 23:00,0,0,0,3.095
2022-01-01 16:00,2022-01-02 00:00,0,0,0,2.287
2022-01-01 17:00,2022-01-02 01:00,0,0,0,1.769
2022-01-01 18:00,2022-01-02 02:00,0,0,0,1.347
2022-01-01 19:00,2022-01-02 03:00,0,0,0,0.962
2022-01-01 20:00,2022-01-02 04:00,0,0,0,0.574
2022-01-01 21:00,2022-01-02 05:00,0,0,0,0.152
2022-01-01 22:00,2022-01-02 06:00,0,0,0,-0.342
2022-01-01 23:00,2022-01-02 07:00,0.084,0.069,0.033,0.213
2022-01-02 00:00,2022-01-02 08:00,0.328,0.253,0.106,4.456
2022-01-02 01:00,2022-01-02 09:00,0.537,0.471,0.138,7.811
2022-01-02 02:00,2022-01-02 10:00,0.666,0.635,0.156,11.639
2022-01-02 03:00,2022-01-02 11:00,0.722,0.706,0.170,13.150
2022-01-02 04:00,2022-01-02 12:00,0.729,0.721,0.171,13.995
