time,electricity
2022-01-01 08:00:00,0.98
2022-01-01 09:00:00,4.394
2022-01-01 10:00:00,8.367
2022-01-01 11:00:00,13.118
2022-01-01 12:00:00,20.838
2022-01-01 13:00:00,25.337
2022-01-01 14:00:00,27.512
2022-01-01 15:00:00,27.791
2022-01-01 16:00:00,21.191
2022-01-01 17:00:00,7.685
2022-01-01 18:00:00,0.0
2022-01-01 19:00:00,0.0
2022-01-01 20:00:00,0.0
2022-01-01 21:00:00,0.0
2022-01-01 22:00:00,0.0
2022-01-01 23:00:00,0.0
2022-01-02 00:00:00,0.0
2022-01-02 01:00:00,0.0
2022-01-02 02:00:00,0.0
2022-01-02 03:00:00,0.0
2022-01-02 04:00:00,0.0
2022-01-02 05:00:00,0.0
2022-01-02 06:00:00,0.0
2022-01-02 07:00:00,0.0
2022-01-02 08:00:00,2.691
2022-01-02 09:00:00,10.726
2022-01-02 10:00:00,19.34
2022-01-02 11:00:00,24.465
2022-01-02 12:00:00,27.742
2022-01-02 13:00:00,30.503
2022-01-02 14:00:00,33.377
2022-01-02 15:00:00,30.394
2022-01-02 16:00:00,20.38
2022-01-02 17:00:00,7.23
2022-01-02 18:00:00,0.0
2022-01-02 19:00:00,0.0
2022-01-02 20:00:00,0.0
2022-01-02 21:00:00,0.0
2022-01-02 22:00:00,0.0
2022-01-02 23:00:00,0.0
2022-01-03 00:00:00,0.0
2022-01-03 01:00:00,0.0
2022-01-03 02:00:00,0.0
2022-01-03 03:00:00,0.0
2022-01-03 04:00:00,0.0
2022-01-03 05:00:00,0.0
2022-01-03 06:00:00,0.0
2022-01-03 07:00:00,0.0
2022-01-03 08:00:00,4.204
2022-01-03 09:00:00,15.095
2022-01-03 10:00:00,29.9
2022-01-03 11:00:00,36.696
2022-01-03 12:00:00,41.568
2022-01-03 13:00:00,43.381
2022-01-03 14:00:00,40.762
2022-01-03 15:00:00,31.845
2022-01-03 16:00:00,23.309
2022-01-03 17:00:00,8.2
2022-01-03 18:00:00,0.0
2022-01-03 19:00:00,0.0
2022-01-03 20:00:00,0.0
2022-01-03 21:00:00,0.0
2022-01-03 22:00:00,0.0
2022-01-03 23:00:00,0.0
2022-01-04 00:00:00,0.0
2022-01-04 01:00:00,0.0
2022-01-04 02:00:00,0.0
2022-01-04 03:00:00,0.0
2022-01-04 04:00:00,0.0
2022-01-04 05:00:00,0.0
2022-01-04 06:00:00,0.0
2022-01-04 07:00:00,0.0
2022-01-04 08:00:00,4.085
2022-01-04 09:00:00,13.704
2022-01-04 10:00:00,27.849
2022-01-04 11:00:00,45.774
2022-01-04 12:00:00,52.293
2022-01-04 13:00:00,46.003
2022-01-04 14:00:00,39.122
2022-01-04 15:00:00,35.007
2022-01-04 16:00:00,28.144
2022-01-04 17:00:00,11.862
2022-01-04 18:00:00,0.0
2022-01-04 19:00:00,0.0
2022-01-04 20:00:00,0.0
2022-01-04 21:00:00,0.0
2022-01-04 22:00:00,0.0
2022-01-04 23:00:00,0.0
2022-01-05 00:00:00,0.0
2022-01-05 01:00:00,0.0
2022-01-05 02:00:00,0.0
2022-01-05 03:00:00,0.0
2022-01-05 04:00:00,0.0
2022-01-05 05:00:00,0.0
2022-01-05 06:00:00,0.0
