time,electricity
2022-01-01 08:00:00,0.674
2022-01-01 09:00:00,2.791
2022-01-01 10:00:00,8.0
2022-01-01 11:00:00,17.491
2022-01-01 12:00:00,23.986
2022-01-01 13:00:00,24.262
2022-01-01 14:00:00,22.889
2022-01-01 15:00:00,19.765
2022-01-01 16:00:00,14.692
2022-01-01 17:00:00,7.299
2022-01-01 18:00:00,0.194
2022-01-01 19:00:00,0.0
2022-01-01 20:00:00,0.0
2022-01-01 21:00:00,0.0
2022-01-01 22:00:00,0.0
2022-01-01 23:00:00,0.0
2022-01-02 00:00:00,0.0
2022-01-02 01:00:00,0.0
2022-01-02 02:00:00,0.0
2022-01-02 03:00:00,0.0
2022-01-02 04:00:00,0.0
2022-01-02 05:00:00,0.0
2022-01-02 06:00:00,0.0
2022-01-02 07:00:00,0.0
2022-01-02 08:00:00,0.844
2022-01-02 09:00:00,3.994
2022-01-02 10:00:00,13.858
2022-01-02 11:00:00,21.295
2022-01-02 12:00:00,23.063
2022-01-02 13:00:00,23.435
2022-01-02 14:00:00,21.7
2022-01-02 15:00:00,17.856
2022-01-02 16:00:00,12.466
2022-01-02 17:00:00,6.11
2022-01-02 18:00:00,0.126
2022-01-02 19:00:00,0.0
2022-01-02 20:00:00,0.0
2022-01-02 21:00:00,0.0
2022-01-02 22:00:00,0.0
2022-01-02 23:00:00,0.0
2022-01-03 00:00:00,0.0
2022-01-03 01:00:00,0.0
2022-01-03 02:00:00,0.0
2022-01-03 03:00:00,0.0
2022-01-03 04:00:00,0.0
2022-01-03 05:00:00,0.0
2022-01-03 06:00:00,0.0
2022-01-03 07:00:00,0.0
2022-01-03 08:00:00,0.911
2022-01-03 09:00:00,4.26
2022-01-03 10:00:00,12.469
2022-01-03 11:00:00,21.086
2022-01-03 12:00:00,23.133
2022-01-03 13:00:00,23.265
2022-01-03 14:00:00,21.059
2022-01-03 15:00:00,17.347
2022-01-03 16:00:00,12.474
2022-01-03 17:00:00,6.071
2022-01-03 18:00:00,0.154
2022-01-03 19:00:00,0.0
2022-01-03 20:00:00,0.0
2022-01-03 21:00:00,0.0
2022-01-03 22:00:00,0.0
2022-01-03 23:00:00,0.0
2022-01-04 00:00:00,0.0
2022-01-04 01:00:00,0.0
2022-01-04 02:00:00,0.0
2022-01-04 03:00:00,0.0
2022-01-04 04:00:00,0.0
2022-01-04 05:00:00,0.0
2022-01-04 06:00:00,0.0
2022-01-04 07:00:00,0.0
2022-01-04 08:00:00,2.672
2022-01-04 09:00:00,10.102
2022-01-04 10:00:00,16.309
2022-01-04 11:00:00,20.467
2022-01-04 12:00:00,22.893
2022-01-04 13:00:00,23.756
2022-01-04 14:00:00,22.116
2022-01-04 15:00:00,18.094
2022-01-04 16:00:00,12.183
2022-01-04 17:00:00,5.903
2022-01-04 18:00:00,0.223
2022-01-04 19:00:00,0.0
2022-01-04 20:00:00,0.0
2022-01-04 21:00:00,0.0
2022-01-04 22:00:00,0.0
2022-01-04 23:00:00,0.0
2022-01-05 00:00:00,0.0
2022-01-05 01:00:00,0.0
2022-01-05 02:00:00,0.0
2022-01-05 03:00:00,0.0
2022-01-05 04:00:00,0.0
2022-01-05 05:00:00,0.0
2022-01-05 06:00:00,0.0
2022-01-05 07:00:00,0.0
2022-01-05 08:00:00,7.008
2022-01-05 09:00:00,14.94
2022-01-05 10:00:00,20.365
2022-01-05 11:00:00,23.759
2022-01-05 12:00:00,25.352
2022-01-05 13:00:00,25.37
2022-01-05 14:00:00,23.868
2022-01-05 15:00:00,20.701
2022-01-05 16:00:00,15.664
2022-01-05 17:00:00,8.224
2022-01-05 18:00:00,0.314
2022-01-05 19:00:00,0.0
2022-01-05 20:00:00,0.0
2022-01-05 21:00:00,0.0
2022-01-05 22:00:00,0.0
2022-01-05 23:00:00,0.0
2022-01-06 00:00:00,0.0
2022-01-06 01:00:00,0.0
2022-01-06 02:00:00,0.0
2022-01-06 03:00:00,0.0
2022-01-06 04:00:00,0.0
2022-01-06 05:00:00,0.0
2022-01-06 06:00:00,0.0
2022-01-06 07:00:00,0.0
2022-01-06 08:00:00,6.427
2022-01-06 09:00:00,13.738
2022-01-06 10:00:00,19.242
2022-01-06 11:00:00,22.866
2022-01-06 12:00:00,24.154
2022-01-06 13:00:00,23.187
2022-01-06 14:00:00,21.531
2022-01-06 15:00:00,19.034
2022-01-06 16:00:00,11.936
2022-01-06 17:00:00,3.808
2022-01-06 18:00:00,0.059
2022-01-06 19:00:00,0.0
2022-01-06 20:00:00,0.0
2022-01-06 21:00:00,0.0
2022-01-06 22:00:00,0.0
2022-01-06 23:00:00,0.0
2022-01-07 00:00:00,0.0
2022-01-07 01:00:00,0.0
2022-01-07 02:00:00,0.0
2022-01-07 03:00:00,0.0
2022-01-07 04:00:00,0.0
2022-01-07 05:00:00,0.0
2022-01-07 06:00:00,0.0
2022-01-07 07:00:00,0.0
2022-01-07 08:00:00,1.396
2022-01-07 09:00:00,5.6
2022-01-07 10:00:00,14.012
2022-01-07 11:00:00,20.307
2022-01-07 12:00:00,22.034
2022-01-07 13:00:00,22.707
2022-01-07 14:00:00,21.491
2022-01-07 15:00:00,17.961
2022-01-07 16:00:00,12.344
2022-01-07 17:00:00,4.777
2022-01-07 18:00:00,0.119
2022-01-07 19:00:00,0.0
2022-01-07 20:00:00,0.0
2022-01-07 21:00:00,0.0
2022-01-07 22:00:00,0.0
2022-01-07 23:00:00,0.0
2022-01-08 00:00:00,0.0
2022-01-08 01:00:00,0.0
2022-01-08 02:00:00,0.0
2022-01-08 03:00:00,0.0
2022-01-08 04:00:00,0.0
2022-01-08 05:00:00,0.0
2022-01-08 06:00:00,0.0
2022-01-08 07:00:00,0.0
2022-01-08 08:00:00,5.621
2022-01-08 09:00:00,13.01
2022-01-08 10:00:00,19.099
2022-01-08 11:00:00,22.576
2022-01-08 12:00:00,24.228
2022-01-08 13:00:00,24.314
2022-01-08 14:00:00,22.859
2022-01-08 15:00:00,19.728
2022-01-08 16:00:00,14.603
2022-01-08 17:00:00,6.699
2022-01-08 18:00:00,0.196
2022-01-08 19:00:00,0.0
2022-01-08 20:00:00,0.0
2022-01-08 21:00:00,0.0
2022-01-08 22:00:00,0.0
2022-01-08 23:00:00,0.0
2022-01-09 00:00:00,0.0
2022-01-09 01:00:00,0.0
2022-01-09 02:00:00,0.0
2022-01-09 03:00:00,0.0
2022-01-09 04:00:00,0.0
2022-01-09 05:00:00,0.0
2022-01-09 06:00:00,0.0
2022-01-09 07:00:00,0.0
2022-01-09 08:00:00,1.783
2022-01-09 09:00:00,4.953
2022-01-09 10:00:00,15.237
2022-01-09 11:00:00,21.258
2022-01-09 12:00:00,23.348
2022-01-09 13:00:00,23.823
2022-01-09 14:00:00,22.588
2022-01-09 15:00:00,19.478
2022-01-09 16:00:00,14.478
2022-01-09 17:00:00,7.105
2022-01-09 18:00:00,0.244
2022-01-09 19:00:00,0.0
2022-01-09 20:00:00,0.0
2022-01-09 21:00:00,0.0
2022-01-09 22:00:00,0.0
2022-01-09 23:00:00,0.0
2022-01-10 00:00:00,0.0
2022-01-10 01:00:00,0.0
2022-01-10 02:00:00,0.0
2022-01-10 03:00:00,0.0
2022-01-10 04:00:00,0.0
2022-01-10 05:00:00,0.0
2022-01-10 06:00:00,0.0
2022-01-10 07:00:00,0.0
2022-01-10 08:00:00,5.543
2022-01-10 09:00:00,13.436
2022-01-10 10:00:00,19.398
2022-01-10 11:00:00,22.797
2022-01-10 12:00:00,24.411
2022-01-10 13:00:00,24.459
2022-01-10 14:00:00,22.99
2022-01-10 15:00:00,19.876
2022-01-10 16:00:00,14.887
2022-01-10 17:00:00,7.641
2022-01-10 18:00:00,0.314
2022-01-10 19:00:00,0.0
2022-01-10 20:00:00,0.0
2022-01-10 21:00:00,0.0
2022-01-10 22:00:00,0.0
2022-01-10 23:00:00,0.0
2022-01-11 00:00:00,0.0
2022-01-11 01:00:00,0.0
2022-01-11 02:00:00,0.0
2022-01-11 03:00:00,0.0
2022-01-11 04:00:00,0.0
2022-01-11 05:00:00,0.0
2022-01-11 06:00:00,0.0
2022-01-11 07:00:00,0.0
2022-01-11 08:00:00,1.379
2022-01-11 09:00:00,6.193
2022-01-11 10:00:00,13.715
2022-01-11 11:00:00,15.079
2022-01-11 12:00:00,19.289
2022-01-11 13:00:00,21.709
2022-01-11 14:00:00,21.458
2022-01-11 15:00:00,18.569
2022-01-11 16:00:00,13.492
2022-01-11 17:00:00,6.294
2022-01-11 18:00:00,0.185
2022-01-11 19:00:00,0.0
2022-01-11 20:00:00,0.0
2022-01-11 21:00:00,0.0
2022-01-11 22:00:00,0.0
2022-01-11 23:00:00,0.0
2022-01-12 00:00:00,0.0
2022-01-12 01:00:00,0.0
2022-01-12 02:00:00,0.0
2022-01-12 03:00:00,0.0
2022-01-12 04:00:00,0.0
2022-01-12 05:00:00,0.0
2022-01-12 06:00:00,0.0
2022-01-12 07:00:00,0.0
2022-01-12 08:00:00,0.76
2022-01-12 09:00:00,3.004
2022-01-12 10:00:00,6.556
2022-01-12 11:00:00,11.098
2022-01-12 12:00:00,15.993
2022-01-12 13:00:00,17.505
2022-01-12 14:00:00,14.429
2022-01-12 15:00:00,8.761
2022-01-12 16:00:00,4.496
2022-01-12 17:00:00,1.407
2022-01-12 18:00:00,0.0
2022-01-12 19:00:00,0.0
2022-01-12 20:00:00,0.0
2022-01-12 21:00:00,0.0
2022-01-12 22:00:00,0.0
2022-01-12 23:00:00,0.0
2022-01-13 00:00:00,0.0
2022-01-13 01:00:00,0.0
2022-01-13 02:00:00,0.0
2022-01-13 03:00:00,0.0
2022-01-13 04:00:00,0.0
2022-01-13 05:00:00,0.0
2022-01-13 06:00:00,0.0
2022-01-13 07:00:00,0.0
2022-01-13 08:00:00,1.774
2022-01-13 09:00:00,6.403
2022-01-13 10:00:00,16.249
2022-01-13 11:00:00,19.791
2022-01-13 12:00:00,17.404
2022-01-13 13:00:00,17.198
2022-01-13 14:00:00,17.691
2022-01-13 15:00:00,15.164
2022-01-13 16:00:00,9.752
2022-01-13 17:00:00,3.13
2022-01-13 18:00:00,0.073
2022-01-13 19:00:00,0.0
2022-01-13 20:00:00,0.0
2022-01-13 21:00:00,0.0
2022-01-13 22:00:00,0.0
2022-01-13 23:00:00,0.0
2022-01-14 00:00:00,0.0
2022-01-14 01:00:00,0.0
2022-01-14 02:00:00,0.0
2022-01-14 03:00:00,0.0
2022-01-14 04:00:00,0.0
2022-01-14 05:00:00,0.0
2022-01-14 06:00:00,0.0
2022-01-14 07:00:00,0.0
2022-01-14 08:00:00,4.303
2022-01-14 09:00:00,11.108
2022-01-14 10:00:00,18.359
2022-01-14 11:00:00,21.486
2022-01-14 12:00:00,22.94
2022-01-14 13:00:00,22.915
2022-01-14 14:00:00,21.593
2022-01-14 15:00:00,18.53
2022-01-14 16:00:00,13.72
2022-01-14 17:00:00,7.149
2022-01-14 18:00:00,0.368
2022-01-14 19:00:00,0.0
2022-01-14 20:00:00,0.0
2022-01-14 21:00:00,0.0
2022-01-14 22:00:00,0.0
2022-01-14 23:00:00,0.0
2022-01-15 00:00:00,0.0
2022-01-15 01:00:00,0.0
2022-01-15 02:00:00,0.0
2022-01-15 03:00:00,0.0
2022-01-15 04:00:00,0.0
2022-01-15 05:00:00,0.0
2022-01-15 06:00:00,0.0
2022-01-15 07:00:00,0.0
2022-01-15 08:00:00,3.379
2022-01-15 09:00:00,9.188
2022-01-15 10:00:00,18.119
2022-01-15 11:00:00,19.125
2022-01-15 12:00:00,18.372
2022-01-15 13:00:00,16.485
2022-01-15 14:00:00,14.095
2022-01-15 15:00:00,10.299
2022-01-15 16:00:00,6.05
2022-01-15 17:00:00,2.509
2022-01-15 18:00:00,0.068
2022-01-15 19:00:00,0.0
2022-01-15 20:00:00,0.0
2022-01-15 21:00:00,0.0
2022-01-15 22:00:00,0.0
2022-01-15 23:00:00,0.0
2022-01-16 00:00:00,0.0
2022-01-16 01:00:00,0.0
2022-01-16 02:00:00,0.0
2022-01-16 03:00:00,0.0
2022-01-16 04:00:00,0.0
2022-01-16 05:00:00,0.0
2022-01-16 06:00:00,0.0
2022-01-16 07:00:00,0.0
2022-01-16 08:00:00,1.389
2022-01-16 09:00:00,5.106
2022-01-16 10:00:00,8.281
2022-01-16 11:00:00,7.323
2022-01-16 12:00:00,7.896
2022-01-16 13:00:00,8.083
2022-01-16 14:00:00,7.607
2022-01-16 15:00:00,6.255
2022-01-16 16:00:00,4.123
2022-01-16 17:00:00,1.724
2022-01-16 18:00:00,0.04
2022-01-16 19:00:00,0.0
2022-01-16 20:00:00,0.0
2022-01-16 21:00:00,0.0
2022-01-16 22:00:00,0.0
2022-01-16 23:00:00,0.0
2022-01-17 00:00:00,0.0
2022-01-17 01:00:00,0.0
2022-01-17 02:00:00,0.0
2022-01-17 03:00:00,0.0
2022-01-17 04:00:00,0.0
2022-01-17 05:00:00,0.0
2022-01-17 06:00:00,0.0
2022-01-17 07:00:00,0.0
2022-01-17 08:00:00,1.081
2022-01-17 09:00:00,4.262
2022-01-17 10:00:00,8.026
2022-01-17 11:00:00,15.168
2022-01-17 12:00:00,22.457
2022-01-17 13:00:00,22.38
2022-01-17 14:00:00,21.063
2022-01-17 15:00:00,17.716
2022-01-17 16:00:00,12.664
2022-01-17 17:00:00,5.422
2022-01-17 18:00:00,0.202
2022-01-17 19:00:00,0.0
2022-01-17 20:00:00,0.0
2022-01-17 21:00:00,0.0
2022-01-17 22:00:00,0.0
2022-01-17 23:00:00,0.0
2022-01-18 00:00:00,0.0
2022-01-18 01:00:00,0.0
2022-01-18 02:00:00,0.0
2022-01-18 03:00:00,0.0
2022-01-18 04:00:00,0.0
2022-01-18 05:00:00,0.0
2022-01-18 06:00:00,0.0
2022-01-18 07:00:00,0.046
2022-01-18 08:00:00,4.224
2022-01-18 09:00:00,11.471
2022-01-18 10:00:00,20.223
2022-01-18 11:00:00,23.836
2022-01-18 12:00:00,25.543
2022-01-18 13:00:00,25.62
2022-01-18 14:00:00,24.077
2022-01-18 15:00:00,20.813
2022-01-18 16:00:00,15.758
2022-01-18 17:00:00,7.931
2022-01-18 18:00:00,0.354
2022-01-18 19:00:00,0.0
2022-01-18 20:00:00,0.0
2022-01-18 21:00:00,0.0
2022-01-18 22:00:00,0.0
2022-01-18 23:00:00,0.0
2022-01-19 00:00:00,0.0
2022-01-19 01:00:00,0.0
2022-01-19 02:00:00,0.0
2022-01-19 03:00:00,0.0
2022-01-19 04:00:00,0.0
2022-01-19 05:00:00,0.0
2022-01-19 06:00:00,0.0
2022-01-19 07:00:00,0.0
2022-01-19 08:00:00,1.217
2022-01-19 09:00:00,5.902
2022-01-19 10:00:00,12.932
2022-01-19 11:00:00,12.25
2022-01-19 12:00:00,10.14
2022-01-19 13:00:00,7.711
2022-01-19 14:00:00,6.33
2022-01-19 15:00:00,4.254
2022-01-19 16:00:00,2.178
2022-01-19 17:00:00,0.905
2022-01-19 18:00:00,0.009000000000000001
2022-01-19 19:00:00,0.0
2022-01-19 20:00:00,0.0
2022-01-19 21:00:00,0.0
2022-01-19 22:00:00,0.0
2022-01-19 23:00:00,0.0
2022-01-20 00:00:00,0.0
2022-01-20 01:00:00,0.0
2022-01-20 02:00:00,0.0
2022-01-20 03:00:00,0.0
2022-01-20 04:00:00,0.0
2022-01-20 05:00:00,0.0
2022-01-20 06:00:00,0.0
2022-01-20 07:00:00,0.0
2022-01-20 08:00:00,2.124
2022-01-20 09:00:00,8.253
2022-01-20 10:00:00,18.117
2022-01-20 11:00:00,20.991
2022-01-20 12:00:00,22.407
2022-01-20 13:00:00,22.656
2022-01-20 14:00:00,20.062
2022-01-20 15:00:00,16.728
2022-01-20 16:00:00,12.861
2022-01-20 17:00:00,6.261
2022-01-20 18:00:00,0.302
2022-01-20 19:00:00,0.0
2022-01-20 20:00:00,0.0
2022-01-20 21:00:00,0.0
2022-01-20 22:00:00,0.0
