time,electricity
2022-01-01 08:00:00,9.743
2022-01-01 09:00:00,3.139
2022-01-01 10:00:00,3.264
2022-01-01 11:00:00,3.535
2022-01-01 12:00:00,2.288
2022-01-01 13:00:00,1.721
2022-01-01 14:00:00,1.479
2022-01-01 15:00:00,1.337
2022-01-01 16:00:00,0.937
2022-01-01 17:00:00,0.559
2022-01-01 18:00:00,0.283
2022-01-01 19:00:00,0.178
2022-01-01 20:00:00,0.137
2022-01-01 21:00:00,0.146
2022-01-01 22:00:00,0.259
2022-01-01 23:00:00,0.932
2022-01-02 00:00:00,2.853
2022-01-02 01:00:00,6.593
2022-01-02 02:00:00,13.059
2022-01-02 03:00:00,21.208
2022-01-02 04:00:00,30.067
2022-01-02 05:00:00,36.769
2022-01-02 06:00:00,39.348
2022-01-02 07:00:00,40.712
2022-01-02 08:00:00,24.654
2022-01-02 09:00:00,15.946
2022-01-02 10:00:00,25.346
2022-01-02 11:00:00,15.976
2022-01-02 12:00:00,9.033
2022-01-02 13:00:00,6.162
2022-01-02 14:00:00,5.323
2022-01-02 15:00:00,8.033
2022-01-02 16:00:00,18.157
2022-01-02 17:00:00,34.182
2022-01-02 18:00:00,48.568
2022-01-02 19:00:00,54.921
2022-01-02 20:00:00,57.019
2022-01-02 21:00:00,58.077
2022-01-02 22:00:00,57.279
2022-01-02 23:00:00,51.837
2022-01-03 00:00:00,44.963
2022-01-03 01:00:00,34.358
2022-01-03 02:00:00,22.351
2022-01-03 03:00:00,15.602
2022-01-03 04:00:00,11.304
2022-01-03 05:00:00,7.579
2022-01-03 06:00:00,5.01
2022-01-03 07:00:00,3.307
2022-01-03 08:00:00,1.529
2022-01-03 09:00:00,0.35
2022-01-03 10:00:00,0.164
2022-01-03 11:00:00,0.159
2022-01-03 12:00:00,0.136
2022-01-03 13:00:00,0.088
2022-01-03 14:00:00,0.017
2022-01-03 15:00:00,0.043
2022-01-03 16:00:00,1.639
2022-01-03 17:00:00,8.662
2022-01-03 18:00:00,22.392
2022-01-03 19:00:00,38.38
2022-01-03 20:00:00,45.868
