time,electricity
2022-01-01 08:00:00,0.162
2022-01-01 09:00:00,0.543
2022-01-01 10:00:00,0.644
2022-01-01 11:00:00,0.68
2022-01-01 12:00:00,0.705
2022-01-01 13:00:00,0.685
2022-01-01 14:00:00,0.505
2022-01-01 15:00:00,0.303
2022-01-01 16:00:00,0.22
2022-01-01 17:00:00,0.159
2022-01-01 18:00:00,0.08
2022-01-01 19:00:00,0.082
2022-01-01 20:00:00,0.19
2022-01-01 21:00:00,0.425
2022-01-01 22:00:00,0.432
2022-01-01 23:00:00,0.234
2022-01-02 00:00:00,0.252
2022-01-02 01:00:00,0.449
2022-01-02 02:00:00,0.842
2022-01-02 03:00:00,1.507
2022-01-02 04:00:00,2.486
2022-01-02 05:00:00,3.495
2022-01-02 06:00:00,3.33
2022-01-02 07:00:00,2.939
2022-01-02 08:00:00,2.371
2022-01-02 09:00:00,0.936
2022-01-02 10:00:00,0.845
2022-01-02 11:00:00,0.402
2022-01-02 12:00:00,0.167
2022-01-02 13:00:00,0.12
2022-01-02 14:00:00,0.182
2022-01-02 15:00:00,0.387
2022-01-02 16:00:00,0.8130000000000001
2022-01-02 17:00:00,1.119
2022-01-02 18:00:00,1.733
2022-01-02 19:00:00,2.148
2022-01-02 20:00:00,2.715
2022-01-02 21:00:00,2.976
2022-01-02 22:00:00,2.728
2022-01-02 23:00:00,2.961
2022-01-03 00:00:00,3.915
2022-01-03 01:00:00,4.485
2022-01-03 02:00:00,4.768
2022-01-03 03:00:00,5.631
2022-01-03 04:00:00,5.496
2022-01-03 05:00:00,5.263
2022-01-03 06:00:00,4.716
2022-01-03 07:00:00,3.681
2022-01-03 08:00:00,2.444
2022-01-03 09:00:00,0.929
2022-01-03 10:00:00,0.133
2022-01-03 11:00:00,0.005
2022-01-03 12:00:00,0.0
2022-01-03 13:00:00,0.0
2022-01-03 14:00:00,0.0
2022-01-03 15:00:00,0.0
2022-01-03 16:00:00,0.015
2022-01-03 17:00:00,0.59
2022-01-03 18:00:00,1.549
2022-01-03 19:00:00,1.608
2022-01-03 20:00:00,1.31
2022-01-03 21:00:00,1.016
2022-01-03 22:00:00,0.77
2022-01-03 23:00:00,0.501
2022-01-04 00:00:00,0.275
