time,electricity
2022-01-01 08:00:00,20.596
2022-01-01 09:00:00,19.197
2022-01-01 10:00:00,14.349
2022-01-01 11:00:00,8.692
2022-01-01 12:00:00,4.75
2022-01-01 13:00:00,2.885
2022-01-01 14:00:00,2.352
2022-01-01 15:00:00,2.587
2022-01-01 16:00:00,3.86
2022-01-01 17:00:00,6.178
2022-01-01 18:00:00,7.044
2022-01-01 19:00:00,6.482
2022-01-01 20:00:00,5.57
2022-01-01 21:00:00,4.791
2022-01-01 22:00:00,4.13
2022-01-01 23:00:00,4.76
2022-01-02 00:00:00,7.458
2022-01-02 01:00:00,11.399
2022-01-02 02:00:00,15.328
2022-01-02 03:00:00,19.081
2022-01-02 04:00:00,20.982
2022-01-02 05:00:00,19.926
2022-01-02 06:00:00,17.531
2022-01-02 07:00:00,13.834
2022-01-02 08:00:00,11.965
2022-01-02 09:00:00,14.103
2022-01-02 10:00:00,14.624
2022-01-02 11:00:00,14.856
2022-01-02 12:00:00,15.015
2022-01-02 13:00:00,16.524
2022-01-02 14:00:00,20.302
2022-01-02 15:00:00,25.114
2022-01-02 16:00:00,27.882
2022-01-02 17:00:00,27.713
2022-01-02 18:00:00,26.527
2022-01-02 19:00:00,24.997
2022-01-02 20:00:00,24.34
2022-01-02 21:00:00,23.344
2022-01-02 22:00:00,22.003
2022-01-02 23:00:00,21.609
2022-01-03 00:00:00,21.78
2022-01-03 01:00:00,22.08
2022-01-03 02:00:00,23.446
2022-01-03 03:00:00,24.587
2022-01-03 04:00:00,24.605
2022-01-03 05:00:00,23.166
2022-01-03 06:00:00,21.523
2022-01-03 07:00:00,18.11
2022-01-03 08:00:00,13.394
2022-01-03 09:00:00,10.301
2022-01-03 10:00:00,6.83
2022-01-03 11:00:00,4.572
2022-01-03 12:00:00,3.726
2022-01-03 13:00:00,3.986
2022-01-03 14:00:00,5.889
2022-01-03 15:00:00,9.633
2022-01-03 16:00:00,16.045
2022-01-03 17:00:00,20.733
2022-01-03 18:00:00,21.785
2022-01-03 19:00:00,22.094
2022-01-03 20:00:00,21.888
2022-01-03 21:00:00,21.306
2022-01-03 22:00:00,21.512
2022-01-03 23:00:00,24.341
2022-01-04 00:00:00,27.222
2022-01-04 01:00:00,30.517
2022-01-04 02:00:00,34.041
2022-01-04 03:00:00,35.545
2022-01-04 04:00:00,34.644
2022-01-04 05:00:00,32.917
2022-01-04 06:00:00,31.799
2022-01-04 07:00:00,27.767
2022-01-04 08:00:00,25.003
2022-01-04 09:00:00,27.983
2022-01-04 10:00:00,24.313
2022-01-04 11:00:00,20.547
2022-01-04 12:00:00,18.205
2022-01-04 13:00:00,18.439
2022-01-04 14:00:00,21.14
2022-01-04 15:00:00,23.771
2022-01-04 16:00:00,22.653
2022-01-04 17:00:00,22.293
2022-01-04 18:00:00,24.995
2022-01-04 19:00:00,26.261
2022-01-04 20:00:00,25.562
2022-01-04 21:00:00,25.063
2022-01-04 22:00:00,25.52
2022-01-04 23:00:00,26.812
2022-01-05 00:00:00,26.405
2022-01-05 01:00:00,24.075
2022-01-05 02:00:00,20.958
2022-01-05 03:00:00,17.482
2022-01-05 04:00:00,15.404
2022-01-05 05:00:00,13.648
2022-01-05 06:00:00,11.851
2022-01-05 07:00:00,9.249
2022-01-05 08:00:00,4.907
2022-01-05 09:00:00,2.305
2022-01-05 10:00:00,1.09
2022-01-05 11:00:00,1.277
2022-01-05 12:00:00,2.612
2022-01-05 13:00:00,2.955
2022-01-05 14:00:00,1.829
2022-01-05 15:00:00,0.547
2022-01-05 16:00:00,0.158
2022-01-05 17:00:00,0.116
2022-01-05 18:00:00,0.486
2022-01-05 19:00:00,2.683
2022-01-05 20:00:00,7.83
2022-01-05 21:00:00,15.362
2022-01-05 22:00:00,28.286
2022-01-05 23:00:00,29.472
2022-01-06 00:00:00,28.751
2022-01-06 01:00:00,30.997
2022-01-06 02:00:00,36.995
2022-01-06 03:00:00,39.656
2022-01-06 04:00:00,40.137
2022-01-06 05:00:00,41.251
2022-01-06 06:00:00,45.825
2022-01-06 07:00:00,50.51
2022-01-06 08:00:00,56.058
2022-01-06 09:00:00,62.792
2022-01-06 10:00:00,63.526
2022-01-06 11:00:00,63.966
2022-01-06 12:00:00,64.039
2022-01-06 13:00:00,64.252
2022-01-06 14:00:00,67.026
2022-01-06 15:00:00,70.577
2022-01-06 16:00:00,73.32
2022-01-06 17:00:00,69.813
2022-01-06 18:00:00,62.726
2022-01-06 19:00:00,59.072
2022-01-06 20:00:00,57.932
2022-01-06 21:00:00,55.597
2022-01-06 22:00:00,53.617
2022-01-06 23:00:00,53.609
2022-01-07 00:00:00,54.415
2022-01-07 01:00:00,54.091
2022-01-07 02:00:00,54.505
2022-01-07 03:00:00,53.707
