time,electricity
2022-01-01 08:00:00,27.136
2022-01-01 09:00:00,19.328
2022-01-01 10:00:00,4.421
2022-01-01 11:00:00,1.361
2022-01-01 12:00:00,1.075
2022-01-01 13:00:00,0.621
2022-01-01 14:00:00,0.047
2022-01-01 15:00:00,0.057
2022-01-01 16:00:00,1.867
2022-01-01 17:00:00,9.381
2022-01-01 18:00:00,17.154
2022-01-01 19:00:00,23.987
2022-01-01 20:00:00,29.949
2022-01-01 21:00:00,31.463
2022-01-01 22:00:00,31.791
2022-01-01 23:00:00,35.658
2022-01-02 00:00:00,41.053
2022-01-02 01:00:00,43.297
2022-01-02 02:00:00,41.707
2022-01-02 03:00:00,40.421
2022-01-02 04:00:00,34.117
2022-01-02 05:00:00,21.881
2022-01-02 06:00:00,15.49
2022-01-02 07:00:00,14.896
2022-01-02 08:00:00,13.595
2022-01-02 09:00:00,7.165
2022-01-02 10:00:00,2.304
2022-01-02 11:00:00,0.8310000000000001
2022-01-02 12:00:00,0.542
2022-01-02 13:00:00,0.466
2022-01-02 14:00:00,0.236
2022-01-02 15:00:00,1.835
2022-01-02 16:00:00,2.67
2022-01-02 17:00:00,3.831
2022-01-02 18:00:00,6.06
2022-01-02 19:00:00,8.282
2022-01-02 20:00:00,9.336
2022-01-02 21:00:00,9.278
2022-01-02 22:00:00,8.569
2022-01-02 23:00:00,6.273
2022-01-03 00:00:00,3.691
2022-01-03 01:00:00,1.547
2022-01-03 02:00:00,0.264
2022-01-03 03:00:00,0.016
2022-01-03 04:00:00,0.005
2022-01-03 05:00:00,0.014
2022-01-03 06:00:00,0.079
2022-01-03 07:00:00,0.103
2022-01-03 08:00:00,0.104
2022-01-03 09:00:00,0.038
2022-01-03 10:00:00,0.107
2022-01-03 11:00:00,1.9
2022-01-03 12:00:00,2.759
2022-01-03 13:00:00,2.027
2022-01-03 14:00:00,1.93
2022-01-03 15:00:00,1.577
2022-01-03 16:00:00,1.724
2022-01-03 17:00:00,1.827
2022-01-03 18:00:00,0.966
2022-01-03 19:00:00,0.783
2022-01-03 20:00:00,1.301
2022-01-03 21:00:00,2.366
2022-01-03 22:00:00,3.151
2022-01-03 23:00:00,2.086
2022-01-04 00:00:00,1.144
2022-01-04 01:00:00,0.866
2022-01-04 02:00:00,0.594
2022-01-04 03:00:00,0.247
