time,electricity
2022-01-01 08:00:00,10.078
2022-01-01 09:00:00,9.541
2022-01-01 10:00:00,4.616
2022-01-01 11:00:00,1.724
2022-01-01 12:00:00,0.544
2022-01-01 13:00:00,0.214
2022-01-01 14:00:00,0.256
2022-01-01 15:00:00,0.5760000000000001
2022-01-01 16:00:00,1.621
2022-01-01 17:00:00,6.144
2022-01-01 18:00:00,16.348
2022-01-01 19:00:00,28.956
2022-01-01 20:00:00,35.937
2022-01-01 21:00:00,35.253
2022-01-01 22:00:00,34.695
2022-01-01 23:00:00,34.57
2022-01-02 00:00:00,35.943
2022-01-02 01:00:00,34.71
2022-01-02 02:00:00,33.756
2022-01-02 03:00:00,32.154
2022-01-02 04:00:00,31.25
2022-01-02 05:00:00,30.731
2022-01-02 06:00:00,30.48
2022-01-02 07:00:00,26.483
2022-01-02 08:00:00,21.697
2022-01-02 09:00:00,24.16
2022-01-02 10:00:00,15.02
2022-01-02 11:00:00,6.884
2022-01-02 12:00:00,3.24
2022-01-02 13:00:00,2.233
2022-01-02 14:00:00,2.268
2022-01-02 15:00:00,2.565
2022-01-02 16:00:00,3.123
2022-01-02 17:00:00,6.261
2022-01-02 18:00:00,11.497
2022-01-02 19:00:00,15.106
2022-01-02 20:00:00,14.586
2022-01-02 21:00:00,10.938
2022-01-02 22:00:00,7.034
2022-01-02 23:00:00,5.67
2022-01-03 00:00:00,6.242
2022-01-03 01:00:00,8.828
2022-01-03 02:00:00,14.896
2022-01-03 03:00:00,24.868
2022-01-03 04:00:00,34.025
2022-01-03 05:00:00,35.513
2022-01-03 06:00:00,32.336
2022-01-03 07:00:00,23.739
2022-01-03 08:00:00,6.262
2022-01-03 09:00:00,4.004
2022-01-03 10:00:00,1.946
2022-01-03 11:00:00,0.78
2022-01-03 12:00:00,0.382
2022-01-03 13:00:00,0.205
2022-01-03 14:00:00,0.169
2022-01-03 15:00:00,0.209
2022-01-03 16:00:00,0.43
2022-01-03 17:00:00,0.81
2022-01-03 18:00:00,1.262
2022-01-03 19:00:00,2.316
2022-01-03 20:00:00,3.572
2022-01-03 21:00:00,4.274
2022-01-03 22:00:00,3.265
2022-01-03 23:00:00,1.512
2022-01-04 00:00:00,0.31
2022-01-04 01:00:00,0.037
2022-01-04 02:00:00,0.037
2022-01-04 03:00:00,0.317
2022-01-04 04:00:00,1.359
2022-01-04 05:00:00,3.519
2022-01-04 06:00:00,8.049
2022-01-04 07:00:00,13.058
2022-01-04 08:00:00,6.909
2022-01-04 09:00:00,5.756
2022-01-04 10:00:00,7.041
2022-01-04 11:00:00,4.574
2022-01-04 12:00:00,1.325
2022-01-04 13:00:00,0.262
2022-01-04 14:00:00,0.099
2022-01-04 15:00:00,0.105
2022-01-04 16:00:00,0.196
2022-01-04 17:00:00,1.752
2022-01-04 18:00:00,7.49
2022-01-04 19:00:00,15.37
2022-01-04 20:00:00,24.87
2022-01-04 21:00:00,31.269
2022-01-04 22:00:00,28.71
2022-01-04 23:00:00,22.361
2022-01-05 00:00:00,15.811
2022-01-05 01:00:00,8.066
2022-01-05 02:00:00,2.53
2022-01-05 03:00:00,0.279
2022-01-05 04:00:00,0.017
2022-01-05 05:00:00,0.023
2022-01-05 06:00:00,0.22
2022-01-05 07:00:00,1.046
2022-01-05 08:00:00,0.657
2022-01-05 09:00:00,0.127
2022-01-05 10:00:00,0.003
2022-01-05 11:00:00,0.002
2022-01-05 12:00:00,0.014
2022-01-05 13:00:00,0.075
2022-01-05 14:00:00,0.247
2022-01-05 15:00:00,0.65
2022-01-05 16:00:00,1.92
2022-01-05 17:00:00,6.53
2022-01-05 18:00:00,18.274
2022-01-05 19:00:00,39.837
2022-01-05 20:00:00,54.734
2022-01-05 21:00:00,56.498
2022-01-05 22:00:00,54.835
2022-01-05 23:00:00,52.024
2022-01-06 00:00:00,49.681
2022-01-06 01:00:00,47.64
2022-01-06 02:00:00,48.954
2022-01-06 03:00:00,52.745
2022-01-06 04:00:00,58.326
2022-01-06 05:00:00,63.786
2022-01-06 06:00:00,66.547
2022-01-06 07:00:00,63.971
2022-01-06 08:00:00,55.458
2022-01-06 09:00:00,52.386
2022-01-06 10:00:00,42.067
2022-01-06 11:00:00,28.462
2022-01-06 12:00:00,15.768
2022-01-06 13:00:00,7.946
2022-01-06 14:00:00,4.114
2022-01-06 15:00:00,2.162
2022-01-06 16:00:00,1.641
2022-01-06 17:00:00,3.563
2022-01-06 18:00:00,10.097
2022-01-06 19:00:00,22.616
2022-01-06 20:00:00,38.18
2022-01-06 21:00:00,49.266
2022-01-06 22:00:00,49.374
2022-01-06 23:00:00,50.644
2022-01-07 00:00:00,52.213
2022-01-07 01:00:00,52.025
2022-01-07 02:00:00,48.246
2022-01-07 03:00:00,45.78
2022-01-07 04:00:00,42.417
2022-01-07 05:00:00,41.308
2022-01-07 06:00:00,42.033
2022-01-07 07:00:00,38.097
2022-01-07 08:00:00,50.546
2022-01-07 09:00:00,44.434
2022-01-07 10:00:00,30.219
2022-01-07 11:00:00,18.054
2022-01-07 12:00:00,11.961
2022-01-07 13:00:00,10.327
2022-01-07 14:00:00,10.114
2022-01-07 15:00:00,11.592
2022-01-07 16:00:00,16.841
2022-01-07 17:00:00,29.479
2022-01-07 18:00:00,48.231
2022-01-07 19:00:00,58.786
2022-01-07 20:00:00,59.608
2022-01-07 21:00:00,55.935
2022-01-07 22:00:00,51.567
2022-01-07 23:00:00,49.715
2022-01-08 00:00:00,47.135
2022-01-08 01:00:00,44.832
2022-01-08 02:00:00,41.942
2022-01-08 03:00:00,39.719
2022-01-08 04:00:00,39.617
2022-01-08 05:00:00,37.193
2022-01-08 06:00:00,34.978
2022-01-08 07:00:00,28.044
2022-01-08 08:00:00,25.071
2022-01-08 09:00:00,18.546
2022-01-08 10:00:00,7.323
2022-01-08 11:00:00,2.41
2022-01-08 12:00:00,0.678
2022-01-08 13:00:00,0.119
2022-01-08 14:00:00,0.023
2022-01-08 15:00:00,0.014
2022-01-08 16:00:00,0.039
2022-01-08 17:00:00,0.269
2022-01-08 18:00:00,1.168
2022-01-08 19:00:00,3.844
2022-01-08 20:00:00,9.092
2022-01-08 21:00:00,15.464
2022-01-08 22:00:00,20.616
2022-01-08 23:00:00,24.278
2022-01-09 00:00:00,27.603
2022-01-09 01:00:00,29.251
2022-01-09 02:00:00,26.387
2022-01-09 03:00:00,22.261
2022-01-09 04:00:00,19.525
2022-01-09 05:00:00,17.876
2022-01-09 06:00:00,17.878
2022-01-09 07:00:00,17.974
2022-01-09 08:00:00,19.246
2022-01-09 09:00:00,19.399
2022-01-09 10:00:00,13.837
2022-01-09 11:00:00,6.542
2022-01-09 12:00:00,3.024
2022-01-09 13:00:00,1.953
2022-01-09 14:00:00,2.29
2022-01-09 15:00:00,3.685
2022-01-09 16:00:00,6.467
2022-01-09 17:00:00,12.782
2022-01-09 18:00:00,23.12
2022-01-09 19:00:00,28.783
2022-01-09 20:00:00,30.179
2022-01-09 21:00:00,31.253
2022-01-09 22:00:00,32.173
2022-01-09 23:00:00,29.439
2022-01-10 00:00:00,25.033
2022-01-10 01:00:00,20.765
2022-01-10 02:00:00,16.628
2022-01-10 03:00:00,13.081
2022-01-10 04:00:00,11.554
2022-01-10 05:00:00,9.75
2022-01-10 06:00:00,6.182
2022-01-10 07:00:00,5.226
2022-01-10 08:00:00,5.271
2022-01-10 09:00:00,4.678
2022-01-10 10:00:00,2.511
2022-01-10 11:00:00,0.835
2022-01-10 12:00:00,0.0
2022-01-10 13:00:00,0.0
2022-01-10 14:00:00,0.0
2022-01-10 15:00:00,0.032
2022-01-10 16:00:00,0.756
2022-01-10 17:00:00,5.726
2022-01-10 18:00:00,16.541
2022-01-10 19:00:00,29.459
2022-01-10 20:00:00,37.254
2022-01-10 21:00:00,44.09
2022-01-10 22:00:00,55.938
2022-01-10 23:00:00,72.414
2022-01-11 00:00:00,63.138
2022-01-11 01:00:00,56.97
2022-01-11 02:00:00,63.781
2022-01-11 03:00:00,70.52
2022-01-11 04:00:00,72.665
2022-01-11 05:00:00,71.846
2022-01-11 06:00:00,67.832
2022-01-11 07:00:00,59.562
2022-01-11 08:00:00,67.942
2022-01-11 09:00:00,70.925
2022-01-11 10:00:00,62.506
2022-01-11 11:00:00,52.77
2022-01-11 12:00:00,43.1
2022-01-11 13:00:00,33.795
2022-01-11 14:00:00,25.615
2022-01-11 15:00:00,18.899
2022-01-11 16:00:00,14.443
2022-01-11 17:00:00,15.337
2022-01-11 18:00:00,22.834
2022-01-11 19:00:00,33.442
2022-01-11 20:00:00,43.955
2022-01-11 21:00:00,50.64
2022-01-11 22:00:00,50.641
2022-01-11 23:00:00,46.05
2022-01-12 00:00:00,40.911
2022-01-12 01:00:00,36.84
2022-01-12 02:00:00,34.029
2022-01-12 03:00:00,32.559
2022-01-12 04:00:00,30.737
2022-01-12 05:00:00,29.289
2022-01-12 06:00:00,28.166
2022-01-12 07:00:00,21.899
2022-01-12 08:00:00,10.583
2022-01-12 09:00:00,6.756
2022-01-12 10:00:00,0.9450000000000001
2022-01-12 11:00:00,0.028
2022-01-12 12:00:00,0.0
2022-01-12 13:00:00,0.003
2022-01-12 14:00:00,0.06
2022-01-12 15:00:00,0.144
2022-01-12 16:00:00,0.15
2022-01-12 17:00:00,0.077
2022-01-12 18:00:00,0.315
2022-01-12 19:00:00,1.928
2022-01-12 20:00:00,4.813
2022-01-12 21:00:00,7.942
2022-01-12 22:00:00,10.256
2022-01-12 23:00:00,13.178
2022-01-13 00:00:00,17.584
2022-01-13 01:00:00,22.719
2022-01-13 02:00:00,29.363
2022-01-13 03:00:00,32.562
2022-01-13 04:00:00,35.943
2022-01-13 05:00:00,36.317
2022-01-13 06:00:00,32.693
2022-01-13 07:00:00,27.021
2022-01-13 08:00:00,31.904
2022-01-13 09:00:00,39.195
2022-01-13 10:00:00,35.25
2022-01-13 11:00:00,28.46
2022-01-13 12:00:00,22.891
2022-01-13 13:00:00,18.753
2022-01-13 14:00:00,16.202
2022-01-13 15:00:00,16.182
2022-01-13 16:00:00,18.758
2022-01-13 17:00:00,19.951
2022-01-13 18:00:00,23.455
2022-01-13 19:00:00,26.757
2022-01-13 20:00:00,31.904
2022-01-13 21:00:00,36.592
2022-01-13 22:00:00,41.643
2022-01-13 23:00:00,42.016
2022-01-14 00:00:00,36.775
2022-01-14 01:00:00,31.899
2022-01-14 02:00:00,29.802
2022-01-14 03:00:00,31.642
2022-01-14 04:00:00,28.26
2022-01-14 05:00:00,23.12
2022-01-14 06:00:00,19.805
2022-01-14 07:00:00,14.337
2022-01-14 08:00:00,5.589
2022-01-14 09:00:00,4.688
2022-01-14 10:00:00,6.69
2022-01-14 11:00:00,5.602
2022-01-14 12:00:00,5.031
2022-01-14 13:00:00,6.094
2022-01-14 14:00:00,7.289
2022-01-14 15:00:00,7.721
2022-01-14 16:00:00,7.724
2022-01-14 17:00:00,10.361
2022-01-14 18:00:00,16.886
2022-01-14 19:00:00,18.194
2022-01-14 20:00:00,14.403
2022-01-14 21:00:00,9.613
2022-01-14 22:00:00,6.207
2022-01-14 23:00:00,3.793
2022-01-15 00:00:00,2.355
2022-01-15 01:00:00,1.721
