time,electricity
2022-01-01 08:00:00,8.435
2022-01-01 09:00:00,9.565
2022-01-01 10:00:00,10.033
2022-01-01 11:00:00,7.355
2022-01-01 12:00:00,3.999
2022-01-01 13:00:00,1.54
2022-01-01 14:00:00,0.347
2022-01-01 15:00:00,0.038
2022-01-01 16:00:00,0.046
2022-01-01 17:00:00,0.458
2022-01-01 18:00:00,2.033
2022-01-01 19:00:00,1.704
2022-01-01 20:00:00,0.425
2022-01-01 21:00:00,0.025
2022-01-01 22:00:00,0.001
2022-01-01 23:00:00,0.0
2022-01-02 00:00:00,0.007
2022-01-02 01:00:00,0.015
2022-01-02 02:00:00,0.007
2022-01-02 03:00:00,0.005
2022-01-02 04:00:00,0.007
2022-01-02 05:00:00,0.022
2022-01-02 06:00:00,0.182
2022-01-02 07:00:00,0.675
2022-01-02 08:00:00,0.599
2022-01-02 09:00:00,0.864
2022-01-02 10:00:00,2.314
2022-01-02 11:00:00,3.427
2022-01-02 12:00:00,3.881
2022-01-02 13:00:00,4.531
2022-01-02 14:00:00,5.296
2022-01-02 15:00:00,7.132
2022-01-02 16:00:00,12.128
2022-01-02 17:00:00,14.643
2022-01-02 18:00:00,16.966
2022-01-02 19:00:00,14.454
2022-01-02 20:00:00,10.025
2022-01-02 21:00:00,9.735
2022-01-02 22:00:00,9.706
2022-01-02 23:00:00,9.037
2022-01-03 00:00:00,9.298
2022-01-03 01:00:00,12.125
2022-01-03 02:00:00,13.785
2022-01-03 03:00:00,13.338
2022-01-03 04:00:00,13.341
2022-01-03 05:00:00,13.097
2022-01-03 06:00:00,12.173
2022-01-03 07:00:00,11.434
2022-01-03 08:00:00,6.972
2022-01-03 09:00:00,4.086
2022-01-03 10:00:00,6.443
2022-01-03 11:00:00,9.61
2022-01-03 12:00:00,12.414
2022-01-03 13:00:00,14.831
2022-01-03 14:00:00,15.912
2022-01-03 15:00:00,17.15
2022-01-03 16:00:00,21.6
2022-01-03 17:00:00,30.612
2022-01-03 18:00:00,41.839
2022-01-03 19:00:00,38.493
2022-01-03 20:00:00,26.367
2022-01-03 21:00:00,18.082
2022-01-03 22:00:00,12.256
2022-01-03 23:00:00,9.509
2022-01-04 00:00:00,8.841
2022-01-04 01:00:00,7.904
2022-01-04 02:00:00,6.345
2022-01-04 03:00:00,3.781
2022-01-04 04:00:00,4.014
2022-01-04 05:00:00,6.288
2022-01-04 06:00:00,6.435
2022-01-04 07:00:00,4.694
2022-01-04 08:00:00,1.937
2022-01-04 09:00:00,4.406
2022-01-04 10:00:00,9.247
2022-01-04 11:00:00,16.231
2022-01-04 12:00:00,26.365
2022-01-04 13:00:00,35.298
2022-01-04 14:00:00,39.786
2022-01-04 15:00:00,36.162
2022-01-04 16:00:00,28.166
2022-01-04 17:00:00,30.83
2022-01-04 18:00:00,37.354
2022-01-04 19:00:00,38.15
2022-01-04 20:00:00,30.41
2022-01-04 21:00:00,19.289
2022-01-04 22:00:00,9.054
2022-01-04 23:00:00,4.612
2022-01-05 00:00:00,5.285
2022-01-05 01:00:00,7.389
2022-01-05 02:00:00,9.173
2022-01-05 03:00:00,9.13
2022-01-05 04:00:00,9.051
2022-01-05 05:00:00,8.299
2022-01-05 06:00:00,7.078
2022-01-05 07:00:00,5.327
2022-01-05 08:00:00,2.136
2022-01-05 09:00:00,0.634
2022-01-05 10:00:00,1.009
2022-01-05 11:00:00,0.445
2022-01-05 12:00:00,0.193
2022-01-05 13:00:00,0.648
2022-01-05 14:00:00,1.682
2022-01-05 15:00:00,3.141
2022-01-05 16:00:00,5.821
2022-01-05 17:00:00,16.435
2022-01-05 18:00:00,36.441
2022-01-05 19:00:00,42.715
2022-01-05 20:00:00,38.367
2022-01-05 21:00:00,33.217
2022-01-05 22:00:00,26.369
2022-01-05 23:00:00,18.225
2022-01-06 00:00:00,11.289
2022-01-06 01:00:00,10.575
2022-01-06 02:00:00,10.995
2022-01-06 03:00:00,10.296
2022-01-06 04:00:00,7.152
2022-01-06 05:00:00,6.073
2022-01-06 06:00:00,4.151
2022-01-06 07:00:00,2.599
2022-01-06 08:00:00,1.283
2022-01-06 09:00:00,0.713
2022-01-06 10:00:00,1.498
2022-01-06 11:00:00,3.774
2022-01-06 12:00:00,6.352
2022-01-06 13:00:00,7.614
2022-01-06 14:00:00,7.724
2022-01-06 15:00:00,7.702
2022-01-06 16:00:00,8.358
2022-01-06 17:00:00,10.092
2022-01-06 18:00:00,15.212
2022-01-06 19:00:00,15.501
2022-01-06 20:00:00,13.846
2022-01-06 21:00:00,10.829
2022-01-06 22:00:00,7.898
2022-01-06 23:00:00,5.133
2022-01-07 00:00:00,3.431
2022-01-07 01:00:00,2.437
2022-01-07 02:00:00,1.822
2022-01-07 03:00:00,1.248
2022-01-07 04:00:00,1.106
2022-01-07 05:00:00,1.346
2022-01-07 06:00:00,1.646
2022-01-07 07:00:00,1.915
2022-01-07 08:00:00,1.968
2022-01-07 09:00:00,1.652
2022-01-07 10:00:00,1.339
2022-01-07 11:00:00,0.795
2022-01-07 12:00:00,0.437
2022-01-07 13:00:00,0.367
2022-01-07 14:00:00,0.505
2022-01-07 15:00:00,0.919
2022-01-07 16:00:00,2.772
2022-01-07 17:00:00,6.703
2022-01-07 18:00:00,10.926
2022-01-07 19:00:00,9.05
2022-01-07 20:00:00,7.341
2022-01-07 21:00:00,8.037
2022-01-07 22:00:00,7.84
2022-01-07 23:00:00,6.636
2022-01-08 00:00:00,5.685
2022-01-08 01:00:00,3.913
2022-01-08 02:00:00,2.527
2022-01-08 03:00:00,1.744
2022-01-08 04:00:00,1.485
2022-01-08 05:00:00,1.99
2022-01-08 06:00:00,2.307
2022-01-08 07:00:00,2.702
2022-01-08 08:00:00,2.431
2022-01-08 09:00:00,2.566
2022-01-08 10:00:00,2.523
2022-01-08 11:00:00,1.713
2022-01-08 12:00:00,0.846
2022-01-08 13:00:00,0.376
2022-01-08 14:00:00,0.271
2022-01-08 15:00:00,0.44
2022-01-08 16:00:00,0.933
2022-01-08 17:00:00,2.407
2022-01-08 18:00:00,5.108
2022-01-08 19:00:00,5.327
2022-01-08 20:00:00,3.853
2022-01-08 21:00:00,1.704
2022-01-08 22:00:00,0.686
2022-01-08 23:00:00,0.476
2022-01-09 00:00:00,0.586
2022-01-09 01:00:00,0.861
2022-01-09 02:00:00,1.174
2022-01-09 03:00:00,1.839
2022-01-09 04:00:00,2.209
2022-01-09 05:00:00,2.279
2022-01-09 06:00:00,1.762
2022-01-09 07:00:00,1.095
2022-01-09 08:00:00,0.324
2022-01-09 09:00:00,0.099
2022-01-09 10:00:00,0.059
2022-01-09 11:00:00,0.013
2022-01-09 12:00:00,0.005
2022-01-09 13:00:00,0.03
2022-01-09 14:00:00,0.19
2022-01-09 15:00:00,0.6900000000000001
2022-01-09 16:00:00,2.011
2022-01-09 17:00:00,5.345
2022-01-09 18:00:00,13.443
2022-01-09 19:00:00,15.754
2022-01-09 20:00:00,10.616
2022-01-09 21:00:00,7.174
2022-01-09 22:00:00,6.891
2022-01-09 23:00:00,7.325
2022-01-10 00:00:00,6.566
2022-01-10 01:00:00,6.11
2022-01-10 02:00:00,5.357
2022-01-10 03:00:00,4.364
2022-01-10 04:00:00,2.846
2022-01-10 05:00:00,1.013
2022-01-10 06:00:00,0.106
2022-01-10 07:00:00,0.355
2022-01-10 08:00:00,2.123
2022-01-10 09:00:00,5.325
2022-01-10 10:00:00,10.647
