time,electricity
2022-01-01 08:00:00,26.124
2022-01-01 09:00:00,24.687
2022-01-01 10:00:00,41.013
2022-01-01 11:00:00,46.599
2022-01-01 12:00:00,48.635
2022-01-01 13:00:00,49.431
2022-01-01 14:00:00,49.515
2022-01-01 15:00:00,48.856
2022-01-01 16:00:00,46.107
2022-01-01 17:00:00,43.306
2022-01-01 18:00:00,41.614
2022-01-01 19:00:00,39.26
2022-01-01 20:00:00,34.694
2022-01-01 21:00:00,28.553
2022-01-01 22:00:00,22.55
2022-01-01 23:00:00,16.543
2022-01-02 00:00:00,12.069
2022-01-02 01:00:00,10.275
2022-01-02 02:00:00,9.0
2022-01-02 03:00:00,7.916
2022-01-02 04:00:00,6.226
2022-01-02 05:00:00,4.573
2022-01-02 06:00:00,2.988
2022-01-02 07:00:00,2.296
2022-01-02 08:00:00,3.038
2022-01-02 09:00:00,2.422
2022-01-02 10:00:00,3.932
2022-01-02 11:00:00,6.327
2022-01-02 12:00:00,7.095
2022-01-02 13:00:00,6.718
2022-01-02 14:00:00,5.799
2022-01-02 15:00:00,3.979
2022-01-02 16:00:00,2.638
2022-01-02 17:00:00,2.495
2022-01-02 18:00:00,2.801
2022-01-02 19:00:00,3.949
2022-01-02 20:00:00,5.272
2022-01-02 21:00:00,6.213
2022-01-02 22:00:00,6.755
2022-01-02 23:00:00,7.264
2022-01-03 00:00:00,8.127
2022-01-03 01:00:00,9.357
2022-01-03 02:00:00,11.13
2022-01-03 03:00:00,14.747
2022-01-03 04:00:00,18.677
2022-01-03 05:00:00,19.514
2022-01-03 06:00:00,20.425
2022-01-03 07:00:00,22.001
2022-01-03 08:00:00,20.688
2022-01-03 09:00:00,15.947
2022-01-03 10:00:00,19.838
2022-01-03 11:00:00,21.703
2022-01-03 12:00:00,19.995
2022-01-03 13:00:00,17.912
2022-01-03 14:00:00,14.984
2022-01-03 15:00:00,9.895
2022-01-03 16:00:00,4.136
2022-01-03 17:00:00,1.152
2022-01-03 18:00:00,0.154
2022-01-03 19:00:00,0.02
2022-01-03 20:00:00,0.005
2022-01-03 21:00:00,0.003
2022-01-03 22:00:00,0.015
2022-01-03 23:00:00,0.109
2022-01-04 00:00:00,0.209
2022-01-04 01:00:00,0.163
2022-01-04 02:00:00,0.063
2022-01-04 03:00:00,0.026
2022-01-04 04:00:00,0.03
2022-01-04 05:00:00,0.112
2022-01-04 06:00:00,0.355
2022-01-04 07:00:00,0.656
2022-01-04 08:00:00,1.254
2022-01-04 09:00:00,1.478
2022-01-04 10:00:00,3.303
2022-01-04 11:00:00,5.814
2022-01-04 12:00:00,5.344
2022-01-04 13:00:00,3.346
2022-01-04 14:00:00,1.47
2022-01-04 15:00:00,0.528
2022-01-04 16:00:00,1.323
2022-01-04 17:00:00,2.208
2022-01-04 18:00:00,1.894
2022-01-04 19:00:00,1.577
2022-01-04 20:00:00,1.114
2022-01-04 21:00:00,0.897
2022-01-04 22:00:00,0.879
2022-01-04 23:00:00,0.8210000000000001
2022-01-05 00:00:00,0.711
2022-01-05 01:00:00,0.528
2022-01-05 02:00:00,0.342
2022-01-05 03:00:00,0.199
2022-01-05 04:00:00,0.123
2022-01-05 05:00:00,0.095
2022-01-05 06:00:00,0.063
2022-01-05 07:00:00,0.04
2022-01-05 08:00:00,0.021
2022-01-05 09:00:00,0.007
2022-01-05 10:00:00,0.025
2022-01-05 11:00:00,0.082
2022-01-05 12:00:00,0.048
2022-01-05 13:00:00,0.029
2022-01-05 14:00:00,0.005
2022-01-05 15:00:00,0.021
2022-01-05 16:00:00,0.017
2022-01-05 17:00:00,0.001
2022-01-05 18:00:00,0.032
2022-01-05 19:00:00,0.512
2022-01-05 20:00:00,1.754
2022-01-05 21:00:00,2.983
2022-01-05 22:00:00,3.927
2022-01-05 23:00:00,4.17
2022-01-06 00:00:00,3.743
2022-01-06 01:00:00,3.045
2022-01-06 02:00:00,2.378
2022-01-06 03:00:00,1.889
2022-01-06 04:00:00,1.511
2022-01-06 05:00:00,1.115
2022-01-06 06:00:00,0.595
2022-01-06 07:00:00,0.182
2022-01-06 08:00:00,0.038
2022-01-06 09:00:00,0.004
2022-01-06 10:00:00,0.085
2022-01-06 11:00:00,0.282
2022-01-06 12:00:00,0.378
2022-01-06 13:00:00,0.324
2022-01-06 14:00:00,0.312
2022-01-06 15:00:00,0.516
2022-01-06 16:00:00,1.506
2022-01-06 17:00:00,1.604
2022-01-06 18:00:00,1.089
