time,electricity
2022-01-01 08:00:00,0.88
2022-01-01 09:00:00,0.077
2022-01-01 10:00:00,0.001
2022-01-01 11:00:00,0.0
2022-01-01 12:00:00,0.0
2022-01-01 13:00:00,0.0
2022-01-01 14:00:00,0.003
2022-01-01 15:00:00,0.14
2022-01-01 16:00:00,0.794
2022-01-01 17:00:00,0.9580000000000001
2022-01-01 18:00:00,0.714
2022-01-01 19:00:00,0.514
2022-01-01 20:00:00,0.398
2022-01-01 21:00:00,0.186
2022-01-01 22:00:00,0.123
2022-01-01 23:00:00,0.508
2022-01-02 00:00:00,1.6
2022-01-02 01:00:00,3.63
2022-01-02 02:00:00,6.362
2022-01-02 03:00:00,7.748
2022-01-02 04:00:00,10.512
2022-01-02 05:00:00,9.745
2022-01-02 06:00:00,10.282
2022-01-02 07:00:00,10.778
2022-01-02 08:00:00,9.285
2022-01-02 09:00:00,8.299
2022-01-02 10:00:00,10.019
2022-01-02 11:00:00,11.015
2022-01-02 12:00:00,11.654
2022-01-02 13:00:00,11.287
2022-01-02 14:00:00,11.827
2022-01-02 15:00:00,13.401
2022-01-02 16:00:00,14.608
2022-01-02 17:00:00,15.237
2022-01-02 18:00:00,17.393
2022-01-02 19:00:00,18.403
2022-01-02 20:00:00,19.072
2022-01-02 21:00:00,17.79
2022-01-02 22:00:00,15.891
2022-01-02 23:00:00,13.321
2022-01-03 00:00:00,9.619
2022-01-03 01:00:00,6.702
2022-01-03 02:00:00,6.527
2022-01-03 03:00:00,5.755
2022-01-03 04:00:00,5.316
2022-01-03 05:00:00,5.628
2022-01-03 06:00:00,6.305
2022-01-03 07:00:00,6.976
2022-01-03 08:00:00,6.043
2022-01-03 09:00:00,4.23
2022-01-03 10:00:00,2.87
2022-01-03 11:00:00,4.59
2022-01-03 12:00:00,6.762
2022-01-03 13:00:00,6.434
2022-01-03 14:00:00,5.398
2022-01-03 15:00:00,7.216
2022-01-03 16:00:00,7.873
2022-01-03 17:00:00,8.209
2022-01-03 18:00:00,8.545
2022-01-03 19:00:00,8.79
2022-01-03 20:00:00,8.073
2022-01-03 21:00:00,7.2
2022-01-03 22:00:00,7.708
2022-01-03 23:00:00,8.094
2022-01-04 00:00:00,7.349
2022-01-04 01:00:00,6.424
2022-01-04 02:00:00,6.056
2022-01-04 03:00:00,6.049
2022-01-04 04:00:00,6.305
2022-01-04 05:00:00,6.915
2022-01-04 06:00:00,7.837
2022-01-04 07:00:00,8.608
2022-01-04 08:00:00,6.575
2022-01-04 09:00:00,3.404
2022-01-04 10:00:00,1.811
2022-01-04 11:00:00,2.297
2022-01-04 12:00:00,3.534
2022-01-04 13:00:00,2.987
2022-01-04 14:00:00,2.255
2022-01-04 15:00:00,4.487
2022-01-04 16:00:00,7.193
2022-01-04 17:00:00,8.374
2022-01-04 18:00:00,9.16
2022-01-04 19:00:00,9.415
2022-01-04 20:00:00,8.791
2022-01-04 21:00:00,8.361
2022-01-04 22:00:00,8.096
2022-01-04 23:00:00,7.639
2022-01-05 00:00:00,6.635
2022-01-05 01:00:00,5.526
2022-01-05 02:00:00,4.844
2022-01-05 03:00:00,4.5
2022-01-05 04:00:00,4.431
2022-01-05 05:00:00,4.317
2022-01-05 06:00:00,4.017
2022-01-05 07:00:00,3.446
2022-01-05 08:00:00,2.95
2022-01-05 09:00:00,1.389
2022-01-05 10:00:00,0.107
2022-01-05 11:00:00,0.073
2022-01-05 12:00:00,0.305
2022-01-05 13:00:00,0.214
2022-01-05 14:00:00,0.045
2022-01-05 15:00:00,0.025
2022-01-05 16:00:00,0.032
2022-01-05 17:00:00,0.064
2022-01-05 18:00:00,0.108
2022-01-05 19:00:00,0.107
2022-01-05 20:00:00,0.06
2022-01-05 21:00:00,0.011
2022-01-05 22:00:00,0.0
2022-01-05 23:00:00,0.002
2022-01-06 00:00:00,0.383
2022-01-06 01:00:00,1.95
2022-01-06 02:00:00,3.339
2022-01-06 03:00:00,3.95
2022-01-06 04:00:00,3.713
2022-01-06 05:00:00,3.039
2022-01-06 06:00:00,2.359
2022-01-06 07:00:00,1.778
2022-01-06 08:00:00,0.844
2022-01-06 09:00:00,0.024
2022-01-06 10:00:00,0.005
2022-01-06 11:00:00,0.151
2022-01-06 12:00:00,0.614
2022-01-06 13:00:00,1.093
2022-01-06 14:00:00,1.38
2022-01-06 15:00:00,1.294
2022-01-06 16:00:00,1.955
2022-01-06 17:00:00,3.035
2022-01-06 18:00:00,4.141
2022-01-06 19:00:00,5.131
2022-01-06 20:00:00,6.25
2022-01-06 21:00:00,7.537
2022-01-06 22:00:00,8.538
2022-01-06 23:00:00,8.967
2022-01-07 00:00:00,8.1
2022-01-07 01:00:00,6.217
2022-01-07 02:00:00,4.867
2022-01-07 03:00:00,4.205
2022-01-07 04:00:00,3.874
2022-01-07 05:00:00,3.875
2022-01-07 06:00:00,4.41
2022-01-07 07:00:00,5.307
2022-01-07 08:00:00,4.229
2022-01-07 09:00:00,1.494
2022-01-07 10:00:00,0.737
2022-01-07 11:00:00,1.444
2022-01-07 12:00:00,1.597
2022-01-07 13:00:00,1.268
2022-01-07 14:00:00,0.534
2022-01-07 15:00:00,0.633
2022-01-07 16:00:00,1.467
2022-01-07 17:00:00,2.677
2022-01-07 18:00:00,4.091
2022-01-07 19:00:00,4.946
2022-01-07 20:00:00,4.838
2022-01-07 21:00:00,4.489
2022-01-07 22:00:00,3.996
2022-01-07 23:00:00,3.481
2022-01-08 00:00:00,3.377
2022-01-08 01:00:00,3.867
2022-01-08 02:00:00,4.548
2022-01-08 03:00:00,5.097
2022-01-08 04:00:00,5.508
2022-01-08 05:00:00,5.335
2022-01-08 06:00:00,5.931
2022-01-08 07:00:00,6.451
2022-01-08 08:00:00,5.109
2022-01-08 09:00:00,3.882
2022-01-08 10:00:00,3.392
2022-01-08 11:00:00,3.67
2022-01-08 12:00:00,3.658
2022-01-08 13:00:00,3.035
2022-01-08 14:00:00,2.279
2022-01-08 15:00:00,2.357
2022-01-08 16:00:00,3.122
2022-01-08 17:00:00,3.795
2022-01-08 18:00:00,4.489
2022-01-08 19:00:00,4.719
2022-01-08 20:00:00,4.635
2022-01-08 21:00:00,4.509
2022-01-08 22:00:00,4.641
2022-01-08 23:00:00,5.155
2022-01-09 00:00:00,5.842
2022-01-09 01:00:00,6.574
2022-01-09 02:00:00,7.221
2022-01-09 03:00:00,7.481
2022-01-09 04:00:00,7.594
2022-01-09 05:00:00,7.42
2022-01-09 06:00:00,7.3
2022-01-09 07:00:00,6.706
2022-01-09 08:00:00,4.554
2022-01-09 09:00:00,1.493
2022-01-09 10:00:00,0.704
2022-01-09 11:00:00,1.02
2022-01-09 12:00:00,1.342
2022-01-09 13:00:00,1.071
2022-01-09 14:00:00,0.629
2022-01-09 15:00:00,0.685
2022-01-09 16:00:00,1.26
2022-01-09 17:00:00,1.259
