time,electricity
2022-01-01 08:00:00,0.895
2022-01-01 09:00:00,0.586
2022-01-01 10:00:00,2.783
2022-01-01 11:00:00,7.051
2022-01-01 12:00:00,6.898
2022-01-01 13:00:00,5.513
2022-01-01 14:00:00,4.616
2022-01-01 15:00:00,4.168
2022-01-01 16:00:00,3.593
2022-01-01 17:00:00,1.79
2022-01-01 18:00:00,0.5730000000000001
2022-01-01 19:00:00,0.206
2022-01-01 20:00:00,0.165
2022-01-01 21:00:00,0.319
2022-01-01 22:00:00,1.006
2022-01-01 23:00:00,1.787
2022-01-02 00:00:00,2.36
2022-01-02 01:00:00,2.367
2022-01-02 02:00:00,1.904
2022-01-02 03:00:00,1.29
2022-01-02 04:00:00,1.3
2022-01-02 05:00:00,1.768
2022-01-02 06:00:00,2.138
2022-01-02 07:00:00,1.783
2022-01-02 08:00:00,0.764
2022-01-02 09:00:00,0.221
2022-01-02 10:00:00,0.202
2022-01-02 11:00:00,0.068
2022-01-02 12:00:00,0.004
2022-01-02 13:00:00,0.0
2022-01-02 14:00:00,0.0
2022-01-02 15:00:00,0.005
2022-01-02 16:00:00,0.309
2022-01-02 17:00:00,1.722
2022-01-02 18:00:00,3.43
2022-01-02 19:00:00,4.54
2022-01-02 20:00:00,4.707
2022-01-02 21:00:00,4.001
2022-01-02 22:00:00,3.254
2022-01-02 23:00:00,2.829
2022-01-03 00:00:00,3.0
2022-01-03 01:00:00,3.678
2022-01-03 02:00:00,4.308
2022-01-03 03:00:00,4.871
2022-01-03 04:00:00,4.941
2022-01-03 05:00:00,4.408
2022-01-03 06:00:00,3.708
2022-01-03 07:00:00,3.082
2022-01-03 08:00:00,2.337
2022-01-03 09:00:00,0.527
2022-01-03 10:00:00,0.392
2022-01-03 11:00:00,0.329
2022-01-03 12:00:00,0.192
2022-01-03 13:00:00,0.046
2022-01-03 14:00:00,0.001
2022-01-03 15:00:00,0.0
2022-01-03 16:00:00,0.022
2022-01-03 17:00:00,0.96
2022-01-03 18:00:00,3.601
2022-01-03 19:00:00,6.569
2022-01-03 20:00:00,8.067
2022-01-03 21:00:00,8.542
2022-01-03 22:00:00,8.602
2022-01-03 23:00:00,7.897
2022-01-04 00:00:00,7.059
2022-01-04 01:00:00,6.662
2022-01-04 02:00:00,6.201
2022-01-04 03:00:00,5.456
2022-01-04 04:00:00,4.562
2022-01-04 05:00:00,3.727
2022-01-04 06:00:00,3.565
2022-01-04 07:00:00,3.951
2022-01-04 08:00:00,3.373
2022-01-04 09:00:00,2.692
2022-01-04 10:00:00,2.478
2022-01-04 11:00:00,2.287
2022-01-04 12:00:00,2.921
2022-01-04 13:00:00,2.642
2022-01-04 14:00:00,3.185
2022-01-04 15:00:00,6.567
2022-01-04 16:00:00,10.504
2022-01-04 17:00:00,13.955
2022-01-04 18:00:00,15.946
2022-01-04 19:00:00,16.48
2022-01-04 20:00:00,15.058
2022-01-04 21:00:00,14.908
2022-01-04 22:00:00,14.46
2022-01-04 23:00:00,13.185
2022-01-05 00:00:00,11.88
2022-01-05 01:00:00,12.423
2022-01-05 02:00:00,9.036
2022-01-05 03:00:00,12.05
2022-01-05 04:00:00,12.335
2022-01-05 05:00:00,13.292
2022-01-05 06:00:00,12.112
2022-01-05 07:00:00,10.949
2022-01-05 08:00:00,11.036
2022-01-05 09:00:00,10.703
2022-01-05 10:00:00,11.255
2022-01-05 11:00:00,13.134
2022-01-05 12:00:00,14.504
2022-01-05 13:00:00,15.407
2022-01-05 14:00:00,15.634
2022-01-05 15:00:00,16.61
2022-01-05 16:00:00,16.681
2022-01-05 17:00:00,15.243
2022-01-05 18:00:00,15.582
2022-01-05 19:00:00,13.183
2022-01-05 20:00:00,9.167
2022-01-05 21:00:00,7.343
2022-01-05 22:00:00,6.462
2022-01-05 23:00:00,6.047
2022-01-06 00:00:00,5.889
2022-01-06 01:00:00,5.907
2022-01-06 02:00:00,6.339
2022-01-06 03:00:00,6.476
2022-01-06 04:00:00,7.035
2022-01-06 05:00:00,6.783
2022-01-06 06:00:00,6.936
2022-01-06 07:00:00,7.969
2022-01-06 08:00:00,8.884
2022-01-06 09:00:00,10.492
2022-01-06 10:00:00,13.678
2022-01-06 11:00:00,15.612
2022-01-06 12:00:00,14.69
2022-01-06 13:00:00,14.292
2022-01-06 14:00:00,16.161
2022-01-06 15:00:00,18.832
2022-01-06 16:00:00,16.693
2022-01-06 17:00:00,12.583
2022-01-06 18:00:00,8.777
2022-01-06 19:00:00,9.236
2022-01-06 20:00:00,12.698
2022-01-06 21:00:00,12.066
2022-01-06 22:00:00,10.405
2022-01-06 23:00:00,8.891
2022-01-07 00:00:00,7.819
2022-01-07 01:00:00,7.22
2022-01-07 02:00:00,6.718
2022-01-07 03:00:00,5.47
2022-01-07 04:00:00,5.254
2022-01-07 05:00:00,5.131
2022-01-07 06:00:00,4.306
2022-01-07 07:00:00,3.194
2022-01-07 08:00:00,1.753
2022-01-07 09:00:00,1.79
2022-01-07 10:00:00,1.272
2022-01-07 11:00:00,0.675
2022-01-07 12:00:00,0.471
2022-01-07 13:00:00,0.6940000000000001
2022-01-07 14:00:00,1.439
2022-01-07 15:00:00,2.779
2022-01-07 16:00:00,4.742
2022-01-07 17:00:00,7.945
2022-01-07 18:00:00,10.111
2022-01-07 19:00:00,9.581
2022-01-07 20:00:00,7.428
2022-01-07 21:00:00,4.739
2022-01-07 22:00:00,3.181
2022-01-07 23:00:00,2.594
2022-01-08 00:00:00,2.321
2022-01-08 01:00:00,1.861
2022-01-08 02:00:00,1.28
2022-01-08 03:00:00,0.978
2022-01-08 04:00:00,1.231
2022-01-08 05:00:00,1.562
2022-01-08 06:00:00,1.135
2022-01-08 07:00:00,0.6930000000000001
2022-01-08 08:00:00,0.131
2022-01-08 09:00:00,0.054
2022-01-08 10:00:00,0.022
2022-01-08 11:00:00,0.001
2022-01-08 12:00:00,0.0
2022-01-08 13:00:00,0.01
2022-01-08 14:00:00,0.134
2022-01-08 15:00:00,0.659
2022-01-08 16:00:00,2.059
2022-01-08 17:00:00,4.062
2022-01-08 18:00:00,4.524
2022-01-08 19:00:00,3.87
2022-01-08 20:00:00,2.608
2022-01-08 21:00:00,1.549
2022-01-08 22:00:00,0.904
2022-01-08 23:00:00,0.635
2022-01-09 00:00:00,0.528
2022-01-09 01:00:00,0.47
2022-01-09 02:00:00,0.51
2022-01-09 03:00:00,0.642
2022-01-09 04:00:00,0.731
2022-01-09 05:00:00,0.725
2022-01-09 06:00:00,0.658
2022-01-09 07:00:00,0.49
2022-01-09 08:00:00,0.118
2022-01-09 09:00:00,0.03
2022-01-09 10:00:00,0.012
2022-01-09 11:00:00,0.004
2022-01-09 12:00:00,0.001
2022-01-09 13:00:00,0.002
2022-01-09 14:00:00,0.014
2022-01-09 15:00:00,0.052
2022-01-09 16:00:00,0.253
2022-01-09 17:00:00,1.441
2022-01-09 18:00:00,3.638
2022-01-09 19:00:00,6.236
2022-01-09 20:00:00,7.276
2022-01-09 21:00:00,5.592
2022-01-09 22:00:00,2.976
2022-01-09 23:00:00,2.33
2022-01-10 00:00:00,2.329
2022-01-10 01:00:00,2.027
2022-01-10 02:00:00,1.818
2022-01-10 03:00:00,1.356
2022-01-10 04:00:00,0.6920000000000001
2022-01-10 05:00:00,0.212
2022-01-10 06:00:00,0.061
2022-01-10 07:00:00,0.02
2022-01-10 08:00:00,0.006
2022-01-10 09:00:00,0.0
2022-01-10 10:00:00,0.204
2022-01-10 11:00:00,1.345
2022-01-10 12:00:00,2.401
2022-01-10 13:00:00,3.601
2022-01-10 14:00:00,5.483
2022-01-10 15:00:00,8.039
2022-01-10 16:00:00,8.792
2022-01-10 17:00:00,10.604
2022-01-10 18:00:00,13.413
2022-01-10 19:00:00,15.437
2022-01-10 20:00:00,14.776
2022-01-10 21:00:00,12.046
2022-01-10 22:00:00,9.909
2022-01-10 23:00:00,8.909
2022-01-11 00:00:00,7.014
2022-01-11 01:00:00,4.394
2022-01-11 02:00:00,2.65
2022-01-11 03:00:00,1.3
2022-01-11 04:00:00,0.616
2022-01-11 05:00:00,0.169
2022-01-11 06:00:00,0.059
2022-01-11 07:00:00,0.028
2022-01-11 08:00:00,0.003
2022-01-11 09:00:00,0.0
2022-01-11 10:00:00,0.0
2022-01-11 11:00:00,0.075
2022-01-11 12:00:00,0.206
2022-01-11 13:00:00,0.154
2022-01-11 14:00:00,0.053
2022-01-11 15:00:00,0.008
2022-01-11 16:00:00,0.035
2022-01-11 17:00:00,0.621
2022-01-11 18:00:00,2.036
2022-01-11 19:00:00,3.217
2022-01-11 20:00:00,3.235
2022-01-11 21:00:00,2.467
2022-01-11 22:00:00,2.006
2022-01-11 23:00:00,1.974
2022-01-12 00:00:00,2.33
2022-01-12 01:00:00,3.21
2022-01-12 02:00:00,3.676
2022-01-12 03:00:00,3.739
2022-01-12 04:00:00,4.463
2022-01-12 05:00:00,5.488
2022-01-12 06:00:00,5.524
2022-01-12 07:00:00,4.984
2022-01-12 08:00:00,2.722
2022-01-12 09:00:00,2.005
2022-01-12 10:00:00,4.032
2022-01-12 11:00:00,4.202
2022-01-12 12:00:00,4.661
2022-01-12 13:00:00,4.42
2022-01-12 14:00:00,4.36
2022-01-12 15:00:00,4.609
2022-01-12 16:00:00,6.457
2022-01-12 17:00:00,8.281
2022-01-12 18:00:00,8.314
2022-01-12 19:00:00,9.049
2022-01-12 20:00:00,11.022
2022-01-12 21:00:00,13.293
2022-01-12 22:00:00,21.636
2022-01-12 23:00:00,27.39
2022-01-13 00:00:00,26.714
2022-01-13 01:00:00,22.518
2022-01-13 02:00:00,18.204
2022-01-13 03:00:00,15.205
2022-01-13 04:00:00,13.517
2022-01-13 05:00:00,13.092
2022-01-13 06:00:00,12.55
2022-01-13 07:00:00,10.604
2022-01-13 08:00:00,7.78
2022-01-13 09:00:00,16.718
2022-01-13 10:00:00,15.509
2022-01-13 11:00:00,9.838
2022-01-13 12:00:00,6.675
2022-01-13 13:00:00,5.964
2022-01-13 14:00:00,5.405
2022-01-13 15:00:00,4.996
2022-01-13 16:00:00,5.236
2022-01-13 17:00:00,5.341
2022-01-13 18:00:00,4.957
2022-01-13 19:00:00,5.13
2022-01-13 20:00:00,5.055
2022-01-13 21:00:00,5.722
2022-01-13 22:00:00,5.887
2022-01-13 23:00:00,7.753
2022-01-14 00:00:00,10.604
2022-01-14 01:00:00,12.067
2022-01-14 02:00:00,11.29
2022-01-14 03:00:00,8.962
2022-01-14 04:00:00,6.037
2022-01-14 05:00:00,2.849
2022-01-14 06:00:00,1.144
2022-01-14 07:00:00,0.963
2022-01-14 08:00:00,1.156
2022-01-14 09:00:00,1.195
2022-01-14 10:00:00,1.339
2022-01-14 11:00:00,2.298
2022-01-14 12:00:00,3.44
2022-01-14 13:00:00,3.915
2022-01-14 14:00:00,3.673
2022-01-14 15:00:00,3.124
2022-01-14 16:00:00,2.117
2022-01-14 17:00:00,1.339
2022-01-14 18:00:00,0.961
2022-01-14 19:00:00,1.292
2022-01-14 20:00:00,1.953
2022-01-14 21:00:00,3.056
2022-01-14 22:00:00,4.37
2022-01-14 23:00:00,5.336
2022-01-15 00:00:00,5.368
2022-01-15 01:00:00,4.418
2022-01-15 02:00:00,3.294
2022-01-15 03:00:00,2.572
2022-01-15 04:00:00,1.781
2022-01-15 05:00:00,0.9530000000000001
2022-01-15 06:00:00,0.5650000000000001
2022-01-15 07:00:00,0.833
2022-01-15 08:00:00,1.184
2022-01-15 09:00:00,1.447
2022-01-15 10:00:00,1.66
2022-01-15 11:00:00,1.54
2022-01-15 12:00:00,0.8220000000000001
2022-01-15 13:00:00,0.313
2022-01-15 14:00:00,0.177
2022-01-15 15:00:00,0.091
2022-01-15 16:00:00,0.011
2022-01-15 17:00:00,0.001
2022-01-15 18:00:00,0.01
2022-01-15 19:00:00,0.256
2022-01-15 20:00:00,1.462
2022-01-15 21:00:00,4.381
2022-01-15 22:00:00,6.329
2022-01-15 23:00:00,5.893
2022-01-16 00:00:00,3.863
2022-01-16 01:00:00,1.568
2022-01-16 02:00:00,0.446
2022-01-16 03:00:00,0.109
2022-01-16 04:00:00,0.167
2022-01-16 05:00:00,0.669
2022-01-16 06:00:00,1.653
2022-01-16 07:00:00,2.914
2022-01-16 08:00:00,2.531
2022-01-16 09:00:00,2.111
2022-01-16 10:00:00,1.311
2022-01-16 11:00:00,0.524
2022-01-16 12:00:00,0.146
2022-01-16 13:00:00,0.289
2022-01-16 14:00:00,1.614
2022-01-16 15:00:00,3.218
2022-01-16 16:00:00,5.665
2022-01-16 17:00:00,7.449
2022-01-16 18:00:00,6.523
2022-01-16 19:00:00,5.455
2022-01-16 20:00:00,4.057
2022-01-16 21:00:00,2.491
2022-01-16 22:00:00,1.156
2022-01-16 23:00:00,0.588
2022-01-17 00:00:00,0.321
2022-01-17 01:00:00,0.19
2022-01-17 02:00:00,0.155
2022-01-17 03:00:00,0.165
2022-01-17 04:00:00,0.208
2022-01-17 05:00:00,0.225
2022-01-17 06:00:00,0.12
2022-01-17 07:00:00,0.126
2022-01-17 08:00:00,0.136
2022-01-17 09:00:00,0.211
2022-01-17 10:00:00,0.962
2022-01-17 11:00:00,2.489
2022-01-17 12:00:00,4.63
2022-01-17 13:00:00,7.294
2022-01-17 14:00:00,10.086
2022-01-17 15:00:00,12.815
2022-01-17 16:00:00,14.182
2022-01-17 17:00:00,17.483
2022-01-17 18:00:00,20.276
2022-01-17 19:00:00,20.134
2022-01-17 20:00:00,17.225
2022-01-17 21:00:00,14.177
2022-01-17 22:00:00,11.898
2022-01-17 23:00:00,11.119
2022-01-18 00:00:00,10.436
2022-01-18 01:00:00,9.257
2022-01-18 02:00:00,7.163
2022-01-18 03:00:00,4.243
2022-01-18 04:00:00,1.901
2022-01-18 05:00:00,0.912
2022-01-18 06:00:00,0.409
2022-01-18 07:00:00,0.074
2022-01-18 08:00:00,0.003
2022-01-18 09:00:00,0.0
2022-01-18 10:00:00,0.021
2022-01-18 11:00:00,0.874
2022-01-18 12:00:00,2.473
2022-01-18 13:00:00,3.591
2022-01-18 14:00:00,4.021
2022-01-18 15:00:00,3.978
2022-01-18 16:00:00,3.609
2022-01-18 17:00:00,2.755
2022-01-18 18:00:00,1.802
2022-01-18 19:00:00,1.307
2022-01-18 20:00:00,1.313
2022-01-18 21:00:00,2.031
2022-01-18 22:00:00,3.48
2022-01-18 23:00:00,4.8
2022-01-19 00:00:00,5.011
2022-01-19 01:00:00,3.885
2022-01-19 02:00:00,2.177
2022-01-19 03:00:00,0.782
