time,electricity
2022-01-01 08:00:00,0.533
2022-01-01 09:00:00,0.047
2022-01-01 10:00:00,0.049
2022-01-01 11:00:00,0.062
2022-01-01 12:00:00,0.018
2022-01-01 13:00:00,0.002
2022-01-01 14:00:00,0.0
2022-01-01 15:00:00,0.0
2022-01-01 16:00:00,0.17
2022-01-01 17:00:00,3.664
2022-01-01 18:00:00,6.202
2022-01-01 19:00:00,6.198
2022-01-01 20:00:00,5.359
2022-01-01 21:00:00,4.664
2022-01-01 22:00:00,4.503
2022-01-01 23:00:00,4.051
2022-01-02 00:00:00,2.74
2022-01-02 01:00:00,1.484
2022-01-02 02:00:00,0.905
2022-01-02 03:00:00,0.929
2022-01-02 04:00:00,1.386
2022-01-02 05:00:00,1.95
2022-01-02 06:00:00,1.949
2022-01-02 07:00:00,2.075
2022-01-02 08:00:00,1.666
2022-01-02 09:00:00,0.481
2022-01-02 10:00:00,0.023
2022-01-02 11:00:00,0.001
2022-01-02 12:00:00,0.015
2022-01-02 13:00:00,0.046
2022-01-02 14:00:00,0.1
2022-01-02 15:00:00,0.332
2022-01-02 16:00:00,1.293
2022-01-02 17:00:00,2.919
2022-01-02 18:00:00,3.487
2022-01-02 19:00:00,2.91
2022-01-02 20:00:00,1.631
2022-01-02 21:00:00,0.833
2022-01-02 22:00:00,0.656
2022-01-02 23:00:00,0.9430000000000001
2022-01-03 00:00:00,1.37
2022-01-03 01:00:00,1.568
2022-01-03 02:00:00,1.304
2022-01-03 03:00:00,0.88
2022-01-03 04:00:00,0.67
2022-01-03 05:00:00,0.639
2022-01-03 06:00:00,0.867
2022-01-03 07:00:00,1.376
2022-01-03 08:00:00,1.613
2022-01-03 09:00:00,0.327
2022-01-03 10:00:00,0.03
2022-01-03 11:00:00,0.026
2022-01-03 12:00:00,0.012
2022-01-03 13:00:00,0.031
2022-01-03 14:00:00,0.07
2022-01-03 15:00:00,0.133
2022-01-03 16:00:00,0.217
2022-01-03 17:00:00,0.133
2022-01-03 18:00:00,0.018
2022-01-03 19:00:00,0.0
2022-01-03 20:00:00,0.0
2022-01-03 21:00:00,0.001
2022-01-03 22:00:00,0.107
2022-01-03 23:00:00,0.596
2022-01-04 00:00:00,1.31
2022-01-04 01:00:00,2.307
2022-01-04 02:00:00,3.453
2022-01-04 03:00:00,4.496
2022-01-04 04:00:00,5.078
2022-01-04 05:00:00,5.175
2022-01-04 06:00:00,4.447
2022-01-04 07:00:00,3.874
2022-01-04 08:00:00,2.918
2022-01-04 09:00:00,2.726
2022-01-04 10:00:00,3.143
2022-01-04 11:00:00,3.011
2022-01-04 12:00:00,2.972
2022-01-04 13:00:00,3.204
2022-01-04 14:00:00,3.844
2022-01-04 15:00:00,4.922
2022-01-04 16:00:00,5.498
2022-01-04 17:00:00,5.549
