time,electricity
2022-01-01 08:00:00,1.188
2022-01-01 09:00:00,0.031
2022-01-01 10:00:00,0.032
2022-01-01 11:00:00,0.171
2022-01-01 12:00:00,0.077
2022-01-01 13:00:00,0.008
2022-01-01 14:00:00,0.0
2022-01-01 15:00:00,0.0
2022-01-01 16:00:00,0.476
2022-01-01 17:00:00,7.941
2022-01-01 18:00:00,14.846
2022-01-01 19:00:00,16.234
2022-01-01 20:00:00,14.008
2022-01-01 21:00:00,11.073
2022-01-01 22:00:00,9.483
2022-01-01 23:00:00,7.559
2022-01-02 00:00:00,3.778
2022-01-02 01:00:00,0.882
2022-01-02 02:00:00,0.077
2022-01-02 03:00:00,0.028
2022-01-02 04:00:00,0.189
2022-01-02 05:00:00,0.864
2022-01-02 06:00:00,1.634
2022-01-02 07:00:00,2.929
2022-01-02 08:00:00,2.716
2022-01-02 09:00:00,0.906
2022-01-02 10:00:00,0.104
2022-01-02 11:00:00,0.007
2022-01-02 12:00:00,0.023
2022-01-02 13:00:00,0.037
2022-01-02 14:00:00,0.066
2022-01-02 15:00:00,0.173
2022-01-02 16:00:00,0.934
2022-01-02 17:00:00,2.526
2022-01-02 18:00:00,3.655
2022-01-02 19:00:00,3.612
2022-01-02 20:00:00,2.084
2022-01-02 21:00:00,0.76
2022-01-02 22:00:00,0.261
2022-01-02 23:00:00,0.419
2022-01-03 00:00:00,1.25
2022-01-03 01:00:00,2.078
2022-01-03 02:00:00,2.006
2022-01-03 03:00:00,1.172
2022-01-03 04:00:00,0.539
2022-01-03 05:00:00,0.254
2022-01-03 06:00:00,0.331
2022-01-03 07:00:00,0.859
2022-01-03 08:00:00,1.642
2022-01-03 09:00:00,0.766
2022-01-03 10:00:00,0.242
2022-01-03 11:00:00,0.032
2022-01-03 12:00:00,0.008
2022-01-03 13:00:00,0.011
2022-01-03 14:00:00,0.013
2022-01-03 15:00:00,0.006
2022-01-03 16:00:00,0.005
2022-01-03 17:00:00,0.013
2022-01-03 18:00:00,0.097
2022-01-03 19:00:00,0.325
2022-01-03 20:00:00,0.8200000000000001
2022-01-03 21:00:00,2.114
2022-01-03 22:00:00,4.067
2022-01-03 23:00:00,5.691
2022-01-04 00:00:00,7.048
2022-01-04 01:00:00,8.485
2022-01-04 02:00:00,11.366
2022-01-04 03:00:00,15.284
2022-01-04 04:00:00,17.57
2022-01-04 05:00:00,17.171
2022-01-04 06:00:00,13.395
2022-01-04 07:00:00,11.633
2022-01-04 08:00:00,10.069
2022-01-04 09:00:00,8.795
2022-01-04 10:00:00,9.804
2022-01-04 11:00:00,10.469
2022-01-04 12:00:00,10.582
2022-01-04 13:00:00,10.835
2022-01-04 14:00:00,11.364
2022-01-04 15:00:00,12.75
2022-01-04 16:00:00,13.264
2022-01-04 17:00:00,14.982
2022-01-04 18:00:00,18.994
2022-01-04 19:00:00,24.814
2022-01-04 20:00:00,33.593
2022-01-04 21:00:00,36.568
2022-01-04 22:00:00,37.198
2022-01-04 23:00:00,38.076
2022-01-05 00:00:00,36.672
2022-01-05 01:00:00,31.496
2022-01-05 02:00:00,32.601
2022-01-05 03:00:00,31.337
2022-01-05 04:00:00,31.584
2022-01-05 05:00:00,26.268
2022-01-05 06:00:00,25.053
2022-01-05 07:00:00,26.661
2022-01-05 08:00:00,21.858
2022-01-05 09:00:00,24.102
2022-01-05 10:00:00,25.049
2022-01-05 11:00:00,23.353
2022-01-05 12:00:00,21.624
2022-01-05 13:00:00,21.288
2022-01-05 14:00:00,22.371
2022-01-05 15:00:00,23.554
2022-01-05 16:00:00,22.804
2022-01-05 17:00:00,21.694
2022-01-05 18:00:00,21.403
2022-01-05 19:00:00,21.313
2022-01-05 20:00:00,23.823
2022-01-05 21:00:00,24.696
2022-01-05 22:00:00,26.347
2022-01-05 23:00:00,26.28
2022-01-06 00:00:00,24.076
2022-01-06 01:00:00,20.963
2022-01-06 02:00:00,17.105
2022-01-06 03:00:00,13.774
2022-01-06 04:00:00,10.359
2022-01-06 05:00:00,8.748
2022-01-06 06:00:00,10.399
2022-01-06 07:00:00,13.546
2022-01-06 08:00:00,13.448
2022-01-06 09:00:00,14.601
2022-01-06 10:00:00,16.241
2022-01-06 11:00:00,19.148
2022-01-06 12:00:00,22.193
2022-01-06 13:00:00,25.485
2022-01-06 14:00:00,25.706
2022-01-06 15:00:00,18.077
2022-01-06 16:00:00,17.094
2022-01-06 17:00:00,14.6
2022-01-06 18:00:00,12.749
2022-01-06 19:00:00,12.229
2022-01-06 20:00:00,12.577
2022-01-06 21:00:00,13.194
2022-01-06 22:00:00,15.787
