time,electricity
2022-01-01 08:00:00,44.553
2022-01-01 09:00:00,46.24
2022-01-01 10:00:00,45.396
2022-01-01 11:00:00,44.332
2022-01-01 12:00:00,43.736
2022-01-01 13:00:00,42.72
2022-01-01 14:00:00,41.062
2022-01-01 15:00:00,38.769
2022-01-01 16:00:00,34.665
2022-01-01 17:00:00,29.204
2022-01-01 18:00:00,28.284
2022-01-01 19:00:00,25.17
2022-01-01 20:00:00,21.678
2022-01-01 21:00:00,18.892
2022-01-01 22:00:00,18.205
2022-01-01 23:00:00,17.201
2022-01-02 00:00:00,15.82
2022-01-02 01:00:00,15.193
2022-01-02 02:00:00,15.014
2022-01-02 03:00:00,15.726
2022-01-02 04:00:00,16.763
2022-01-02 05:00:00,17.281
2022-01-02 06:00:00,16.682
2022-01-02 07:00:00,15.909
2022-01-02 08:00:00,15.384
2022-01-02 09:00:00,9.721
2022-01-02 10:00:00,4.526
2022-01-02 11:00:00,12.481
2022-01-02 12:00:00,21.942
2022-01-02 13:00:00,25.263
2022-01-02 14:00:00,24.093
2022-01-02 15:00:00,16.568
2022-01-02 16:00:00,12.326
2022-01-02 17:00:00,11.387
2022-01-02 18:00:00,12.211
2022-01-02 19:00:00,15.496
2022-01-02 20:00:00,19.445
2022-01-02 21:00:00,22.433
2022-01-02 22:00:00,24.957
2022-01-02 23:00:00,28.068
2022-01-03 00:00:00,30.414
2022-01-03 01:00:00,30.541
2022-01-03 02:00:00,29.252
2022-01-03 03:00:00,27.918
2022-01-03 04:00:00,26.551
2022-01-03 05:00:00,26.803
2022-01-03 06:00:00,27.686
2022-01-03 07:00:00,27.811
2022-01-03 08:00:00,24.447
2022-01-03 09:00:00,14.783
2022-01-03 10:00:00,18.866
2022-01-03 11:00:00,23.008
2022-01-03 12:00:00,23.977
2022-01-03 13:00:00,24.151
2022-01-03 14:00:00,22.325
2022-01-03 15:00:00,17.784
2022-01-03 16:00:00,11.858
2022-01-03 17:00:00,7.98
2022-01-03 18:00:00,3.694
2022-01-03 19:00:00,1.246
2022-01-03 20:00:00,0.673
2022-01-03 21:00:00,1.564
2022-01-03 22:00:00,4.398
2022-01-03 23:00:00,8.734
2022-01-04 00:00:00,12.92
2022-01-04 01:00:00,15.258
2022-01-04 02:00:00,15.719
2022-01-04 03:00:00,15.09
2022-01-04 04:00:00,13.51
2022-01-04 05:00:00,10.948
2022-01-04 06:00:00,8.27
2022-01-04 07:00:00,6.37
2022-01-04 08:00:00,5.519
2022-01-04 09:00:00,4.453
2022-01-04 10:00:00,1.446
2022-01-04 11:00:00,1.598
2022-01-04 12:00:00,2.551
2022-01-04 13:00:00,2.338
2022-01-04 14:00:00,1.697
2022-01-04 15:00:00,0.801
2022-01-04 16:00:00,0.256
2022-01-04 17:00:00,0.296
2022-01-04 18:00:00,0.323
2022-01-04 19:00:00,0.124
2022-01-04 20:00:00,0.028
2022-01-04 21:00:00,0.048
2022-01-04 22:00:00,0.339
2022-01-04 23:00:00,1.544
2022-01-05 00:00:00,3.068
2022-01-05 01:00:00,3.544
2022-01-05 02:00:00,3.128
2022-01-05 03:00:00,2.541
2022-01-05 04:00:00,2.173
2022-01-05 05:00:00,2.048
2022-01-05 06:00:00,2.037
2022-01-05 07:00:00,2.137
2022-01-05 08:00:00,2.06
2022-01-05 09:00:00,1.369
2022-01-05 10:00:00,0.144
2022-01-05 11:00:00,0.08700000000000001
2022-01-05 12:00:00,0.606
2022-01-05 13:00:00,1.085
2022-01-05 14:00:00,1.8
2022-01-05 15:00:00,2.79
2022-01-05 16:00:00,6.205
2022-01-05 17:00:00,9.725999999999999
