time,electricity
2022-01-01 08:00:00,10.708
2022-01-01 09:00:00,4.58
2022-01-01 10:00:00,7.794
2022-01-01 11:00:00,7.771
2022-01-01 12:00:00,4.135
2022-01-01 13:00:00,2.297
2022-01-01 14:00:00,0.928
2022-01-01 15:00:00,0.191
2022-01-01 16:00:00,0.009000000000000001
2022-01-01 17:00:00,0.001
2022-01-01 18:00:00,0.0
2022-01-01 19:00:00,0.0
2022-01-01 20:00:00,0.0
2022-01-01 21:00:00,0.0
2022-01-01 22:00:00,0.0
2022-01-01 23:00:00,0.001
2022-01-02 00:00:00,0.039
2022-01-02 01:00:00,0.277
2022-01-02 02:00:00,1.225
2022-01-02 03:00:00,2.866
2022-01-02 04:00:00,4.714
2022-01-02 05:00:00,7.527
2022-01-02 06:00:00,11.851
2022-01-02 07:00:00,15.657
2022-01-02 08:00:00,11.048
2022-01-02 09:00:00,5.831
2022-01-02 10:00:00,10.654
2022-01-02 11:00:00,7.72
2022-01-02 12:00:00,4.663
2022-01-02 13:00:00,3.486
2022-01-02 14:00:00,3.396
2022-01-02 15:00:00,4.644
2022-01-02 16:00:00,8.917
2022-01-02 17:00:00,16.519
2022-01-02 18:00:00,25.52
2022-01-02 19:00:00,33.771
2022-01-02 20:00:00,38.441
2022-01-02 21:00:00,39.564
2022-01-02 22:00:00,40.119
2022-01-02 23:00:00,37.724
2022-01-03 00:00:00,33.744
2022-01-03 01:00:00,27.664
2022-01-03 02:00:00,18.611
2022-01-03 03:00:00,11.67
2022-01-03 04:00:00,7.378
2022-01-03 05:00:00,4.94
2022-01-03 06:00:00,3.792
2022-01-03 07:00:00,2.854
2022-01-03 08:00:00,1.668
2022-01-03 09:00:00,1.319
2022-01-03 10:00:00,0.6910000000000001
2022-01-03 11:00:00,0.081
2022-01-03 12:00:00,0.016
2022-01-03 13:00:00,0.013
2022-01-03 14:00:00,0.01
2022-01-03 15:00:00,0.045
2022-01-03 16:00:00,1.735
2022-01-03 17:00:00,8.288
2022-01-03 18:00:00,18.653
2022-01-03 19:00:00,30.346
2022-01-03 20:00:00,37.301
2022-01-03 21:00:00,36.949
2022-01-03 22:00:00,30.454
2022-01-03 23:00:00,25.005
2022-01-04 00:00:00,23.435
2022-01-04 01:00:00,24.48
2022-01-04 02:00:00,27.315
2022-01-04 03:00:00,30.026
2022-01-04 04:00:00,28.439
2022-01-04 05:00:00,24.744
2022-01-04 06:00:00,21.153
2022-01-04 07:00:00,15.463
2022-01-04 08:00:00,11.082
2022-01-04 09:00:00,13.987
2022-01-04 10:00:00,25.753
2022-01-04 11:00:00,32.446
2022-01-04 12:00:00,34.627
2022-01-04 13:00:00,36.605
2022-01-04 14:00:00,36.19
2022-01-04 15:00:00,31.961
2022-01-04 16:00:00,43.423
2022-01-04 17:00:00,53.747
2022-01-04 18:00:00,51.552
2022-01-04 19:00:00,47.354
2022-01-04 20:00:00,39.853
2022-01-04 21:00:00,34.596
2022-01-04 22:00:00,34.602
2022-01-04 23:00:00,32.03
2022-01-05 00:00:00,35.252
2022-01-05 01:00:00,48.727
2022-01-05 02:00:00,63.078
2022-01-05 03:00:00,72.508
2022-01-05 04:00:00,63.977
2022-01-05 05:00:00,63.922
2022-01-05 06:00:00,71.502
2022-01-05 07:00:00,71.955
2022-01-05 08:00:00,70.104
2022-01-05 09:00:00,70.055
2022-01-05 10:00:00,66.431
2022-01-05 11:00:00,64.599
2022-01-05 12:00:00,66.213
2022-01-05 13:00:00,69.241
2022-01-05 14:00:00,68.328
2022-01-05 15:00:00,60.548
2022-01-05 16:00:00,44.533
2022-01-05 17:00:00,41.973
2022-01-05 18:00:00,32.553
2022-01-05 19:00:00,30.289
2022-01-05 20:00:00,27.664
2022-01-05 21:00:00,25.409
2022-01-05 22:00:00,22.241
2022-01-05 23:00:00,17.292
2022-01-06 00:00:00,12.243
2022-01-06 01:00:00,10.35
2022-01-06 02:00:00,12.307
2022-01-06 03:00:00,14.616
2022-01-06 04:00:00,16.206
2022-01-06 05:00:00,18.307
2022-01-06 06:00:00,17.636
2022-01-06 07:00:00,16.145
2022-01-06 08:00:00,11.28
2022-01-06 09:00:00,17.179
2022-01-06 10:00:00,19.704
2022-01-06 11:00:00,17.546
2022-01-06 12:00:00,16.487
2022-01-06 13:00:00,15.221
2022-01-06 14:00:00,13.45
2022-01-06 15:00:00,12.862
2022-01-06 16:00:00,14.44
2022-01-06 17:00:00,23.243
2022-01-06 18:00:00,32.175
2022-01-06 19:00:00,35.603
2022-01-06 20:00:00,31.16
2022-01-06 21:00:00,23.435
2022-01-06 22:00:00,20.113
2022-01-06 23:00:00,22.433
2022-01-07 00:00:00,21.717
2022-01-07 01:00:00,18.654
2022-01-07 02:00:00,18.652
2022-01-07 03:00:00,21.141
2022-01-07 04:00:00,23.246
2022-01-07 05:00:00,21.135
2022-01-07 06:00:00,15.514
2022-01-07 07:00:00,10.004
2022-01-07 08:00:00,4.192
2022-01-07 09:00:00,1.463
2022-01-07 10:00:00,0.9460000000000001
