time,electricity
2022-01-01 08:00:00,1.053
2022-01-01 09:00:00,1.645
2022-01-01 10:00:00,0.92
2022-01-01 11:00:00,0.651
2022-01-01 12:00:00,0.898
2022-01-01 13:00:00,1.5
2022-01-01 14:00:00,2.198
2022-01-01 15:00:00,3.26
2022-01-01 16:00:00,5.182
2022-01-01 17:00:00,11.075
2022-01-01 18:00:00,18.611
2022-01-01 19:00:00,18.768
2022-01-01 20:00:00,17.26
2022-01-01 21:00:00,15.327
2022-01-01 22:00:00,13.802
2022-01-01 23:00:00,13.614
2022-01-02 00:00:00,13.194
2022-01-02 01:00:00,13.943
2022-01-02 02:00:00,15.121
2022-01-02 03:00:00,14.786
2022-01-02 04:00:00,13.798
2022-01-02 05:00:00,11.502
2022-01-02 06:00:00,11.086
2022-01-02 07:00:00,9.472
2022-01-02 08:00:00,9.084
2022-01-02 09:00:00,11.142
2022-01-02 10:00:00,7.855
2022-01-02 11:00:00,5.049
2022-01-02 12:00:00,3.154
2022-01-02 13:00:00,2.613
2022-01-02 14:00:00,2.923
2022-01-02 15:00:00,3.615
2022-01-02 16:00:00,4.453
2022-01-02 17:00:00,8.02
2022-01-02 18:00:00,12.143
2022-01-02 19:00:00,13.076
2022-01-02 20:00:00,11.895
2022-01-02 21:00:00,9.824
2022-01-02 22:00:00,8.045
2022-01-02 23:00:00,7.735
2022-01-03 00:00:00,7.386
2022-01-03 01:00:00,6.474
2022-01-03 02:00:00,5.051
2022-01-03 03:00:00,4.795
2022-01-03 04:00:00,5.543
2022-01-03 05:00:00,6.238
2022-01-03 06:00:00,6.322
2022-01-03 07:00:00,4.812
2022-01-03 08:00:00,0.5700000000000001
2022-01-03 09:00:00,0.276
2022-01-03 10:00:00,0.163
2022-01-03 11:00:00,0.115
2022-01-03 12:00:00,0.091
2022-01-03 13:00:00,0.122
2022-01-03 14:00:00,0.253
2022-01-03 15:00:00,0.469
2022-01-03 16:00:00,1.311
2022-01-03 17:00:00,5.385
2022-01-03 18:00:00,9.261
2022-01-03 19:00:00,10.246
2022-01-03 20:00:00,8.66
2022-01-03 21:00:00,6.677
2022-01-03 22:00:00,5.291
2022-01-03 23:00:00,4.119
2022-01-04 00:00:00,3.589
2022-01-04 01:00:00,3.322
2022-01-04 02:00:00,3.094
2022-01-04 03:00:00,2.884
2022-01-04 04:00:00,2.205
2022-01-04 05:00:00,1.636
2022-01-04 06:00:00,1.212
2022-01-04 07:00:00,0.746
2022-01-04 08:00:00,0.041
2022-01-04 09:00:00,0.063
2022-01-04 10:00:00,0.211
2022-01-04 11:00:00,0.227
2022-01-04 12:00:00,0.144
2022-01-04 13:00:00,0.139
2022-01-04 14:00:00,0.223
2022-01-04 15:00:00,0.39
2022-01-04 16:00:00,0.545
2022-01-04 17:00:00,0.677
2022-01-04 18:00:00,0.97
2022-01-04 19:00:00,1.761
2022-01-04 20:00:00,2.805
2022-01-04 21:00:00,4.047
2022-01-04 22:00:00,5.341
2022-01-04 23:00:00,5.733
2022-01-05 00:00:00,6.043
2022-01-05 01:00:00,7.057
2022-01-05 02:00:00,8.024
2022-01-05 03:00:00,8.754
2022-01-05 04:00:00,8.963
2022-01-05 05:00:00,8.846
2022-01-05 06:00:00,10.005
2022-01-05 07:00:00,8.746
2022-01-05 08:00:00,2.083
2022-01-05 09:00:00,1.172
2022-01-05 10:00:00,0.768
2022-01-05 11:00:00,0.468
2022-01-05 12:00:00,0.779
2022-01-05 13:00:00,2.2
2022-01-05 14:00:00,7.576000000000001
2022-01-05 15:00:00,19.372
2022-01-05 16:00:00,28.484
2022-01-05 17:00:00,28.98
2022-01-05 18:00:00,27.496
2022-01-05 19:00:00,26.281
2022-01-05 20:00:00,26.995
2022-01-05 21:00:00,26.093
2022-01-05 22:00:00,25.699
2022-01-05 23:00:00,23.743
2022-01-06 00:00:00,23.187
2022-01-06 01:00:00,23.018
2022-01-06 02:00:00,21.998
2022-01-06 03:00:00,22.28
2022-01-06 04:00:00,21.45
2022-01-06 05:00:00,22.606
2022-01-06 06:00:00,24.712
2022-01-06 07:00:00,25.312
2022-01-06 08:00:00,28.493
2022-01-06 09:00:00,29.899
2022-01-06 10:00:00,27.587
2022-01-06 11:00:00,22.437
2022-01-06 12:00:00,16.89
2022-01-06 13:00:00,13.493
2022-01-06 14:00:00,11.402
2022-01-06 15:00:00,11.634
2022-01-06 16:00:00,13.973
2022-01-06 17:00:00,22.024
2022-01-06 18:00:00,29.46
2022-01-06 19:00:00,30.933
2022-01-06 20:00:00,29.467
2022-01-06 21:00:00,25.707
2022-01-06 22:00:00,21.128
2022-01-06 23:00:00,15.439
2022-01-07 00:00:00,12.747
2022-01-07 01:00:00,14.096
2022-01-07 02:00:00,19.218
2022-01-07 03:00:00,19.314
2022-01-07 04:00:00,18.227
2022-01-07 05:00:00,16.891
2022-01-07 06:00:00,16.101
2022-01-07 07:00:00,15.597
2022-01-07 08:00:00,15.37
2022-01-07 09:00:00,13.246
2022-01-07 10:00:00,10.477
2022-01-07 11:00:00,9.229
2022-01-07 12:00:00,8.516
2022-01-07 13:00:00,8.532
2022-01-07 14:00:00,9.587
2022-01-07 15:00:00,12.393
2022-01-07 16:00:00,14.811
2022-01-07 17:00:00,12.748
2022-01-07 18:00:00,10.53
2022-01-07 19:00:00,10.103
2022-01-07 20:00:00,11.187
2022-01-07 21:00:00,11.145
2022-01-07 22:00:00,8.702
2022-01-07 23:00:00,8.164
2022-01-08 00:00:00,8.242
2022-01-08 01:00:00,9.296
2022-01-08 02:00:00,9.712
2022-01-08 03:00:00,8.49
2022-01-08 04:00:00,8.103
2022-01-08 05:00:00,7.631
2022-01-08 06:00:00,8.495
2022-01-08 07:00:00,8.546
2022-01-08 08:00:00,9.195
2022-01-08 09:00:00,6.722
2022-01-08 10:00:00,4.139
2022-01-08 11:00:00,2.172
2022-01-08 12:00:00,0.76
2022-01-08 13:00:00,0.321
2022-01-08 14:00:00,0.497
2022-01-08 15:00:00,1.257
2022-01-08 16:00:00,2.634
2022-01-08 17:00:00,6.046
2022-01-08 18:00:00,9.164
2022-01-08 19:00:00,10.257
2022-01-08 20:00:00,10.249
2022-01-08 21:00:00,9.65
2022-01-08 22:00:00,9.119
2022-01-08 23:00:00,8.333
2022-01-09 00:00:00,6.691
2022-01-09 01:00:00,5.315
2022-01-09 02:00:00,4.784
2022-01-09 03:00:00,5.131
2022-01-09 04:00:00,6.823
2022-01-09 05:00:00,7.873
2022-01-09 06:00:00,8.034
2022-01-09 07:00:00,8.733
2022-01-09 08:00:00,10.659
2022-01-09 09:00:00,12.435
2022-01-09 10:00:00,12.436
2022-01-09 11:00:00,12.982
2022-01-09 12:00:00,13.32
2022-01-09 13:00:00,12.192
2022-01-09 14:00:00,12.062
2022-01-09 15:00:00,13.042
2022-01-09 16:00:00,13.323
2022-01-09 17:00:00,10.39
2022-01-09 18:00:00,8.993
2022-01-09 19:00:00,9.168
2022-01-09 20:00:00,9.242
2022-01-09 21:00:00,8.626
2022-01-09 22:00:00,7.656
2022-01-09 23:00:00,6.337
2022-01-10 00:00:00,4.856
2022-01-10 01:00:00,4.414
2022-01-10 02:00:00,3.041
2022-01-10 03:00:00,2.186
2022-01-10 04:00:00,1.854
2022-01-10 05:00:00,1.691
2022-01-10 06:00:00,1.268
2022-01-10 07:00:00,0.769
2022-01-10 08:00:00,0.6890000000000001
2022-01-10 09:00:00,0.542
2022-01-10 10:00:00,0.093
2022-01-10 11:00:00,0.004
2022-01-10 12:00:00,0.001
2022-01-10 13:00:00,0.021
2022-01-10 14:00:00,0.291
2022-01-10 15:00:00,1.816
2022-01-10 16:00:00,5.025
2022-01-10 17:00:00,8.45
2022-01-10 18:00:00,10.43
2022-01-10 19:00:00,12.006
2022-01-10 20:00:00,20.746
2022-01-10 21:00:00,24.305
2022-01-10 22:00:00,25.921
2022-01-10 23:00:00,26.835
2022-01-11 00:00:00,26.038
2022-01-11 01:00:00,27.669
2022-01-11 02:00:00,34.874
2022-01-11 03:00:00,44.901
2022-01-11 04:00:00,49.793
2022-01-11 05:00:00,46.09
2022-01-11 06:00:00,44.741
2022-01-11 07:00:00,42.282
2022-01-11 08:00:00,44.145
2022-01-11 09:00:00,41.261
2022-01-11 10:00:00,38.353
