time,electricity
2022-01-01 08:00:00,31.893
2022-01-01 09:00:00,25.08
2022-01-01 10:00:00,22.835
2022-01-01 11:00:00,39.515
2022-01-01 12:00:00,44.747
2022-01-01 13:00:00,42.185
2022-01-01 14:00:00,40.268
2022-01-01 15:00:00,37.361
2022-01-01 16:00:00,39.501
2022-01-01 17:00:00,35.17
2022-01-01 18:00:00,20.364
2022-01-01 19:00:00,14.099
2022-01-01 20:00:00,20.859
2022-01-01 21:00:00,29.197
2022-01-01 22:00:00,25.476
2022-01-01 23:00:00,26.153
2022-01-02 00:00:00,19.012
2022-01-02 01:00:00,13.982
2022-01-02 02:00:00,10.8
2022-01-02 03:00:00,8.173
2022-01-02 04:00:00,5.234
2022-01-02 05:00:00,2.523
2022-01-02 06:00:00,2.454
2022-01-02 07:00:00,5.891
2022-01-02 08:00:00,7.302
2022-01-02 09:00:00,6.36
2022-01-02 10:00:00,9.775
2022-01-02 11:00:00,16.752
2022-01-02 12:00:00,28.691
2022-01-02 13:00:00,31.904
2022-01-02 14:00:00,28.021
2022-01-02 15:00:00,22.515
2022-01-02 16:00:00,21.662
2022-01-02 17:00:00,19.054
2022-01-02 18:00:00,13.705
2022-01-02 19:00:00,8.179
2022-01-02 20:00:00,3.595
2022-01-02 21:00:00,1.612
2022-01-02 22:00:00,3.575
2022-01-02 23:00:00,11.043
2022-01-03 00:00:00,20.922
2022-01-03 01:00:00,26.885
2022-01-03 02:00:00,29.267
2022-01-03 03:00:00,30.689
2022-01-03 04:00:00,30.657
2022-01-03 05:00:00,27.74
2022-01-03 06:00:00,24.135
2022-01-03 07:00:00,19.835
2022-01-03 08:00:00,10.604
2022-01-03 09:00:00,5.649
2022-01-03 10:00:00,3.884
2022-01-03 11:00:00,4.618
2022-01-03 12:00:00,11.069
2022-01-03 13:00:00,21.44
2022-01-03 14:00:00,25.924
2022-01-03 15:00:00,28.322
2022-01-03 16:00:00,33.316
2022-01-03 17:00:00,31.104
2022-01-03 18:00:00,30.93
2022-01-03 19:00:00,31.249
2022-01-03 20:00:00,27.036
2022-01-03 21:00:00,19.291
2022-01-03 22:00:00,13.051
2022-01-03 23:00:00,8.764
2022-01-04 00:00:00,5.308
2022-01-04 01:00:00,2.921
2022-01-04 02:00:00,1.43
2022-01-04 03:00:00,0.487
2022-01-04 04:00:00,0.043
2022-01-04 05:00:00,0.001
2022-01-04 06:00:00,0.0
2022-01-04 07:00:00,0.0
2022-01-04 08:00:00,0.0
2022-01-04 09:00:00,0.0
2022-01-04 10:00:00,0.0
2022-01-04 11:00:00,0.046
2022-01-04 12:00:00,0.676
2022-01-04 13:00:00,0.8310000000000001
2022-01-04 14:00:00,0.63
2022-01-04 15:00:00,0.556
2022-01-04 16:00:00,0.772
2022-01-04 17:00:00,1.051
2022-01-04 18:00:00,1.7
2022-01-04 19:00:00,3.218
2022-01-04 20:00:00,6.098
2022-01-04 21:00:00,9.973
2022-01-04 22:00:00,13.727
2022-01-04 23:00:00,16.982
2022-01-05 00:00:00,19.149
2022-01-05 01:00:00,20.208
2022-01-05 02:00:00,19.214
2022-01-05 03:00:00,17.393
2022-01-05 04:00:00,16.664
2022-01-05 05:00:00,18.29
2022-01-05 06:00:00,21.805
2022-01-05 07:00:00,24.705
2022-01-05 08:00:00,19.135
2022-01-05 09:00:00,7.607
2022-01-05 10:00:00,4.644
2022-01-05 11:00:00,10.7
2022-01-05 12:00:00,13.716
2022-01-05 13:00:00,15.984
2022-01-05 14:00:00,15.661
2022-01-05 15:00:00,13.677
2022-01-05 16:00:00,14.785
2022-01-05 17:00:00,14.972
2022-01-05 18:00:00,14.068
2022-01-05 19:00:00,12.89
2022-01-05 20:00:00,11.858
2022-01-05 21:00:00,10.83
2022-01-05 22:00:00,10.923
2022-01-05 23:00:00,12.637
2022-01-06 00:00:00,15.174
2022-01-06 01:00:00,15.125
2022-01-06 02:00:00,11.773
2022-01-06 03:00:00,8.707
2022-01-06 04:00:00,6.555
2022-01-06 05:00:00,4.052
2022-01-06 06:00:00,2.183
2022-01-06 07:00:00,1.367
2022-01-06 08:00:00,1.569
2022-01-06 09:00:00,0.725
2022-01-06 10:00:00,0.284
2022-01-06 11:00:00,0.355
2022-01-06 12:00:00,0.501
2022-01-06 13:00:00,0.561
2022-01-06 14:00:00,0.454
2022-01-06 15:00:00,0.359
2022-01-06 16:00:00,0.364
2022-01-06 17:00:00,0.409
2022-01-06 18:00:00,0.9570000000000001
2022-01-06 19:00:00,2.546
2022-01-06 20:00:00,5.124
2022-01-06 21:00:00,8.343
2022-01-06 22:00:00,11.687
2022-01-06 23:00:00,13.895
2022-01-07 00:00:00,15.169
2022-01-07 01:00:00,16.38
2022-01-07 02:00:00,17.7
2022-01-07 03:00:00,19.767
2022-01-07 04:00:00,22.526
2022-01-07 05:00:00,25.924
2022-01-07 06:00:00,29.626
2022-01-07 07:00:00,32.028
2022-01-07 08:00:00,25.436
2022-01-07 09:00:00,16.144
2022-01-07 10:00:00,27.654
2022-01-07 11:00:00,31.074
2022-01-07 12:00:00,29.416
2022-01-07 13:00:00,27.268
2022-01-07 14:00:00,22.649
2022-01-07 15:00:00,21.259
2022-01-07 16:00:00,27.296
2022-01-07 17:00:00,31.963
2022-01-07 18:00:00,35.522
2022-01-07 19:00:00,38.195
2022-01-07 20:00:00,35.931
2022-01-07 21:00:00,35.578
2022-01-07 22:00:00,34.419
2022-01-07 23:00:00,33.214
2022-01-08 00:00:00,32.221
2022-01-08 01:00:00,31.776
2022-01-08 02:00:00,30.641
2022-01-08 03:00:00,27.497
2022-01-08 04:00:00,23.796
2022-01-08 05:00:00,18.782
2022-01-08 06:00:00,13.402
2022-01-08 07:00:00,7.564
2022-01-08 08:00:00,5.559
2022-01-08 09:00:00,7.466
2022-01-08 10:00:00,13.293
2022-01-08 11:00:00,20.083
2022-01-08 12:00:00,25.475
2022-01-08 13:00:00,27.455
2022-01-08 14:00:00,27.668
2022-01-08 15:00:00,26.347
2022-01-08 16:00:00,21.486
2022-01-08 17:00:00,16.834
2022-01-08 18:00:00,14.173
2022-01-08 19:00:00,12.447
