time,electricity
2022-01-01 08:00:00,9.916
2022-01-01 09:00:00,6.948
2022-01-01 10:00:00,4.882
2022-01-01 11:00:00,4.743
2022-01-01 12:00:00,7.953
2022-01-01 13:00:00,27.361
2022-01-01 14:00:00,44.514
2022-01-01 15:00:00,46.554
2022-01-01 16:00:00,46.677
2022-01-01 17:00:00,46.834
2022-01-01 18:00:00,46.494
2022-01-01 19:00:00,45.004
2022-01-01 20:00:00,43.598
2022-01-01 21:00:00,42.856
2022-01-01 22:00:00,41.319
2022-01-01 23:00:00,37.944
2022-01-02 00:00:00,32.242
2022-01-02 01:00:00,29.06
2022-01-02 02:00:00,27.377
2022-01-02 03:00:00,26.18
2022-01-02 04:00:00,25.148
2022-01-02 05:00:00,23.697
2022-01-02 06:00:00,23.809
2022-01-02 07:00:00,24.984
2022-01-02 08:00:00,19.397
2022-01-02 09:00:00,8.044
2022-01-02 10:00:00,9.654
2022-01-02 11:00:00,18.188
2022-01-02 12:00:00,19.155
2022-01-02 13:00:00,17.225
2022-01-02 14:00:00,12.914
2022-01-02 15:00:00,7.448
2022-01-02 16:00:00,3.119
2022-01-02 17:00:00,0.295
2022-01-02 18:00:00,0.132
2022-01-02 19:00:00,3.785
2022-01-02 20:00:00,13.854
2022-01-02 21:00:00,22.835
2022-01-02 22:00:00,28.226
2022-01-02 23:00:00,30.594
2022-01-03 00:00:00,30.199
2022-01-03 01:00:00,29.196
2022-01-03 02:00:00,29.197
2022-01-03 03:00:00,30.252
2022-01-03 04:00:00,31.322
2022-01-03 05:00:00,32.697
2022-01-03 06:00:00,33.898
2022-01-03 07:00:00,33.695
2022-01-03 08:00:00,26.313
2022-01-03 09:00:00,17.779
2022-01-03 10:00:00,23.287
2022-01-03 11:00:00,27.513
2022-01-03 12:00:00,30.294
2022-01-03 13:00:00,32.703
2022-01-03 14:00:00,33.709
2022-01-03 15:00:00,29.578
2022-01-03 16:00:00,23.186
2022-01-03 17:00:00,18.638
2022-01-03 18:00:00,16.068
2022-01-03 19:00:00,16.414
2022-01-03 20:00:00,17.225
2022-01-03 21:00:00,18.494
2022-01-03 22:00:00,20.044
2022-01-03 23:00:00,21.659
2022-01-04 00:00:00,22.964
2022-01-04 01:00:00,24.307
2022-01-04 02:00:00,25.198
2022-01-04 03:00:00,24.934
2022-01-04 04:00:00,23.633
2022-01-04 05:00:00,22.706
2022-01-04 06:00:00,21.556
2022-01-04 07:00:00,19.562
2022-01-04 08:00:00,11.147
2022-01-04 09:00:00,2.59
2022-01-04 10:00:00,0.621
2022-01-04 11:00:00,0.33
2022-01-04 12:00:00,0.194
2022-01-04 13:00:00,0.059
2022-01-04 14:00:00,0.003
2022-01-04 15:00:00,0.0
2022-01-04 16:00:00,1.156
2022-01-04 17:00:00,6.852
2022-01-04 18:00:00,12.264
2022-01-04 19:00:00,13.568
2022-01-04 20:00:00,12.058
2022-01-04 21:00:00,10.119
2022-01-04 22:00:00,9.225
2022-01-04 23:00:00,9.745
2022-01-05 00:00:00,9.962
2022-01-05 01:00:00,9.516
2022-01-05 02:00:00,9.384
2022-01-05 03:00:00,8.5
2022-01-05 04:00:00,6.874
2022-01-05 05:00:00,4.863
2022-01-05 06:00:00,3.319
2022-01-05 07:00:00,2.83
2022-01-05 08:00:00,2.552
2022-01-05 09:00:00,1.406
2022-01-05 10:00:00,1.911
2022-01-05 11:00:00,2.203
2022-01-05 12:00:00,2.347
2022-01-05 13:00:00,2.9
2022-01-05 14:00:00,3.556
2022-01-05 15:00:00,3.953
2022-01-05 16:00:00,6.251
2022-01-05 17:00:00,10.117
2022-01-05 18:00:00,14.051
2022-01-05 19:00:00,19.708
2022-01-05 20:00:00,26.944
2022-01-05 21:00:00,32.862
2022-01-05 22:00:00,35.88
2022-01-05 23:00:00,37.359
2022-01-06 00:00:00,36.805
2022-01-06 01:00:00,34.804
2022-01-06 02:00:00,31.364
2022-01-06 03:00:00,26.802
2022-01-06 04:00:00,21.356
2022-01-06 05:00:00,15.871
2022-01-06 06:00:00,13.401
2022-01-06 07:00:00,12.067
2022-01-06 08:00:00,5.366
2022-01-06 09:00:00,1.233
2022-01-06 10:00:00,0.103
2022-01-06 11:00:00,0.003
