time,electricity
2022-01-01 08:00:00,19.924
2022-01-01 09:00:00,12.444
2022-01-01 10:00:00,5.397
2022-01-01 11:00:00,6.125
2022-01-01 12:00:00,6.625
2022-01-01 13:00:00,5.47
2022-01-01 14:00:00,3.744
2022-01-01 15:00:00,1.994
2022-01-01 16:00:00,0.76
2022-01-01 17:00:00,0.722
2022-01-01 18:00:00,0.935
2022-01-01 19:00:00,1.216
2022-01-01 20:00:00,1.912
2022-01-01 21:00:00,3.701
2022-01-01 22:00:00,7.043
2022-01-01 23:00:00,14.268
2022-01-02 00:00:00,24.21
2022-01-02 01:00:00,31.635
2022-01-02 02:00:00,35.396
2022-01-02 03:00:00,37.018
2022-01-02 04:00:00,36.993
2022-01-02 05:00:00,33.984
2022-01-02 06:00:00,31.142
2022-01-02 07:00:00,29.853
2022-01-02 08:00:00,27.745
2022-01-02 09:00:00,17.429
2022-01-02 10:00:00,12.797
2022-01-02 11:00:00,22.772
2022-01-02 12:00:00,19.829
2022-01-02 13:00:00,12.656
2022-01-02 14:00:00,9.967
2022-01-02 15:00:00,11.457
2022-01-02 16:00:00,12.9
2022-01-02 17:00:00,12.55
2022-01-02 18:00:00,10.672
2022-01-02 19:00:00,8.502
2022-01-02 20:00:00,7.585
2022-01-02 21:00:00,8.04
2022-01-02 22:00:00,9.652
2022-01-02 23:00:00,11.271
2022-01-03 00:00:00,12.335
2022-01-03 01:00:00,12.291
2022-01-03 02:00:00,11.029
2022-01-03 03:00:00,10.127
2022-01-03 04:00:00,9.171
2022-01-03 05:00:00,8.728
2022-01-03 06:00:00,8.366
2022-01-03 07:00:00,7.638
2022-01-03 08:00:00,7.547
2022-01-03 09:00:00,5.131
2022-01-03 10:00:00,2.706
2022-01-03 11:00:00,3.598
2022-01-03 12:00:00,4.431
2022-01-03 13:00:00,4.677
2022-01-03 14:00:00,4.55
2022-01-03 15:00:00,3.932
2022-01-03 16:00:00,3.242
2022-01-03 17:00:00,2.357
2022-01-03 18:00:00,1.079
2022-01-03 19:00:00,0.362
2022-01-03 20:00:00,0.059
2022-01-03 21:00:00,0.001
2022-01-03 22:00:00,0.0
2022-01-03 23:00:00,0.04
2022-01-04 00:00:00,0.379
2022-01-04 01:00:00,0.788
2022-01-04 02:00:00,0.785
2022-01-04 03:00:00,0.774
2022-01-04 04:00:00,1.183
2022-01-04 05:00:00,1.803
2022-01-04 06:00:00,2.345
2022-01-04 07:00:00,3.115
2022-01-04 08:00:00,4.347
2022-01-04 09:00:00,5.267
2022-01-04 10:00:00,2.904
2022-01-04 11:00:00,3.487
2022-01-04 12:00:00,4.059
2022-01-04 13:00:00,3.384
2022-01-04 14:00:00,2.843
2022-01-04 15:00:00,2.443
2022-01-04 16:00:00,2.672
2022-01-04 17:00:00,5.074
2022-01-04 18:00:00,9.533
2022-01-04 19:00:00,14.052
2022-01-04 20:00:00,18.61
2022-01-04 21:00:00,24.084
2022-01-04 22:00:00,28.492
2022-01-04 23:00:00,30.336
2022-01-05 00:00:00,31.072
2022-01-05 01:00:00,30.638
2022-01-05 02:00:00,29.688
2022-01-05 03:00:00,26.629
2022-01-05 04:00:00,21.394
2022-01-05 05:00:00,15.758
2022-01-05 06:00:00,11.003
2022-01-05 07:00:00,7.859
2022-01-05 08:00:00,6.069
2022-01-05 09:00:00,4.23
2022-01-05 10:00:00,4.253
2022-01-05 11:00:00,4.642
2022-01-05 12:00:00,5.147
2022-01-05 13:00:00,4.989
2022-01-05 14:00:00,3.603
2022-01-05 15:00:00,1.828
2022-01-05 16:00:00,0.482
2022-01-05 17:00:00,0.234
2022-01-05 18:00:00,0.787
2022-01-05 19:00:00,1.991
2022-01-05 20:00:00,4.436
2022-01-05 21:00:00,8.608
2022-01-05 22:00:00,12.089
2022-01-05 23:00:00,12.771
2022-01-06 00:00:00,11.172
2022-01-06 01:00:00,8.8
2022-01-06 02:00:00,6.64
2022-01-06 03:00:00,5.159
2022-01-06 04:00:00,3.929
2022-01-06 05:00:00,2.611
2022-01-06 06:00:00,1.86
2022-01-06 07:00:00,1.89
2022-01-06 08:00:00,2.291
2022-01-06 09:00:00,2.304
2022-01-06 10:00:00,3.386
2022-01-06 11:00:00,5.697
2022-01-06 12:00:00,7.359
2022-01-06 13:00:00,8.404
2022-01-06 14:00:00,8.673
2022-01-06 15:00:00,9.069
2022-01-06 16:00:00,10.06
2022-01-06 17:00:00,12.753
2022-01-06 18:00:00,16.879
2022-01-06 19:00:00,19.248
2022-01-06 20:00:00,20.014
2022-01-06 21:00:00,20.541
2022-01-06 22:00:00,21.366
2022-01-06 23:00:00,24.497
2022-01-07 00:00:00,25.009
2022-01-07 01:00:00,25.211
2022-01-07 02:00:00,24.537
2022-01-07 03:00:00,21.054
2022-01-07 04:00:00,18.137
2022-01-07 05:00:00,15.025
2022-01-07 06:00:00,12.548
2022-01-07 07:00:00,11.188
2022-01-07 08:00:00,9.235
2022-01-07 09:00:00,5.072
2022-01-07 10:00:00,2.614
2022-01-07 11:00:00,1.594
2022-01-07 12:00:00,1.547
2022-01-07 13:00:00,1.04
2022-01-07 14:00:00,0.601
2022-01-07 15:00:00,0.608
2022-01-07 16:00:00,1.151
2022-01-07 17:00:00,3.019
2022-01-07 18:00:00,3.959
2022-01-07 19:00:00,3.153
2022-01-07 20:00:00,1.426
2022-01-07 21:00:00,0.362
2022-01-07 22:00:00,0.265
2022-01-07 23:00:00,0.469
2022-01-08 00:00:00,0.619
2022-01-08 01:00:00,0.638
2022-01-08 02:00:00,0.63
2022-01-08 03:00:00,0.7020000000000001
2022-01-08 04:00:00,0.891
2022-01-08 05:00:00,0.801
2022-01-08 06:00:00,0.64
2022-01-08 07:00:00,0.8260000000000001
2022-01-08 08:00:00,1.148
2022-01-08 09:00:00,0.632
2022-01-08 10:00:00,0.265
2022-01-08 11:00:00,0.264
2022-01-08 12:00:00,0.663
2022-01-08 13:00:00,1.56
2022-01-08 14:00:00,2.662
2022-01-08 15:00:00,3.484
2022-01-08 16:00:00,3.225
2022-01-08 17:00:00,2.153
2022-01-08 18:00:00,0.801
2022-01-08 19:00:00,0.123
2022-01-08 20:00:00,0.001
2022-01-08 21:00:00,0.0
2022-01-08 22:00:00,0.006
2022-01-08 23:00:00,0.101
2022-01-09 00:00:00,0.617
2022-01-09 01:00:00,1.678
2022-01-09 02:00:00,2.62
2022-01-09 03:00:00,2.771
2022-01-09 04:00:00,2.017
2022-01-09 05:00:00,0.662
2022-01-09 06:00:00,0.151
2022-01-09 07:00:00,0.08700000000000001
2022-01-09 08:00:00,0.045
2022-01-09 09:00:00,0.052
2022-01-09 10:00:00,0.014
2022-01-09 11:00:00,0.007
2022-01-09 12:00:00,0.041
2022-01-09 13:00:00,0.038
2022-01-09 14:00:00,0.059
2022-01-09 15:00:00,0.627
2022-01-09 16:00:00,3.258
2022-01-09 17:00:00,7.171
2022-01-09 18:00:00,9.643
2022-01-09 19:00:00,10.059
2022-01-09 20:00:00,7.964
2022-01-09 21:00:00,5.554
2022-01-09 22:00:00,5.446
2022-01-09 23:00:00,9.052
2022-01-10 00:00:00,11.97
2022-01-10 01:00:00,12.538
2022-01-10 02:00:00,13.791
2022-01-10 03:00:00,15.302
2022-01-10 04:00:00,15.822
2022-01-10 05:00:00,12.92
2022-01-10 06:00:00,10.756
2022-01-10 07:00:00,10.764
2022-01-10 08:00:00,11.172
2022-01-10 09:00:00,11.012
2022-01-10 10:00:00,10.081
2022-01-10 11:00:00,10.391
2022-01-10 12:00:00,11.446
2022-01-10 13:00:00,11.702
2022-01-10 14:00:00,11.269
2022-01-10 15:00:00,10.583
2022-01-10 16:00:00,9.56
2022-01-10 17:00:00,8.364
2022-01-10 18:00:00,6.278
2022-01-10 19:00:00,3.709
2022-01-10 20:00:00,1.857
2022-01-10 21:00:00,1.073
2022-01-10 22:00:00,1.016
2022-01-10 23:00:00,1.877
2022-01-11 00:00:00,4.725
2022-01-11 01:00:00,9.567
2022-01-11 02:00:00,14.612
2022-01-11 03:00:00,17.551
2022-01-11 04:00:00,17.678
2022-01-11 05:00:00,15.416
2022-01-11 06:00:00,12.919
2022-01-11 07:00:00,11.369
2022-01-11 08:00:00,10.782
2022-01-11 09:00:00,6.796
2022-01-11 10:00:00,2.048
2022-01-11 11:00:00,4.459
2022-01-11 12:00:00,5.215
2022-01-11 13:00:00,5.813
2022-01-11 14:00:00,6.33
2022-01-11 15:00:00,6.356
2022-01-11 16:00:00,6.258
2022-01-11 17:00:00,6.084
2022-01-11 18:00:00,6.226
2022-01-11 19:00:00,8.532
2022-01-11 20:00:00,13.133
2022-01-11 21:00:00,18.717
2022-01-11 22:00:00,22.983
2022-01-11 23:00:00,27.508
2022-01-12 00:00:00,31.733
2022-01-12 01:00:00,33.953
2022-01-12 02:00:00,34.14
2022-01-12 03:00:00,32.28
2022-01-12 04:00:00,30.337
2022-01-12 05:00:00,28.924
2022-01-12 06:00:00,30.466
2022-01-12 07:00:00,33.298
2022-01-12 08:00:00,32.658
2022-01-12 09:00:00,27.839
2022-01-12 10:00:00,32.65
2022-01-12 11:00:00,33.018
2022-01-12 12:00:00,33.77
2022-01-12 13:00:00,32.568
2022-01-12 14:00:00,29.706
2022-01-12 15:00:00,24.301
2022-01-12 16:00:00,17.172
2022-01-12 17:00:00,10.728
2022-01-12 18:00:00,6.211
2022-01-12 19:00:00,2.785
2022-01-12 20:00:00,0.916
2022-01-12 21:00:00,0.102
2022-01-12 22:00:00,0.001
2022-01-12 23:00:00,0.001
2022-01-13 00:00:00,0.044
2022-01-13 01:00:00,0.72
2022-01-13 02:00:00,3.361
2022-01-13 03:00:00,9.035
2022-01-13 04:00:00,17.598
2022-01-13 05:00:00,23.389
2022-01-13 06:00:00,24.966
2022-01-13 07:00:00,26.529
2022-01-13 08:00:00,26.943
2022-01-13 09:00:00,16.207
2022-01-13 10:00:00,10.9
2022-01-13 11:00:00,17.011
2022-01-13 12:00:00,17.598
2022-01-13 13:00:00,16.88
2022-01-13 14:00:00,15.93
2022-01-13 15:00:00,15.012
2022-01-13 16:00:00,12.674
2022-01-13 17:00:00,16.017
2022-01-13 18:00:00,25.822
2022-01-13 19:00:00,33.879
2022-01-13 20:00:00,36.288
2022-01-13 21:00:00,38.374
2022-01-13 22:00:00,38.309
2022-01-13 23:00:00,36.157
2022-01-14 00:00:00,31.476
2022-01-14 01:00:00,25.239
2022-01-14 02:00:00,21.527
2022-01-14 03:00:00,19.804
2022-01-14 04:00:00,18.265
2022-01-14 05:00:00,15.992
2022-01-14 06:00:00,15.836
2022-01-14 07:00:00,19.518
2022-01-14 08:00:00,23.389
2022-01-14 09:00:00,17.009
2022-01-14 10:00:00,13.356
2022-01-14 11:00:00,19.496
2022-01-14 12:00:00,26.268
2022-01-14 13:00:00,32.178
2022-01-14 14:00:00,36.773
2022-01-14 15:00:00,38.899
2022-01-14 16:00:00,37.083
2022-01-14 17:00:00,32.964
2022-01-14 18:00:00,30.69
2022-01-14 19:00:00,27.359
2022-01-14 20:00:00,24.368
2022-01-14 21:00:00,23.045
2022-01-14 22:00:00,23.281
2022-01-14 23:00:00,24.573
