time,electricity
2022-01-01 08:00:00,21.346
2022-01-01 09:00:00,14.795
2022-01-01 10:00:00,2.184
2022-01-01 11:00:00,0.079
2022-01-01 12:00:00,0.21
2022-01-01 13:00:00,1.597
2022-01-01 14:00:00,8.104
2022-01-01 15:00:00,10.306
2022-01-01 16:00:00,7.306
2022-01-01 17:00:00,2.018
2022-01-01 18:00:00,3.338
2022-01-01 19:00:00,3.088
2022-01-01 20:00:00,2.805
2022-01-01 21:00:00,6.135
2022-01-01 22:00:00,26.769
2022-01-01 23:00:00,59.704
2022-01-02 00:00:00,85.771
2022-01-02 01:00:00,91.976
2022-01-02 02:00:00,91.373
2022-01-02 03:00:00,94.695
2022-01-02 04:00:00,95.389
2022-01-02 05:00:00,95.625
2022-01-02 06:00:00,91.067
2022-01-02 07:00:00,86.414
2022-01-02 08:00:00,88.003
2022-01-02 09:00:00,75.205
2022-01-02 10:00:00,39.376
2022-01-02 11:00:00,64.085
2022-01-02 12:00:00,160.811
2022-01-02 13:00:00,207.42
2022-01-02 14:00:00,225.421
2022-01-02 15:00:00,225.312
2022-01-02 16:00:00,204.518
2022-01-02 17:00:00,157.846
2022-01-02 18:00:00,115.174
2022-01-02 19:00:00,67.528
2022-01-02 20:00:00,42.093
2022-01-02 21:00:00,29.689
2022-01-02 22:00:00,21.305
2022-01-02 23:00:00,14.831
2022-01-03 00:00:00,10.255
2022-01-03 01:00:00,6.77
2022-01-03 02:00:00,3.085
2022-01-03 03:00:00,1.123
2022-01-03 04:00:00,0.367
2022-01-03 05:00:00,0.083
2022-01-03 06:00:00,0.131
2022-01-03 07:00:00,0.12
2022-01-03 08:00:00,0.275
2022-01-03 09:00:00,0.782
2022-01-03 10:00:00,1.113
2022-01-03 11:00:00,2.878
2022-01-03 12:00:00,13.218
2022-01-03 13:00:00,33.38
2022-01-03 14:00:00,55.783
2022-01-03 15:00:00,67.55
2022-01-03 16:00:00,71.745
2022-01-03 17:00:00,68.272
2022-01-03 18:00:00,69.932
2022-01-03 19:00:00,66.364
2022-01-03 20:00:00,59.546
2022-01-03 21:00:00,55.627
2022-01-03 22:00:00,50.716
2022-01-03 23:00:00,52.19
2022-01-04 00:00:00,57.483
2022-01-04 01:00:00,62.783
2022-01-04 02:00:00,59.609
2022-01-04 03:00:00,50.7
2022-01-04 04:00:00,41.623
2022-01-04 05:00:00,30.457
2022-01-04 06:00:00,19.156
2022-01-04 07:00:00,11.228
2022-01-04 08:00:00,7.201
2022-01-04 09:00:00,3.827
2022-01-04 10:00:00,0.657
2022-01-04 11:00:00,7.876
2022-01-04 12:00:00,46.89
2022-01-04 13:00:00,94.62
2022-01-04 14:00:00,143.197
2022-01-04 15:00:00,178.066
2022-01-04 16:00:00,194.204
2022-01-04 17:00:00,165.079
2022-01-04 18:00:00,127.373
2022-01-04 19:00:00,88.883
2022-01-04 20:00:00,69.619
2022-01-04 21:00:00,66.767
2022-01-04 22:00:00,67.808
2022-01-04 23:00:00,73.832
2022-01-05 00:00:00,75.98
2022-01-05 01:00:00,72.16
2022-01-05 02:00:00,62.487
2022-01-05 03:00:00,48.268
2022-01-05 04:00:00,35.58
2022-01-05 05:00:00,23.428
2022-01-05 06:00:00,18.01
2022-01-05 07:00:00,18.066
2022-01-05 08:00:00,15.561
2022-01-05 09:00:00,12.374
2022-01-05 10:00:00,5.444
2022-01-05 11:00:00,1.944
2022-01-05 12:00:00,8.205
2022-01-05 13:00:00,20.298
2022-01-05 14:00:00,29.372
2022-01-05 15:00:00,31.082
2022-01-05 16:00:00,21.682
2022-01-05 17:00:00,12.268
2022-01-05 18:00:00,3.914
2022-01-05 19:00:00,1.132
2022-01-05 20:00:00,2.082
2022-01-05 21:00:00,4.26
2022-01-05 22:00:00,4.022
2022-01-05 23:00:00,1.686
2022-01-06 00:00:00,1.799
2022-01-06 01:00:00,8.181
2022-01-06 02:00:00,13.977
2022-01-06 03:00:00,17.763
2022-01-06 04:00:00,23.018
2022-01-06 05:00:00,25.772
2022-01-06 06:00:00,24.568
2022-01-06 07:00:00,22.608
2022-01-06 08:00:00,21.047
2022-01-06 09:00:00,17.515
2022-01-06 10:00:00,6.332
2022-01-06 11:00:00,2.579
2022-01-06 12:00:00,11.843
2022-01-06 13:00:00,32.598
2022-01-06 14:00:00,45.519
2022-01-06 15:00:00,44.731
2022-01-06 16:00:00,35.848
2022-01-06 17:00:00,16.049
2022-01-06 18:00:00,2.697
2022-01-06 19:00:00,0.015
2022-01-06 20:00:00,0.76
2022-01-06 21:00:00,13.762
2022-01-06 22:00:00,27.715
2022-01-06 23:00:00,28.174
2022-01-07 00:00:00,21.072
2022-01-07 01:00:00,16.228
2022-01-07 02:00:00,14.215
2022-01-07 03:00:00,12.355
2022-01-07 04:00:00,7.756
2022-01-07 05:00:00,2.957
2022-01-07 06:00:00,2.899
2022-01-07 07:00:00,1.848
2022-01-07 08:00:00,0.159
2022-01-07 09:00:00,0.005
2022-01-07 10:00:00,0.23
2022-01-07 11:00:00,1.946
2022-01-07 12:00:00,6.703
2022-01-07 13:00:00,18.381
2022-01-07 14:00:00,44.903
2022-01-07 15:00:00,80.411
2022-01-07 16:00:00,98.311
2022-01-07 17:00:00,70.318
2022-01-07 18:00:00,48.194
2022-01-07 19:00:00,42.238
2022-01-07 20:00:00,57.089
2022-01-07 21:00:00,76.126
2022-01-07 22:00:00,81.502
2022-01-07 23:00:00,79.094
2022-01-08 00:00:00,80.562
2022-01-08 01:00:00,86.102
2022-01-08 02:00:00,89.591
2022-01-08 03:00:00,90.587
2022-01-08 04:00:00,88.888
2022-01-08 05:00:00,80.414
2022-01-08 06:00:00,68.278
2022-01-08 07:00:00,57.081
2022-01-08 08:00:00,50.672
2022-01-08 09:00:00,39.228
2022-01-08 10:00:00,15.712
2022-01-08 11:00:00,44.13
2022-01-08 12:00:00,100.364
2022-01-08 13:00:00,135.134
2022-01-08 14:00:00,146.682
2022-01-08 15:00:00,149.384
2022-01-08 16:00:00,143.83
2022-01-08 17:00:00,119.38
2022-01-08 18:00:00,102.394
2022-01-08 19:00:00,80.301
2022-01-08 20:00:00,74.395
2022-01-08 21:00:00,79.11
2022-01-08 22:00:00,76.186
2022-01-08 23:00:00,56.564
2022-01-09 00:00:00,34.541
2022-01-09 01:00:00,21.071
2022-01-09 02:00:00,14.86
2022-01-09 03:00:00,14.493
2022-01-09 04:00:00,17.788
2022-01-09 05:00:00,23.301
2022-01-09 06:00:00,28.897
2022-01-09 07:00:00,30.898
2022-01-09 08:00:00,35.852
2022-01-09 09:00:00,35.362
2022-01-09 10:00:00,17.989
2022-01-09 11:00:00,30.81
2022-01-09 12:00:00,117.079
2022-01-09 13:00:00,211.83
2022-01-09 14:00:00,260.487
2022-01-09 15:00:00,281.868
2022-01-09 16:00:00,286.07
2022-01-09 17:00:00,274.02
2022-01-09 18:00:00,255.456
2022-01-09 19:00:00,232.436
2022-01-09 20:00:00,224.56
2022-01-09 21:00:00,214.921
2022-01-09 22:00:00,198.56
2022-01-09 23:00:00,175.669
2022-01-10 00:00:00,140.539
2022-01-10 01:00:00,109.181
2022-01-10 02:00:00,83.146
2022-01-10 03:00:00,66.042
2022-01-10 04:00:00,55.796
