time,electricity
2022-01-01 08:00:00,8.831
2022-01-01 09:00:00,6.394
2022-01-01 10:00:00,12.135
2022-01-01 11:00:00,14.199
2022-01-01 12:00:00,14.159
2022-01-01 13:00:00,12.779
2022-01-01 14:00:00,9.932
2022-01-01 15:00:00,9.027
2022-01-01 16:00:00,10.149
2022-01-01 17:00:00,10.336
2022-01-01 18:00:00,9.35
2022-01-01 19:00:00,8.99
2022-01-01 20:00:00,10.279
2022-01-01 21:00:00,12.834
2022-01-01 22:00:00,16.754
2022-01-01 23:00:00,20.909
2022-01-02 00:00:00,21.895
2022-01-02 01:00:00,21.385
2022-01-02 02:00:00,19.412
2022-01-02 03:00:00,17.241
2022-01-02 04:00:00,15.333
2022-01-02 05:00:00,13.905
2022-01-02 06:00:00,11.653
2022-01-02 07:00:00,9.262
2022-01-02 08:00:00,5.861
2022-01-02 09:00:00,3.667
2022-01-02 10:00:00,1.429
2022-01-02 11:00:00,0.405
2022-01-02 12:00:00,0.084
2022-01-02 13:00:00,0.034
2022-01-02 14:00:00,0.059
2022-01-02 15:00:00,0.36
2022-01-02 16:00:00,1.556
2022-01-02 17:00:00,2.165
2022-01-02 18:00:00,2.081
2022-01-02 19:00:00,2.096
2022-01-02 20:00:00,2.423
2022-01-02 21:00:00,3.107
2022-01-02 22:00:00,3.934
2022-01-02 23:00:00,5.155
2022-01-03 00:00:00,6.221
2022-01-03 01:00:00,6.604
2022-01-03 02:00:00,6.477
2022-01-03 03:00:00,6.356
2022-01-03 04:00:00,6.166
2022-01-03 05:00:00,5.837
2022-01-03 06:00:00,5.437
2022-01-03 07:00:00,4.948
2022-01-03 08:00:00,3.644
2022-01-03 09:00:00,1.224
2022-01-03 10:00:00,0.373
2022-01-03 11:00:00,1.225
2022-01-03 12:00:00,2.653
2022-01-03 13:00:00,2.89
2022-01-03 14:00:00,2.642
2022-01-03 15:00:00,3.059
2022-01-03 16:00:00,3.694
2022-01-03 17:00:00,3.996
2022-01-03 18:00:00,4.04
2022-01-03 19:00:00,4.114
2022-01-03 20:00:00,4.445
2022-01-03 21:00:00,5.058
2022-01-03 22:00:00,5.686
2022-01-03 23:00:00,5.934
2022-01-04 00:00:00,5.726
2022-01-04 01:00:00,5.706
2022-01-04 02:00:00,6.169
2022-01-04 03:00:00,6.603
2022-01-04 04:00:00,6.854
2022-01-04 05:00:00,7.062
2022-01-04 06:00:00,7.579
2022-01-04 07:00:00,8.162
2022-01-04 08:00:00,6.841
2022-01-04 09:00:00,5.122
2022-01-04 10:00:00,7.482
2022-01-04 11:00:00,6.033
2022-01-04 12:00:00,5.234
2022-01-04 13:00:00,5.323
2022-01-04 14:00:00,5.764
2022-01-04 15:00:00,6.229
2022-01-04 16:00:00,8.333
2022-01-04 17:00:00,9.692
2022-01-04 18:00:00,9.757
2022-01-04 19:00:00,9.475
2022-01-04 20:00:00,9.358
2022-01-04 21:00:00,9.151
2022-01-04 22:00:00,7.97
2022-01-04 23:00:00,6.912
2022-01-05 00:00:00,5.747
2022-01-05 01:00:00,4.9
2022-01-05 02:00:00,4.528
2022-01-05 03:00:00,4.396
2022-01-05 04:00:00,4.159
2022-01-05 05:00:00,3.615
2022-01-05 06:00:00,3.287
2022-01-05 07:00:00,2.682
2022-01-05 08:00:00,1.206
2022-01-05 09:00:00,0.163
2022-01-05 10:00:00,0.011
2022-01-05 11:00:00,0.004
2022-01-05 12:00:00,0.001
2022-01-05 13:00:00,0.001
2022-01-05 14:00:00,0.001
2022-01-05 15:00:00,0.0
2022-01-05 16:00:00,0.0
2022-01-05 17:00:00,0.005
2022-01-05 18:00:00,0.092
2022-01-05 19:00:00,0.273
2022-01-05 20:00:00,0.349
2022-01-05 21:00:00,0.344
2022-01-05 22:00:00,0.343
2022-01-05 23:00:00,0.39
2022-01-06 00:00:00,0.472
2022-01-06 01:00:00,0.602
2022-01-06 02:00:00,0.908
2022-01-06 03:00:00,1.376
2022-01-06 04:00:00,1.793
2022-01-06 05:00:00,2.012
2022-01-06 06:00:00,2.062
2022-01-06 07:00:00,2.045
2022-01-06 08:00:00,1.666
2022-01-06 09:00:00,0.68
2022-01-06 10:00:00,0.46
2022-01-06 11:00:00,0.413
2022-01-06 12:00:00,0.292
2022-01-06 13:00:00,0.291
2022-01-06 14:00:00,0.411
2022-01-06 15:00:00,0.872
2022-01-06 16:00:00,1.527
2022-01-06 17:00:00,1.879
2022-01-06 18:00:00,1.979
2022-01-06 19:00:00,1.932
2022-01-06 20:00:00,1.753
2022-01-06 21:00:00,1.409
2022-01-06 22:00:00,0.937
2022-01-06 23:00:00,0.526
2022-01-07 00:00:00,0.206
2022-01-07 01:00:00,0.056
2022-01-07 02:00:00,0.03
2022-01-07 03:00:00,0.074
2022-01-07 04:00:00,0.191
2022-01-07 05:00:00,0.356
2022-01-07 06:00:00,0.52
2022-01-07 07:00:00,0.678
2022-01-07 08:00:00,0.736
2022-01-07 09:00:00,0.387
2022-01-07 10:00:00,0.427
2022-01-07 11:00:00,0.593
2022-01-07 12:00:00,0.678
2022-01-07 13:00:00,0.714
2022-01-07 14:00:00,0.6880000000000001
2022-01-07 15:00:00,0.477
2022-01-07 16:00:00,0.269
2022-01-07 17:00:00,0.162
2022-01-07 18:00:00,0.212
2022-01-07 19:00:00,0.5680000000000001
2022-01-07 20:00:00,1.413
2022-01-07 21:00:00,2.802
2022-01-07 22:00:00,4.637
2022-01-07 23:00:00,6.604
2022-01-08 00:00:00,8.028
2022-01-08 01:00:00,8.697
2022-01-08 02:00:00,9.135
2022-01-08 03:00:00,9.202
2022-01-08 04:00:00,8.831
2022-01-08 05:00:00,7.775
2022-01-08 06:00:00,6.677
2022-01-08 07:00:00,6.31
2022-01-08 08:00:00,5.128
2022-01-08 09:00:00,4.063
2022-01-08 10:00:00,4.252
2022-01-08 11:00:00,4.831
2022-01-08 12:00:00,4.994
2022-01-08 13:00:00,4.763
2022-01-08 14:00:00,4.459
2022-01-08 15:00:00,4.735
2022-01-08 16:00:00,6.033
2022-01-08 17:00:00,6.373
2022-01-08 18:00:00,6.095
2022-01-08 19:00:00,6.033
2022-01-08 20:00:00,6.538
2022-01-08 21:00:00,7.173
2022-01-08 22:00:00,7.169
2022-01-08 23:00:00,6.971
2022-01-09 00:00:00,6.411
2022-01-09 01:00:00,5.412
2022-01-09 02:00:00,4.507
2022-01-09 03:00:00,3.752
2022-01-09 04:00:00,3.359
2022-01-09 05:00:00,2.906
2022-01-09 06:00:00,2.427
2022-01-09 07:00:00,1.984
2022-01-09 08:00:00,1.328
2022-01-09 09:00:00,1.145
2022-01-09 10:00:00,0.847
2022-01-09 11:00:00,0.613
2022-01-09 12:00:00,0.521
2022-01-09 13:00:00,0.476
2022-01-09 14:00:00,0.455
2022-01-09 15:00:00,0.685
2022-01-09 16:00:00,1.48
2022-01-09 17:00:00,2.23
2022-01-09 18:00:00,2.514
2022-01-09 19:00:00,2.598
2022-01-09 20:00:00,2.555
2022-01-09 21:00:00,2.373
2022-01-09 22:00:00,1.85
2022-01-09 23:00:00,1.228
2022-01-10 00:00:00,0.5660000000000001
2022-01-10 01:00:00,0.169
2022-01-10 02:00:00,0.022
2022-01-10 03:00:00,0.001
2022-01-10 04:00:00,0.0
2022-01-10 05:00:00,0.0
2022-01-10 06:00:00,0.003
2022-01-10 07:00:00,0.022
2022-01-10 08:00:00,0.131
2022-01-10 09:00:00,0.294
2022-01-10 10:00:00,0.643
2022-01-10 11:00:00,1.349
2022-01-10 12:00:00,2.729
2022-01-10 13:00:00,5.388
2022-01-10 14:00:00,8.55
2022-01-10 15:00:00,10.891
2022-01-10 16:00:00,13.233
2022-01-10 17:00:00,14.077
2022-01-10 18:00:00,14.161
2022-01-10 19:00:00,13.502
2022-01-10 20:00:00,12.008
2022-01-10 21:00:00,10.251
2022-01-10 22:00:00,8.583
2022-01-10 23:00:00,6.718
2022-01-11 00:00:00,4.574
2022-01-11 01:00:00,3.053
2022-01-11 02:00:00,2.466
2022-01-11 03:00:00,2.796
2022-01-11 04:00:00,3.7
2022-01-11 05:00:00,4.9
2022-01-11 06:00:00,6.091
2022-01-11 07:00:00,6.618
2022-01-11 08:00:00,4.112
2022-01-11 09:00:00,2.971
2022-01-11 10:00:00,2.703
2022-01-11 11:00:00,2.906
2022-01-11 12:00:00,2.811
2022-01-11 13:00:00,2.129
2022-01-11 14:00:00,1.157
2022-01-11 15:00:00,0.42
2022-01-11 16:00:00,0.397
2022-01-11 17:00:00,0.761
2022-01-11 18:00:00,1.541
2022-01-11 19:00:00,2.424
2022-01-11 20:00:00,2.987
2022-01-11 21:00:00,3.174
2022-01-11 22:00:00,3.228
2022-01-11 23:00:00,3.184
2022-01-12 00:00:00,3.237
2022-01-12 01:00:00,3.756
2022-01-12 02:00:00,4.525
2022-01-12 03:00:00,5.117
2022-01-12 04:00:00,5.671
2022-01-12 05:00:00,6.468
2022-01-12 06:00:00,7.519
2022-01-12 07:00:00,7.979
2022-01-12 08:00:00,5.724
2022-01-12 09:00:00,3.144
2022-01-12 10:00:00,2.439
2022-01-12 11:00:00,2.02
2022-01-12 12:00:00,1.071
2022-01-12 13:00:00,0.596
2022-01-12 14:00:00,0.807
2022-01-12 15:00:00,2.567
2022-01-12 16:00:00,6.275
