time,electricity
2022-01-01 08:00:00,6.964
2022-01-01 09:00:00,11.139
2022-01-01 10:00:00,13.545
2022-01-01 11:00:00,13.185
2022-01-01 12:00:00,10.889
2022-01-01 13:00:00,8.808
2022-01-01 14:00:00,8.58
2022-01-01 15:00:00,10.314
2022-01-01 16:00:00,13.648
2022-01-01 17:00:00,14.543
2022-01-01 18:00:00,13.427
2022-01-01 19:00:00,14.453
2022-01-01 20:00:00,17.633
2022-01-01 21:00:00,21.007
2022-01-01 22:00:00,23.05
2022-01-01 23:00:00,31.051
2022-01-02 00:00:00,46.613
2022-01-02 01:00:00,62.926
2022-01-02 02:00:00,75.051
2022-01-02 03:00:00,80.48
2022-01-02 04:00:00,80.84
2022-01-02 05:00:00,76.302
2022-01-02 06:00:00,66.723
2022-01-02 07:00:00,53.605
2022-01-02 08:00:00,41.448
2022-01-02 09:00:00,43.2
2022-01-02 10:00:00,49.156
2022-01-02 11:00:00,46.556
2022-01-02 12:00:00,42.312
2022-01-02 13:00:00,40.064
2022-01-02 14:00:00,38.832
2022-01-02 15:00:00,36.068
2022-01-02 16:00:00,34.295
2022-01-02 17:00:00,30.575
2022-01-02 18:00:00,25.927
2022-01-02 19:00:00,18.508
2022-01-02 20:00:00,11.647
2022-01-02 21:00:00,6.727
2022-01-02 22:00:00,4.0
2022-01-02 23:00:00,2.428
2022-01-03 00:00:00,1.271
2022-01-03 01:00:00,0.753
2022-01-03 02:00:00,0.559
2022-01-03 03:00:00,0.539
2022-01-03 04:00:00,0.525
2022-01-03 05:00:00,0.206
2022-01-03 06:00:00,0.015
2022-01-03 07:00:00,0.0
2022-01-03 08:00:00,0.0
2022-01-03 09:00:00,0.0
2022-01-03 10:00:00,0.0
2022-01-03 11:00:00,0.004
2022-01-03 12:00:00,0.011
2022-01-03 13:00:00,0.006
2022-01-03 14:00:00,0.001
2022-01-03 15:00:00,0.0
2022-01-03 16:00:00,0.01
2022-01-03 17:00:00,0.357
2022-01-03 18:00:00,2.334
2022-01-03 19:00:00,5.553
2022-01-03 20:00:00,8.891
2022-01-03 21:00:00,10.569
2022-01-03 22:00:00,9.582
2022-01-03 23:00:00,6.677
2022-01-04 00:00:00,3.105
2022-01-04 01:00:00,0.75
2022-01-04 02:00:00,0.231
2022-01-04 03:00:00,1.361
2022-01-04 04:00:00,7.47
2022-01-04 05:00:00,18.599
2022-01-04 06:00:00,32.199
2022-01-04 07:00:00,40.153
2022-01-04 08:00:00,36.062
2022-01-04 09:00:00,37.697
2022-01-04 10:00:00,37.169
2022-01-04 11:00:00,34.3
2022-01-04 12:00:00,33.875
2022-01-04 13:00:00,35.232
2022-01-04 14:00:00,40.677
2022-01-04 15:00:00,51.592
2022-01-04 16:00:00,74.146
2022-01-04 17:00:00,102.464
2022-01-04 18:00:00,116.847
2022-01-04 19:00:00,124.247
2022-01-04 20:00:00,131.974
2022-01-04 21:00:00,135.91
2022-01-04 22:00:00,134.093
2022-01-04 23:00:00,136.961
2022-01-05 00:00:00,142.655
2022-01-05 01:00:00,147.386
2022-01-05 02:00:00,144.873
2022-01-05 03:00:00,138.277
2022-01-05 04:00:00,138.535
2022-01-05 05:00:00,143.484
2022-01-05 06:00:00,147.724
