time,electricity
2022-01-01 08:00:00,51.849
2022-01-01 09:00:00,36.892
2022-01-01 10:00:00,54.961
2022-01-01 11:00:00,70.004
2022-01-01 12:00:00,73.885
2022-01-01 13:00:00,75.025
2022-01-01 14:00:00,74.391
2022-01-01 15:00:00,70.196
2022-01-01 16:00:00,57.071
2022-01-01 17:00:00,43.356
2022-01-01 18:00:00,31.695
2022-01-01 19:00:00,20.733
2022-01-01 20:00:00,12.192
2022-01-01 21:00:00,5.536
2022-01-01 22:00:00,1.826
2022-01-01 23:00:00,0.549
2022-01-02 00:00:00,0.216
2022-01-02 01:00:00,0.069
2022-01-02 02:00:00,0.013
2022-01-02 03:00:00,0.003
2022-01-02 04:00:00,0.011
2022-01-02 05:00:00,0.197
2022-01-02 06:00:00,1.143
2022-01-02 07:00:00,3.118
2022-01-02 08:00:00,5.508
2022-01-02 09:00:00,6.026
2022-01-02 10:00:00,5.807
2022-01-02 11:00:00,14.499
2022-01-02 12:00:00,25.064
2022-01-02 13:00:00,30.844
2022-01-02 14:00:00,31.934
2022-01-02 15:00:00,24.654
2022-01-02 16:00:00,15.712
2022-01-02 17:00:00,9.96
2022-01-02 18:00:00,6.431
2022-01-02 19:00:00,5.094
2022-01-02 20:00:00,5.145
2022-01-02 21:00:00,7.068
2022-01-02 22:00:00,12.123
2022-01-02 23:00:00,21.854
2022-01-03 00:00:00,32.221
2022-01-03 01:00:00,37.276
2022-01-03 02:00:00,37.525
2022-01-03 03:00:00,36.164
2022-01-03 04:00:00,33.515
2022-01-03 05:00:00,29.399
2022-01-03 06:00:00,24.762
2022-01-03 07:00:00,20.744
2022-01-03 08:00:00,16.188
2022-01-03 09:00:00,7.745
2022-01-03 10:00:00,5.28
2022-01-03 11:00:00,8.652
2022-01-03 12:00:00,10.014
2022-01-03 13:00:00,10.742
2022-01-03 14:00:00,10.168
2022-01-03 15:00:00,7.779
2022-01-03 16:00:00,5.304
2022-01-03 17:00:00,3.411
2022-01-03 18:00:00,1.235
2022-01-03 19:00:00,0.298
2022-01-03 20:00:00,0.135
2022-01-03 21:00:00,0.106
2022-01-03 22:00:00,0.108
2022-01-03 23:00:00,0.111
2022-01-04 00:00:00,0.066
2022-01-04 01:00:00,0.028
2022-01-04 02:00:00,0.008
2022-01-04 03:00:00,0.003
2022-01-04 04:00:00,0.001
2022-01-04 05:00:00,0.002
2022-01-04 06:00:00,0.012
2022-01-04 07:00:00,0.062
2022-01-04 08:00:00,0.23
2022-01-04 09:00:00,0.539
2022-01-04 10:00:00,1.002
2022-01-04 11:00:00,2.691
2022-01-04 12:00:00,3.178
2022-01-04 13:00:00,2.597
2022-01-04 14:00:00,1.359
2022-01-04 15:00:00,0.204
2022-01-04 16:00:00,0.009000000000000001
2022-01-04 17:00:00,0.076
2022-01-04 18:00:00,0.425
2022-01-04 19:00:00,1.716
2022-01-04 20:00:00,4.082
2022-01-04 21:00:00,5.835
2022-01-04 22:00:00,5.552
2022-01-04 23:00:00,4.859
2022-01-05 00:00:00,4.109
2022-01-05 01:00:00,3.171
2022-01-05 02:00:00,1.892
2022-01-05 03:00:00,0.812
2022-01-05 04:00:00,0.423
2022-01-05 05:00:00,0.251
2022-01-05 06:00:00,0.114
2022-01-05 07:00:00,0.039
2022-01-05 08:00:00,0.007
2022-01-05 09:00:00,0.0
2022-01-05 10:00:00,0.0
2022-01-05 11:00:00,0.0
2022-01-05 12:00:00,0.0
2022-01-05 13:00:00,0.0
2022-01-05 14:00:00,0.006
2022-01-05 15:00:00,0.01
2022-01-05 16:00:00,0.024
2022-01-05 17:00:00,0.236
2022-01-05 18:00:00,0.626
2022-01-05 19:00:00,0.736
2022-01-05 20:00:00,0.509
2022-01-05 21:00:00,0.294
2022-01-05 22:00:00,0.152
2022-01-05 23:00:00,0.113
2022-01-06 00:00:00,0.104
2022-01-06 01:00:00,0.064
2022-01-06 02:00:00,0.034
2022-01-06 03:00:00,0.044
2022-01-06 04:00:00,0.044
2022-01-06 05:00:00,0.044
2022-01-06 06:00:00,0.053
2022-01-06 07:00:00,0.079
2022-01-06 08:00:00,0.163
2022-01-06 09:00:00,0.381
2022-01-06 10:00:00,2.018
2022-01-06 11:00:00,4.608
2022-01-06 12:00:00,5.301
2022-01-06 13:00:00,5.218
2022-01-06 14:00:00,4.732
2022-01-06 15:00:00,3.541
2022-01-06 16:00:00,2.725
2022-01-06 17:00:00,2.837
2022-01-06 18:00:00,3.003
2022-01-06 19:00:00,3.065
2022-01-06 20:00:00,2.879
2022-01-06 21:00:00,2.531
2022-01-06 22:00:00,2.483
2022-01-06 23:00:00,2.955
2022-01-07 00:00:00,3.389
2022-01-07 01:00:00,3.353
2022-01-07 02:00:00,3.207
2022-01-07 03:00:00,2.996
2022-01-07 04:00:00,3.345
2022-01-07 05:00:00,4.139
2022-01-07 06:00:00,4.959
2022-01-07 07:00:00,5.393
2022-01-07 08:00:00,4.686
2022-01-07 09:00:00,2.128
2022-01-07 10:00:00,1.355
2022-01-07 11:00:00,1.32
2022-01-07 12:00:00,2.301
2022-01-07 13:00:00,4.051
2022-01-07 14:00:00,5.566
2022-01-07 15:00:00,6.774
2022-01-07 16:00:00,7.864
2022-01-07 17:00:00,9.201
2022-01-07 18:00:00,11.158
2022-01-07 19:00:00,12.159
2022-01-07 20:00:00,12.231
2022-01-07 21:00:00,12.378
2022-01-07 22:00:00,12.168
2022-01-07 23:00:00,13.517
2022-01-08 00:00:00,17.117
2022-01-08 01:00:00,20.486
2022-01-08 02:00:00,22.794
2022-01-08 03:00:00,24.393
2022-01-08 04:00:00,23.571
2022-01-08 05:00:00,21.366
2022-01-08 06:00:00,18.668
2022-01-08 07:00:00,15.906
2022-01-08 08:00:00,11.493
2022-01-08 09:00:00,4.977
2022-01-08 10:00:00,3.14
2022-01-08 11:00:00,3.2
2022-01-08 12:00:00,1.602
2022-01-08 13:00:00,0.498
2022-01-08 14:00:00,0.324
2022-01-08 15:00:00,0.451
2022-01-08 16:00:00,1.087
2022-01-08 17:00:00,1.29
2022-01-08 18:00:00,0.599
2022-01-08 19:00:00,0.179
2022-01-08 20:00:00,0.063
2022-01-08 21:00:00,0.016
2022-01-08 22:00:00,0.008
2022-01-08 23:00:00,0.034
2022-01-09 00:00:00,0.144
2022-01-09 01:00:00,0.123
2022-01-09 02:00:00,0.021
2022-01-09 03:00:00,0.035
2022-01-09 04:00:00,0.092
2022-01-09 05:00:00,0.125
2022-01-09 06:00:00,0.11
2022-01-09 07:00:00,0.07
2022-01-09 08:00:00,0.038
2022-01-09 09:00:00,0.01
2022-01-09 10:00:00,0.011
2022-01-09 11:00:00,0.151
2022-01-09 12:00:00,0.598
2022-01-09 13:00:00,1.859
2022-01-09 14:00:00,3.804
2022-01-09 15:00:00,4.742
2022-01-09 16:00:00,4.248
2022-01-09 17:00:00,5.093
2022-01-09 18:00:00,6.302
2022-01-09 19:00:00,7.281
2022-01-09 20:00:00,8.808
2022-01-09 21:00:00,12.989
2022-01-09 22:00:00,19.49
2022-01-09 23:00:00,19.211
2022-01-10 00:00:00,14.899
2022-01-10 01:00:00,12.245
2022-01-10 02:00:00,10.682
2022-01-10 03:00:00,10.797
2022-01-10 04:00:00,11.922
2022-01-10 05:00:00,13.231
2022-01-10 06:00:00,15.495
2022-01-10 07:00:00,18.035
2022-01-10 08:00:00,18.582
2022-01-10 09:00:00,32.29
2022-01-10 10:00:00,53.069
2022-01-10 11:00:00,66.185
2022-01-10 12:00:00,74.823
2022-01-10 13:00:00,80.06
2022-01-10 14:00:00,82.56
2022-01-10 15:00:00,82.872
2022-01-10 16:00:00,76.009
2022-01-10 17:00:00,58.281
2022-01-10 18:00:00,44.768
2022-01-10 19:00:00,30.105
2022-01-10 20:00:00,19.734
2022-01-10 21:00:00,14.441
2022-01-10 22:00:00,10.935
2022-01-10 23:00:00,12.301
2022-01-11 00:00:00,17.413
2022-01-11 01:00:00,23.819
2022-01-11 02:00:00,31.225
2022-01-11 03:00:00,37.494
2022-01-11 04:00:00,40.672
2022-01-11 05:00:00,39.156
2022-01-11 06:00:00,36.184
2022-01-11 07:00:00,33.465
2022-01-11 08:00:00,26.582
2022-01-11 09:00:00,10.628
2022-01-11 10:00:00,16.434
2022-01-11 11:00:00,19.617
2022-01-11 12:00:00,21.856
2022-01-11 13:00:00,23.002
2022-01-11 14:00:00,22.796
2022-01-11 15:00:00,20.726
2022-01-11 16:00:00,15.723
2022-01-11 17:00:00,11.224
2022-01-11 18:00:00,6.808
2022-01-11 19:00:00,4.48
2022-01-11 20:00:00,4.119
2022-01-11 21:00:00,5.294
2022-01-11 22:00:00,7.548
2022-01-11 23:00:00,11.189
2022-01-12 00:00:00,16.377
2022-01-12 01:00:00,20.192
2022-01-12 02:00:00,22.751
2022-01-12 03:00:00,25.681
2022-01-12 04:00:00,27.406
2022-01-12 05:00:00,28.58
2022-01-12 06:00:00,28.806
2022-01-12 07:00:00,30.413
2022-01-12 08:00:00,37.671
2022-01-12 09:00:00,69.886
2022-01-12 10:00:00,86.143
2022-01-12 11:00:00,88.634
2022-01-12 12:00:00,89.551
2022-01-12 13:00:00,90.247
2022-01-12 14:00:00,90.176
2022-01-12 15:00:00,88.563
2022-01-12 16:00:00,83.382
2022-01-12 17:00:00,72.435
2022-01-12 18:00:00,63.086
2022-01-12 19:00:00,55.416
2022-01-12 20:00:00,47.99
2022-01-12 21:00:00,40.75
2022-01-12 22:00:00,33.918
2022-01-12 23:00:00,29.334
2022-01-13 00:00:00,27.435
2022-01-13 01:00:00,26.088
2022-01-13 02:00:00,24.834
2022-01-13 03:00:00,24.436
2022-01-13 04:00:00,23.626
2022-01-13 05:00:00,20.34
2022-01-13 06:00:00,16.777
2022-01-13 07:00:00,14.928
2022-01-13 08:00:00,12.723
2022-01-13 09:00:00,5.995
2022-01-13 10:00:00,5.189
2022-01-13 11:00:00,3.885
2022-01-13 12:00:00,4.28
2022-01-13 13:00:00,4.179
2022-01-13 14:00:00,3.121
2022-01-13 15:00:00,1.755
2022-01-13 16:00:00,0.593
2022-01-13 17:00:00,0.164
2022-01-13 18:00:00,0.088
2022-01-13 19:00:00,0.202
2022-01-13 20:00:00,0.612
2022-01-13 21:00:00,1.447
2022-01-13 22:00:00,2.332
2022-01-13 23:00:00,3.697
2022-01-14 00:00:00,7.423
2022-01-14 01:00:00,11.967
2022-01-14 02:00:00,15.903
2022-01-14 03:00:00,18.846
2022-01-14 04:00:00,20.852
2022-01-14 05:00:00,21.601
2022-01-14 06:00:00,21.263
2022-01-14 07:00:00,21.941
2022-01-14 08:00:00,21.212
2022-01-14 09:00:00,11.87
2022-01-14 10:00:00,12.96
2022-01-14 11:00:00,25.192
2022-01-14 12:00:00,30.85
2022-01-14 13:00:00,37.735
2022-01-14 14:00:00,41.308
2022-01-14 15:00:00,40.376
2022-01-14 16:00:00,38.422
2022-01-14 17:00:00,35.917
2022-01-14 18:00:00,39.282
2022-01-14 19:00:00,43.354
2022-01-14 20:00:00,48.136
2022-01-14 21:00:00,52.858
2022-01-14 22:00:00,64.51
2022-01-14 23:00:00,67.37
2022-01-15 00:00:00,66.763
2022-01-15 01:00:00,62.481
2022-01-15 02:00:00,54.283
2022-01-15 03:00:00,49.151
2022-01-15 04:00:00,43.733
2022-01-15 05:00:00,39.785
2022-01-15 06:00:00,37.271
2022-01-15 07:00:00,35.514
2022-01-15 08:00:00,29.95
2022-01-15 09:00:00,20.429
2022-01-15 10:00:00,38.037
2022-01-15 11:00:00,50.435
2022-01-15 12:00:00,57.129
2022-01-15 13:00:00,59.799
2022-01-15 14:00:00,58.961
2022-01-15 15:00:00,54.099
2022-01-15 16:00:00,42.456
2022-01-15 17:00:00,25.398
2022-01-15 18:00:00,11.741
2022-01-15 19:00:00,4.951000000000001
2022-01-15 20:00:00,2.122
2022-01-15 21:00:00,0.708
2022-01-15 22:00:00,0.185
2022-01-15 23:00:00,0.185
2022-01-16 00:00:00,0.513
2022-01-16 01:00:00,1.397
2022-01-16 02:00:00,2.964
2022-01-16 03:00:00,4.97
2022-01-16 04:00:00,7.6
2022-01-16 05:00:00,11.749
2022-01-16 06:00:00,14.352
2022-01-16 07:00:00,14.964
2022-01-16 08:00:00,13.9
2022-01-16 09:00:00,7.031
2022-01-16 10:00:00,11.951
2022-01-16 11:00:00,34.08
2022-01-16 12:00:00,52.615
2022-01-16 13:00:00,65.59
2022-01-16 14:00:00,71.563
2022-01-16 15:00:00,71.333
2022-01-16 16:00:00,57.528
2022-01-16 17:00:00,36.178
2022-01-16 18:00:00,21.696
2022-01-16 19:00:00,14.899
2022-01-16 20:00:00,13.196
2022-01-16 21:00:00,13.836
2022-01-16 22:00:00,14.593
2022-01-16 23:00:00,16.024
2022-01-17 00:00:00,16.616
2022-01-17 01:00:00,14.908
2022-01-17 02:00:00,12.957
2022-01-17 03:00:00,12.435
2022-01-17 04:00:00,12.336
2022-01-17 05:00:00,10.55
2022-01-17 06:00:00,7.301
2022-01-17 07:00:00,4.906
2022-01-17 08:00:00,3.847
2022-01-17 09:00:00,1.703
2022-01-17 10:00:00,1.291
2022-01-17 11:00:00,1.618
2022-01-17 12:00:00,2.672
2022-01-17 13:00:00,3.592
2022-01-17 14:00:00,3.723
2022-01-17 15:00:00,3.185
2022-01-17 16:00:00,2.37
2022-01-17 17:00:00,2.271
2022-01-17 18:00:00,2.564
2022-01-17 19:00:00,3.142
2022-01-17 20:00:00,3.88
2022-01-17 21:00:00,4.738
2022-01-17 22:00:00,6.001
2022-01-17 23:00:00,9.785
2022-01-18 00:00:00,18.222
2022-01-18 01:00:00,30.18
2022-01-18 02:00:00,42.458
2022-01-18 03:00:00,53.125
2022-01-18 04:00:00,59.388
2022-01-18 05:00:00,59.563
2022-01-18 06:00:00,57.28
2022-01-18 07:00:00,54.1
2022-01-18 08:00:00,44.255
2022-01-18 09:00:00,23.719
2022-01-18 10:00:00,34.147
2022-01-18 11:00:00,42.969
2022-01-18 12:00:00,43.311
2022-01-18 13:00:00,40.317
2022-01-18 14:00:00,37.604
2022-01-18 15:00:00,36.164
2022-01-18 16:00:00,27.701
2022-01-18 17:00:00,20.721
2022-01-18 18:00:00,16.452
2022-01-18 19:00:00,12.997
2022-01-18 20:00:00,10.685
2022-01-18 21:00:00,8.634
2022-01-18 22:00:00,6.28
2022-01-18 23:00:00,4.378
2022-01-19 00:00:00,2.776
2022-01-19 01:00:00,1.808
2022-01-19 02:00:00,1.657
2022-01-19 03:00:00,2.189
2022-01-19 04:00:00,2.232
2022-01-19 05:00:00,1.268
2022-01-19 06:00:00,0.381
2022-01-19 07:00:00,0.088
2022-01-19 08:00:00,0.069
2022-01-19 09:00:00,0.186
2022-01-19 10:00:00,0.846
2022-01-19 11:00:00,2.272
2022-01-19 12:00:00,3.386
2022-01-19 13:00:00,4.198
2022-01-19 14:00:00,5.211
2022-01-19 15:00:00,6.983
2022-01-19 16:00:00,11.153
2022-01-19 17:00:00,19.647
2022-01-19 18:00:00,26.587
2022-01-19 19:00:00,29.151
2022-01-19 20:00:00,30.183
2022-01-19 21:00:00,30.979
2022-01-19 22:00:00,31.225
2022-01-19 23:00:00,31.226
2022-01-20 00:00:00,29.544
2022-01-20 01:00:00,28.854
2022-01-20 02:00:00,28.356
2022-01-20 03:00:00,28.582
2022-01-20 04:00:00,29.419
2022-01-20 05:00:00,26.682
2022-01-20 06:00:00,23.641
2022-01-20 07:00:00,21.206
2022-01-20 08:00:00,21.407
2022-01-20 09:00:00,23.718
2022-01-20 10:00:00,25.909
2022-01-20 11:00:00,30.622
2022-01-20 12:00:00,32.634
2022-01-20 13:00:00,31.792
2022-01-20 14:00:00,29.952
2022-01-20 15:00:00,27.223
2022-01-20 16:00:00,22.885
2022-01-20 17:00:00,20.804
2022-01-20 18:00:00,22.939
2022-01-20 19:00:00,24.532
2022-01-20 20:00:00,24.188
2022-01-20 21:00:00,22.912
2022-01-20 22:00:00,20.339
2022-01-20 23:00:00,18.849
2022-01-21 00:00:00,17.414
2022-01-21 01:00:00,15.031
2022-01-21 02:00:00,12.931
2022-01-21 03:00:00,11.787
2022-01-21 04:00:00,11.194
2022-01-21 05:00:00,11.113
2022-01-21 06:00:00,10.804
2022-01-21 07:00:00,10.319
2022-01-21 08:00:00,9.852
2022-01-21 09:00:00,13.862
2022-01-21 10:00:00,18.846
2022-01-21 11:00:00,23.008
2022-01-21 12:00:00,26.228
2022-01-21 13:00:00,26.588
2022-01-21 14:00:00,24.359
2022-01-21 15:00:00,19.18
2022-01-21 16:00:00,13.035
2022-01-21 17:00:00,10.073
2022-01-21 18:00:00,8.568
2022-01-21 19:00:00,7.111
2022-01-21 20:00:00,6.479
2022-01-21 21:00:00,7.163
2022-01-21 22:00:00,6.816
2022-01-21 23:00:00,5.843
2022-01-22 00:00:00,4.371
2022-01-22 01:00:00,2.649
2022-01-22 02:00:00,1.384
2022-01-22 03:00:00,0.424
2022-01-22 04:00:00,0.069
2022-01-22 05:00:00,0.012
2022-01-22 06:00:00,0.009000000000000001
2022-01-22 07:00:00,0.039
2022-01-22 08:00:00,0.129
2022-01-22 09:00:00,0.16
2022-01-22 10:00:00,0.235
2022-01-22 11:00:00,0.095
2022-01-22 12:00:00,0.0
2022-01-22 13:00:00,0.0
2022-01-22 14:00:00,0.0
2022-01-22 15:00:00,0.0
2022-01-22 16:00:00,0.352
2022-01-22 17:00:00,1.857
2022-01-22 18:00:00,1.714
2022-01-22 19:00:00,0.8250000000000001
2022-01-22 20:00:00,0.248
2022-01-22 21:00:00,0.064
2022-01-22 22:00:00,0.079
2022-01-22 23:00:00,0.184
2022-01-23 00:00:00,0.188
2022-01-23 01:00:00,0.089
2022-01-23 02:00:00,0.022
2022-01-23 03:00:00,0.005
2022-01-23 04:00:00,0.01
2022-01-23 05:00:00,0.018
2022-01-23 06:00:00,0.034
2022-01-23 07:00:00,0.045
2022-01-23 08:00:00,0.021
2022-01-23 09:00:00,0.034
2022-01-23 10:00:00,0.106
2022-01-23 11:00:00,0.012
2022-01-23 12:00:00,0.008
2022-01-23 13:00:00,0.014
2022-01-23 14:00:00,0.032
2022-01-23 15:00:00,0.158
2022-01-23 16:00:00,0.454
