time,electricity
2022-01-01 08:00:00,0.0
2022-01-01 09:00:00,0.0
2022-01-01 10:00:00,2.0
2022-01-01 11:00:00,4.42
2022-01-01 12:00:00,4.617
2022-01-01 13:00:00,4.377
2022-01-01 14:00:00,4.092
2022-01-01 15:00:00,3.335
2022-01-01 16:00:00,2.304
2022-01-01 17:00:00,2.32
2022-01-01 18:00:00,2.369
2022-01-01 19:00:00,3.102
2022-01-01 20:00:00,4.023
2022-01-01 21:00:00,3.575
2022-01-01 22:00:00,2.697
2022-01-01 23:00:00,1.536
2022-01-02 00:00:00,0.5680000000000001
2022-01-02 01:00:00,0.167
2022-01-02 02:00:00,0.096
2022-01-02 03:00:00,0.067
2022-01-02 04:00:00,0.068
2022-01-02 05:00:00,0.029
2022-01-02 06:00:00,0.01
2022-01-02 07:00:00,0.01
2022-01-02 08:00:00,0.013
2022-01-02 09:00:00,0.007
2022-01-02 10:00:00,0.227
2022-01-02 11:00:00,4.316
2022-01-02 12:00:00,8.561
2022-01-02 13:00:00,10.291
2022-01-02 14:00:00,10.935
2022-01-02 15:00:00,10.928
2022-01-02 16:00:00,8.97
2022-01-02 17:00:00,5.702
2022-01-02 18:00:00,3.428
2022-01-02 19:00:00,1.82
2022-01-02 20:00:00,0.789
2022-01-02 21:00:00,0.219
2022-01-02 22:00:00,0.009000000000000001
2022-01-02 23:00:00,0.0
2022-01-03 00:00:00,0.003
2022-01-03 01:00:00,0.063
2022-01-03 02:00:00,0.447
2022-01-03 03:00:00,1.281
2022-01-03 04:00:00,2.26
2022-01-03 05:00:00,4.118
2022-01-03 06:00:00,6.566
2022-01-03 07:00:00,7.859
2022-01-03 08:00:00,7.288
2022-01-03 09:00:00,4.102
2022-01-03 10:00:00,1.06
2022-01-03 11:00:00,0.161
2022-01-03 12:00:00,0.027
2022-01-03 13:00:00,0.024
2022-01-03 14:00:00,0.08
2022-01-03 15:00:00,0.162
2022-01-03 16:00:00,0.076
2022-01-03 17:00:00,0.024
2022-01-03 18:00:00,0.001
2022-01-03 19:00:00,0.0
2022-01-03 20:00:00,0.011
2022-01-03 21:00:00,0.473
2022-01-03 22:00:00,1.557
2022-01-03 23:00:00,2.439
2022-01-04 00:00:00,3.388
2022-01-04 01:00:00,5.369
2022-01-04 02:00:00,7.77
2022-01-04 03:00:00,8.946
2022-01-04 04:00:00,9.362
2022-01-04 05:00:00,11.262
2022-01-04 06:00:00,13.219
2022-01-04 07:00:00,14.159
2022-01-04 08:00:00,13.907
2022-01-04 09:00:00,9.255
2022-01-04 10:00:00,5.448
2022-01-04 11:00:00,3.801
2022-01-04 12:00:00,2.741
2022-01-04 13:00:00,2.568
2022-01-04 14:00:00,3.171
2022-01-04 15:00:00,3.686
2022-01-04 16:00:00,2.827
2022-01-04 17:00:00,3.052
2022-01-04 18:00:00,3.429
2022-01-04 19:00:00,4.33
2022-01-04 20:00:00,5.846
2022-01-04 21:00:00,7.173
2022-01-04 22:00:00,8.086
2022-01-04 23:00:00,8.546
2022-01-05 00:00:00,7.986
2022-01-05 01:00:00,8.389
2022-01-05 02:00:00,9.91
2022-01-05 03:00:00,11.081
2022-01-05 04:00:00,10.679
2022-01-05 05:00:00,9.387
2022-01-05 06:00:00,7.767
2022-01-05 07:00:00,5.991
2022-01-05 08:00:00,4.234
2022-01-05 09:00:00,1.216
2022-01-05 10:00:00,0.005
2022-01-05 11:00:00,0.047
2022-01-05 12:00:00,0.909
2022-01-05 13:00:00,2.145
2022-01-05 14:00:00,2.699
2022-01-05 15:00:00,1.994
2022-01-05 16:00:00,1.45
2022-01-05 17:00:00,0.81
2022-01-05 18:00:00,0.197
2022-01-05 19:00:00,0.106
2022-01-05 20:00:00,0.3
2022-01-05 21:00:00,1.987
2022-01-05 22:00:00,7.663
2022-01-05 23:00:00,13.29
2022-01-06 00:00:00,16.196
2022-01-06 01:00:00,18.522
2022-01-06 02:00:00,21.208
2022-01-06 03:00:00,23.239
2022-01-06 04:00:00,21.096
2022-01-06 05:00:00,17.519
2022-01-06 06:00:00,14.351
2022-01-06 07:00:00,13.512
2022-01-06 08:00:00,14.042
2022-01-06 09:00:00,11.17
2022-01-06 10:00:00,13.637
2022-01-06 11:00:00,11.326
2022-01-06 12:00:00,6.665
2022-01-06 13:00:00,4.498
2022-01-06 14:00:00,4.886
2022-01-06 15:00:00,6.326
2022-01-06 16:00:00,7.111
2022-01-06 17:00:00,5.659
2022-01-06 18:00:00,4.7
2022-01-06 19:00:00,3.655
2022-01-06 20:00:00,2.573
2022-01-06 21:00:00,1.76
2022-01-06 22:00:00,1.076
2022-01-06 23:00:00,1.264
2022-01-07 00:00:00,1.693
2022-01-07 01:00:00,1.805
2022-01-07 02:00:00,1.808
2022-01-07 03:00:00,1.84
2022-01-07 04:00:00,2.397
2022-01-07 05:00:00,3.634
2022-01-07 06:00:00,4.987
2022-01-07 07:00:00,5.252
2022-01-07 08:00:00,4.657
2022-01-07 09:00:00,3.261
2022-01-07 10:00:00,2.419
2022-01-07 11:00:00,1.067
2022-01-07 12:00:00,0.371
2022-01-07 13:00:00,0.162
2022-01-07 14:00:00,0.095
2022-01-07 15:00:00,0.102
2022-01-07 16:00:00,0.167
2022-01-07 17:00:00,0.239
2022-01-07 18:00:00,0.288
2022-01-07 19:00:00,1.11
2022-01-07 20:00:00,3.772
2022-01-07 21:00:00,7.677
2022-01-07 22:00:00,11.575
2022-01-07 23:00:00,13.851
2022-01-08 00:00:00,14.61
2022-01-08 01:00:00,15.467
2022-01-08 02:00:00,15.628
2022-01-08 03:00:00,14.942
2022-01-08 04:00:00,14.322
2022-01-08 05:00:00,13.696
2022-01-08 06:00:00,12.923
2022-01-08 07:00:00,12.264
2022-01-08 08:00:00,10.798
2022-01-08 09:00:00,5.364
2022-01-08 10:00:00,2.799
2022-01-08 11:00:00,0.457
2022-01-08 12:00:00,0.01
2022-01-08 13:00:00,0.001
2022-01-08 14:00:00,0.004
2022-01-08 15:00:00,0.014
2022-01-08 16:00:00,0.01
2022-01-08 17:00:00,0.0
2022-01-08 18:00:00,0.0
2022-01-08 19:00:00,0.003
2022-01-08 20:00:00,0.31
2022-01-08 21:00:00,1.889
2022-01-08 22:00:00,2.986
2022-01-08 23:00:00,2.563
2022-01-09 00:00:00,1.598
2022-01-09 01:00:00,0.733
2022-01-09 02:00:00,0.339
2022-01-09 03:00:00,0.386
2022-01-09 04:00:00,0.636
2022-01-09 05:00:00,0.836
