time,electricity
2022-01-01 08:00:00,15.045
2022-01-01 09:00:00,15.126
2022-01-01 10:00:00,11.154
2022-01-01 11:00:00,34.206
2022-01-01 12:00:00,50.226
2022-01-01 13:00:00,60.003
2022-01-01 14:00:00,66.41
2022-01-01 15:00:00,68.712
2022-01-01 16:00:00,67.934
2022-01-01 17:00:00,61.189
2022-01-01 18:00:00,37.915
2022-01-01 19:00:00,13.078
2022-01-01 20:00:00,1.533
2022-01-01 21:00:00,0.014
2022-01-01 22:00:00,0.188
2022-01-01 23:00:00,2.71
2022-01-02 00:00:00,6.823
2022-01-02 01:00:00,9.789
2022-01-02 02:00:00,11.718
2022-01-02 03:00:00,12.657
2022-01-02 04:00:00,11.607
2022-01-02 05:00:00,6.942
2022-01-02 06:00:00,2.517
2022-01-02 07:00:00,0.733
2022-01-02 08:00:00,0.462
2022-01-02 09:00:00,0.304
2022-01-02 10:00:00,0.248
2022-01-02 11:00:00,3.299
2022-01-02 12:00:00,11.626
2022-01-02 13:00:00,25.828
2022-01-02 14:00:00,39.208
2022-01-02 15:00:00,46.573
2022-01-02 16:00:00,46.245
2022-01-02 17:00:00,41.81
2022-01-02 18:00:00,27.074
2022-01-02 19:00:00,12.946
2022-01-02 20:00:00,9.054
2022-01-02 21:00:00,15.205
2022-01-02 22:00:00,22.676
2022-01-02 23:00:00,26.779
2022-01-03 00:00:00,31.73
2022-01-03 01:00:00,37.361
2022-01-03 02:00:00,35.833
2022-01-03 03:00:00,27.526
2022-01-03 04:00:00,23.394
2022-01-03 05:00:00,16.694
2022-01-03 06:00:00,9.535
2022-01-03 07:00:00,3.605
2022-01-03 08:00:00,0.715
2022-01-03 09:00:00,0.164
2022-01-03 10:00:00,0.146
2022-01-03 11:00:00,2.102
2022-01-03 12:00:00,8.892
2022-01-03 13:00:00,20.942
2022-01-03 14:00:00,42.616
2022-01-03 15:00:00,69.785
2022-01-03 16:00:00,82.428
2022-01-03 17:00:00,83.61
2022-01-03 18:00:00,77.286
2022-01-03 19:00:00,57.833
2022-01-03 20:00:00,45.882
2022-01-03 21:00:00,44.207
2022-01-03 22:00:00,44.566
2022-01-03 23:00:00,42.971
2022-01-04 00:00:00,36.624
2022-01-04 01:00:00,27.636
2022-01-04 02:00:00,23.464
2022-01-04 03:00:00,26.582
2022-01-04 04:00:00,29.953
2022-01-04 05:00:00,31.514
2022-01-04 06:00:00,32.289
2022-01-04 07:00:00,33.911
2022-01-04 08:00:00,37.103
2022-01-04 09:00:00,32.884
2022-01-04 10:00:00,22.997
2022-01-04 11:00:00,53.542
2022-01-04 12:00:00,67.1
2022-01-04 13:00:00,75.864
2022-01-04 14:00:00,82.824
2022-01-04 15:00:00,82.985
2022-01-04 16:00:00,81.49
2022-01-04 17:00:00,76.824
2022-01-04 18:00:00,61.577
2022-01-04 19:00:00,50.894
2022-01-04 20:00:00,38.151
2022-01-04 21:00:00,27.422
2022-01-04 22:00:00,18.347
2022-01-04 23:00:00,13.817
2022-01-05 00:00:00,12.972
2022-01-05 01:00:00,9.965
2022-01-05 02:00:00,7.621
2022-01-05 03:00:00,9.002
2022-01-05 04:00:00,13.84
2022-01-05 05:00:00,17.35
2022-01-05 06:00:00,20.689
2022-01-05 07:00:00,22.606
2022-01-05 08:00:00,32.344
2022-01-05 09:00:00,55.278
2022-01-05 10:00:00,61.33
2022-01-05 11:00:00,90.291
2022-01-05 12:00:00,93.889
2022-01-05 13:00:00,91.12
2022-01-05 14:00:00,90.006
2022-01-05 15:00:00,90.556
2022-01-05 16:00:00,87.201
2022-01-05 17:00:00,77.291
2022-01-05 18:00:00,50.153
2022-01-05 19:00:00,25.825
2022-01-05 20:00:00,9.054
2022-01-05 21:00:00,1.97
2022-01-05 22:00:00,0.126
2022-01-05 23:00:00,0.005
2022-01-06 00:00:00,0.045
2022-01-06 01:00:00,1.093
2022-01-06 02:00:00,5.352
2022-01-06 03:00:00,10.48
2022-01-06 04:00:00,11.798
2022-01-06 05:00:00,12.798
2022-01-06 06:00:00,18.91
2022-01-06 07:00:00,20.53
2022-01-06 08:00:00,15.629
2022-01-06 09:00:00,9.86
2022-01-06 10:00:00,5.16
2022-01-06 11:00:00,14.34
2022-01-06 12:00:00,26.108
2022-01-06 13:00:00,34.448
2022-01-06 14:00:00,48.306
2022-01-06 15:00:00,59.939
2022-01-06 16:00:00,61.62
2022-01-06 17:00:00,55.393
2022-01-06 18:00:00,34.208
2022-01-06 19:00:00,20.763
2022-01-06 20:00:00,15.756
2022-01-06 21:00:00,15.63
2022-01-06 22:00:00,14.333
2022-01-06 23:00:00,12.693
2022-01-07 00:00:00,15.651
2022-01-07 01:00:00,26.366
2022-01-07 02:00:00,36.041
2022-01-07 03:00:00,37.528
2022-01-07 04:00:00,34.208
2022-01-07 05:00:00,33.017
2022-01-07 06:00:00,34.722
2022-01-07 07:00:00,35.058
2022-01-07 08:00:00,33.962
2022-01-07 09:00:00,28.462
2022-01-07 10:00:00,14.895
2022-01-07 11:00:00,32.885
2022-01-07 12:00:00,48.249
2022-01-07 13:00:00,57.695
2022-01-07 14:00:00,67.923
2022-01-07 15:00:00,74.684
2022-01-07 16:00:00,76.938
2022-01-07 17:00:00,71.021
2022-01-07 18:00:00,48.953
2022-01-07 19:00:00,31.763
2022-01-07 20:00:00,22.796
2022-01-07 21:00:00,16.699
2022-01-07 22:00:00,9.51
2022-01-07 23:00:00,4.466
2022-01-08 00:00:00,2.073
2022-01-08 01:00:00,1.942
2022-01-08 02:00:00,2.563
2022-01-08 03:00:00,2.571
2022-01-08 04:00:00,2.663
2022-01-08 05:00:00,2.396
2022-01-08 06:00:00,2.33
2022-01-08 07:00:00,2.652
2022-01-08 08:00:00,1.506
2022-01-08 09:00:00,0.338
2022-01-08 10:00:00,0.063
2022-01-08 11:00:00,3.831
2022-01-08 12:00:00,13.109
2022-01-08 13:00:00,24.972
2022-01-08 14:00:00,35.566
2022-01-08 15:00:00,42.97
2022-01-08 16:00:00,47.935
2022-01-08 17:00:00,45.379
2022-01-08 18:00:00,30.414
2022-01-08 19:00:00,15.149
2022-01-08 20:00:00,4.847
2022-01-08 21:00:00,0.395
2022-01-08 22:00:00,0.001
2022-01-08 23:00:00,0.134
2022-01-09 00:00:00,0.921
2022-01-09 01:00:00,1.0
2022-01-09 02:00:00,0.9440000000000001
2022-01-09 03:00:00,1.602
2022-01-09 04:00:00,3.176
2022-01-09 05:00:00,4.233
2022-01-09 06:00:00,4.42
2022-01-09 07:00:00,3.14
2022-01-09 08:00:00,3.862
2022-01-09 09:00:00,7.592
2022-01-09 10:00:00,9.168
2022-01-09 11:00:00,22.679
2022-01-09 12:00:00,40.419
2022-01-09 13:00:00,49.151
2022-01-09 14:00:00,57.782
2022-01-09 15:00:00,63.321
2022-01-09 16:00:00,63.321
2022-01-09 17:00:00,55.923
2022-01-09 18:00:00,32.701
2022-01-09 19:00:00,14.812
2022-01-09 20:00:00,5.427
2022-01-09 21:00:00,1.633
2022-01-09 22:00:00,0.346
2022-01-09 23:00:00,0.032
2022-01-10 00:00:00,0.001
2022-01-10 01:00:00,0.001
2022-01-10 02:00:00,0.064
2022-01-10 03:00:00,0.8210000000000001
2022-01-10 04:00:00,1.601
2022-01-10 05:00:00,1.537
2022-01-10 06:00:00,1.267
2022-01-10 07:00:00,1.107
2022-01-10 08:00:00,1.027
2022-01-10 09:00:00,0.74
2022-01-10 10:00:00,1.146
2022-01-10 11:00:00,8.049
2022-01-10 12:00:00,19.213
2022-01-10 13:00:00,29.149
2022-01-10 14:00:00,39.535
2022-01-10 15:00:00,45.669
2022-01-10 16:00:00,43.612
2022-01-10 17:00:00,34.84
2022-01-10 18:00:00,20.702
2022-01-10 19:00:00,9.241
2022-01-10 20:00:00,3.879
2022-01-10 21:00:00,1.12
2022-01-10 22:00:00,0.047
2022-01-10 23:00:00,0.0
2022-01-11 00:00:00,0.042
2022-01-11 01:00:00,2.298
2022-01-11 02:00:00,15.82
2022-01-11 03:00:00,40.504
2022-01-11 04:00:00,55.278
2022-01-11 05:00:00,62.26
2022-01-11 06:00:00,59.383
2022-01-11 07:00:00,64.636
2022-01-11 08:00:00,64.466
2022-01-11 09:00:00,53.463
2022-01-11 10:00:00,57.088
2022-01-11 11:00:00,77.889
2022-01-11 12:00:00,75.646
2022-01-11 13:00:00,77.363
2022-01-11 14:00:00,80.493
2022-01-11 15:00:00,82.374
2022-01-11 16:00:00,82.672
2022-01-11 17:00:00,77.421
2022-01-11 18:00:00,52.721
2022-01-11 19:00:00,28.921
2022-01-11 20:00:00,16.472
2022-01-11 21:00:00,9.521
2022-01-11 22:00:00,6.412
2022-01-11 23:00:00,7.402
2022-01-12 00:00:00,11.948
2022-01-12 01:00:00,22.031
2022-01-12 02:00:00,37.377
2022-01-12 03:00:00,42.715
2022-01-12 04:00:00,36.409
2022-01-12 05:00:00,27.676
2022-01-12 06:00:00,15.084
2022-01-12 07:00:00,7.855
2022-01-12 08:00:00,4.869
2022-01-12 09:00:00,3.839
2022-01-12 10:00:00,11.476
2022-01-12 11:00:00,33.925
2022-01-12 12:00:00,50.951
2022-01-12 13:00:00,62.968
2022-01-12 14:00:00,71.273
2022-01-12 15:00:00,74.038
2022-01-12 16:00:00,71.352
2022-01-12 17:00:00,58.394
2022-01-12 18:00:00,35.256
2022-01-12 19:00:00,15.198
2022-01-12 20:00:00,5.116
2022-01-12 21:00:00,0.999
2022-01-12 22:00:00,0.194
2022-01-12 23:00:00,0.106
2022-01-13 00:00:00,0.074
2022-01-13 01:00:00,0.173
2022-01-13 02:00:00,1.6
2022-01-13 03:00:00,6.337
2022-01-13 04:00:00,19.721
2022-01-13 05:00:00,15.14
2022-01-13 06:00:00,10.424
2022-01-13 07:00:00,6.878
2022-01-13 08:00:00,3.542
2022-01-13 09:00:00,3.139
2022-01-13 10:00:00,3.72
2022-01-13 11:00:00,4.116
2022-01-13 12:00:00,6.559
2022-01-13 13:00:00,11.31
2022-01-13 14:00:00,18.849
2022-01-13 15:00:00,29.146
2022-01-13 16:00:00,37.027
2022-01-13 17:00:00,37.167
2022-01-13 18:00:00,24.477
2022-01-13 19:00:00,5.678
2022-01-13 20:00:00,1.015
2022-01-13 21:00:00,1.18
2022-01-13 22:00:00,3.08
2022-01-13 23:00:00,5.256
2022-01-14 00:00:00,6.777
2022-01-14 01:00:00,9.115
2022-01-14 02:00:00,13.795
2022-01-14 03:00:00,24.369
2022-01-14 04:00:00,43.032
2022-01-14 05:00:00,57.032
2022-01-14 06:00:00,58.192
2022-01-14 07:00:00,52.029
2022-01-14 08:00:00,37.275
2022-01-14 09:00:00,19.848
2022-01-14 10:00:00,27.776
2022-01-14 11:00:00,65.169
2022-01-14 12:00:00,79.948
2022-01-14 13:00:00,89.233
2022-01-14 14:00:00,94.37
2022-01-14 15:00:00,96.412
2022-01-14 16:00:00,96.728
2022-01-14 17:00:00,94.097
2022-01-14 18:00:00,81.826
2022-01-14 19:00:00,64.836
2022-01-14 20:00:00,50.155
2022-01-14 21:00:00,33.157
2022-01-14 22:00:00,19.031
2022-01-14 23:00:00,10.197
2022-01-15 00:00:00,5.08
2022-01-15 01:00:00,3.194
2022-01-15 02:00:00,2.375
2022-01-15 03:00:00,1.454
2022-01-15 04:00:00,1.116
2022-01-15 05:00:00,0.561
2022-01-15 06:00:00,0.12
2022-01-15 07:00:00,0.063
2022-01-15 08:00:00,0.208
2022-01-15 09:00:00,0.68
2022-01-15 10:00:00,5.566
2022-01-15 11:00:00,19.044
2022-01-15 12:00:00,39.838
2022-01-15 13:00:00,59.677
2022-01-15 14:00:00,73.326
2022-01-15 15:00:00,79.789
2022-01-15 16:00:00,82.103
2022-01-15 17:00:00,81.357
2022-01-15 18:00:00,75.134
2022-01-15 19:00:00,54.141
2022-01-15 20:00:00,47.991
2022-01-15 21:00:00,43.274
2022-01-15 22:00:00,50.849
2022-01-15 23:00:00,49.151
2022-01-16 00:00:00,37.615
2022-01-16 01:00:00,27.354
2022-01-16 02:00:00,19.209
2022-01-16 03:00:00,13.067
2022-01-16 04:00:00,9.672
2022-01-16 05:00:00,7.928
2022-01-16 06:00:00,6.573
2022-01-16 07:00:00,5.184
2022-01-16 08:00:00,4.237
2022-01-16 09:00:00,2.654
2022-01-16 10:00:00,2.344
2022-01-16 11:00:00,6.389
2022-01-16 12:00:00,10.611
2022-01-16 13:00:00,17.145
2022-01-16 14:00:00,23.843
2022-01-16 15:00:00,28.384
2022-01-16 16:00:00,29.379
2022-01-16 17:00:00,26.086
2022-01-16 18:00:00,16.608
2022-01-16 19:00:00,6.812
2022-01-16 20:00:00,4.071
2022-01-16 21:00:00,4.923
2022-01-16 22:00:00,7.292
2022-01-16 23:00:00,8.739
2022-01-17 00:00:00,8.844
2022-01-17 01:00:00,8.764
2022-01-17 02:00:00,8.504
2022-01-17 03:00:00,8.469
2022-01-17 04:00:00,8.721
2022-01-17 05:00:00,9.015
2022-01-17 06:00:00,9.053
2022-01-17 07:00:00,9.056
2022-01-17 08:00:00,9.428
2022-01-17 09:00:00,9.359
2022-01-17 10:00:00,6.841
2022-01-17 11:00:00,18.031
2022-01-17 12:00:00,22.336
2022-01-17 13:00:00,25.827
2022-01-17 14:00:00,33.288
2022-01-17 15:00:00,42.105
2022-01-17 16:00:00,46.213
2022-01-17 17:00:00,40.918
2022-01-17 18:00:00,23.924
2022-01-17 19:00:00,12.425
2022-01-17 20:00:00,5.999
2022-01-17 21:00:00,1.838
2022-01-17 22:00:00,0.402
2022-01-17 23:00:00,1.347
2022-01-18 00:00:00,5.384
2022-01-18 01:00:00,10.793
2022-01-18 02:00:00,15.641
2022-01-18 03:00:00,18.742
2022-01-18 04:00:00,19.443
2022-01-18 05:00:00,18.938
2022-01-18 06:00:00,17.768
2022-01-18 07:00:00,15.731
2022-01-18 08:00:00,13.618
2022-01-18 09:00:00,9.736
2022-01-18 10:00:00,5.668
2022-01-18 11:00:00,13.991
2022-01-18 12:00:00,17.152
2022-01-18 13:00:00,18.033
2022-01-18 14:00:00,18.44
