time,electricity
2022-01-01 08:00:00,3.2
2022-01-01 09:00:00,1.149
2022-01-01 10:00:00,3.454
2022-01-01 11:00:00,8.223
2022-01-01 12:00:00,9.563
2022-01-01 13:00:00,11.334
2022-01-01 14:00:00,14.652
2022-01-01 15:00:00,19.058
2022-01-01 16:00:00,23.072
2022-01-01 17:00:00,23.716
2022-01-01 18:00:00,28.356
2022-01-01 19:00:00,33.121
2022-01-01 20:00:00,34.963
2022-01-01 21:00:00,38.02
2022-01-01 22:00:00,37.307
2022-01-01 23:00:00,33.966
2022-01-02 00:00:00,24.438
2022-01-02 01:00:00,16.912
2022-01-02 02:00:00,12.711
2022-01-02 03:00:00,10.589
2022-01-02 04:00:00,9.862
2022-01-02 05:00:00,9.554
2022-01-02 06:00:00,9.136
2022-01-02 07:00:00,8.804
2022-01-02 08:00:00,8.209
2022-01-02 09:00:00,4.372
2022-01-02 10:00:00,20.012
2022-01-02 11:00:00,25.919
2022-01-02 12:00:00,26.583
2022-01-02 13:00:00,27.892
2022-01-02 14:00:00,28.922
2022-01-02 15:00:00,28.766
2022-01-02 16:00:00,29.337
2022-01-02 17:00:00,29.377
2022-01-02 18:00:00,35.261
2022-01-02 19:00:00,42.157
2022-01-02 20:00:00,45.923
2022-01-02 21:00:00,49.151
2022-01-02 22:00:00,52.255
2022-01-02 23:00:00,49.743
2022-01-03 00:00:00,38.894
2022-01-03 01:00:00,32.361
2022-01-03 02:00:00,27.437
2022-01-03 03:00:00,21.473
2022-01-03 04:00:00,16.059
2022-01-03 05:00:00,13.346
2022-01-03 06:00:00,12.172
2022-01-03 07:00:00,12.0
2022-01-03 08:00:00,11.224
2022-01-03 09:00:00,8.286
2022-01-03 10:00:00,27.989
2022-01-03 11:00:00,39.032
2022-01-03 12:00:00,41.798
2022-01-03 13:00:00,43.911
2022-01-03 14:00:00,46.835
2022-01-03 15:00:00,49.37
2022-01-03 16:00:00,47.992
2022-01-03 17:00:00,42.533
2022-01-03 18:00:00,42.969
2022-01-03 19:00:00,45.314
2022-01-03 20:00:00,46.043
2022-01-03 21:00:00,43.613
2022-01-03 22:00:00,39.282
2022-01-03 23:00:00,34.204
2022-01-04 00:00:00,30.178
2022-01-04 01:00:00,30.01
2022-01-04 02:00:00,30.036
2022-01-04 03:00:00,27.899
2022-01-04 04:00:00,25.254
2022-01-04 05:00:00,21.602
2022-01-04 06:00:00,20.906
2022-01-04 07:00:00,21.601
2022-01-04 08:00:00,21.014
2022-01-04 09:00:00,22.799
2022-01-04 10:00:00,53.089
2022-01-04 11:00:00,64.738
2022-01-04 12:00:00,69.641
2022-01-04 13:00:00,72.439
2022-01-04 14:00:00,73.126
2022-01-04 15:00:00,68.739
2022-01-04 16:00:00,56.956
2022-01-04 17:00:00,43.142
2022-01-04 18:00:00,40.674
2022-01-04 19:00:00,43.355
2022-01-04 20:00:00,44.159
2022-01-04 21:00:00,38.753
2022-01-04 22:00:00,34.591
2022-01-04 23:00:00,30.994
2022-01-05 00:00:00,26.366
2022-01-05 01:00:00,20.838
2022-01-05 02:00:00,17.173
2022-01-05 03:00:00,17.399
2022-01-05 04:00:00,18.647
2022-01-05 05:00:00,18.036
2022-01-05 06:00:00,16.097
2022-01-05 07:00:00,14.4
2022-01-05 08:00:00,11.673
2022-01-05 09:00:00,4.826000000000001
2022-01-05 10:00:00,18.653
2022-01-05 11:00:00,23.719
2022-01-05 12:00:00,24.657
2022-01-05 13:00:00,23.72
2022-01-05 14:00:00,22.311
2022-01-05 15:00:00,23.001
