time,electricity
2022-01-01 08:00:00,10.175
2022-01-01 09:00:00,12.234
2022-01-01 10:00:00,12.71
2022-01-01 11:00:00,11.451
2022-01-01 12:00:00,8.147
2022-01-01 13:00:00,4.785
2022-01-01 14:00:00,3.13
2022-01-01 15:00:00,4.711
2022-01-01 16:00:00,10.873
2022-01-01 17:00:00,15.869
2022-01-01 18:00:00,15.965
2022-01-01 19:00:00,15.76
2022-01-01 20:00:00,19.112
2022-01-01 21:00:00,26.435
2022-01-01 22:00:00,33.583
2022-01-01 23:00:00,46.87
2022-01-02 00:00:00,70.078
2022-01-02 01:00:00,94.716
2022-01-02 02:00:00,115.741
2022-01-02 03:00:00,126.224
2022-01-02 04:00:00,127.427
2022-01-02 05:00:00,123.603
2022-01-02 06:00:00,116.072
2022-01-02 07:00:00,106.503
2022-01-02 08:00:00,99.254
2022-01-02 09:00:00,102.724
2022-01-02 10:00:00,107.199
2022-01-02 11:00:00,103.082
2022-01-02 12:00:00,93.827
2022-01-02 13:00:00,86.177
2022-01-02 14:00:00,80.146
2022-01-02 15:00:00,72.449
2022-01-02 16:00:00,61.784
2022-01-02 17:00:00,51.178
2022-01-02 18:00:00,39.492
2022-01-02 19:00:00,26.825
2022-01-02 20:00:00,15.993
2022-01-02 21:00:00,8.78
2022-01-02 22:00:00,4.902
2022-01-02 23:00:00,3.11
2022-01-03 00:00:00,1.83
2022-01-03 01:00:00,1.051
2022-01-03 02:00:00,0.615
2022-01-03 03:00:00,0.463
2022-01-03 04:00:00,0.461
2022-01-03 05:00:00,0.216
2022-01-03 06:00:00,0.026
2022-01-03 07:00:00,0.001
2022-01-03 08:00:00,0.0
2022-01-03 09:00:00,0.0
2022-01-03 10:00:00,0.0
2022-01-03 11:00:00,0.0
2022-01-03 12:00:00,0.003
2022-01-03 13:00:00,0.005
2022-01-03 14:00:00,0.001
2022-01-03 15:00:00,0.001
2022-01-03 16:00:00,0.025
2022-01-03 17:00:00,0.46
2022-01-03 18:00:00,2.404
2022-01-03 19:00:00,5.443
2022-01-03 20:00:00,8.169
2022-01-03 21:00:00,8.82
2022-01-03 22:00:00,6.391
2022-01-03 23:00:00,3.22
2022-01-04 00:00:00,1.041
2022-01-04 01:00:00,0.209
2022-01-04 02:00:00,0.199
2022-01-04 03:00:00,2.394
2022-01-04 04:00:00,10.479
2022-01-04 05:00:00,22.483
2022-01-04 06:00:00,36.341
2022-01-04 07:00:00,45.32
2022-01-04 08:00:00,47.132
2022-01-04 09:00:00,49.525
2022-01-04 10:00:00,48.968
2022-01-04 11:00:00,44.11
2022-01-04 12:00:00,43.527
2022-01-04 13:00:00,46.13
2022-01-04 14:00:00,52.751
2022-01-04 15:00:00,64.04
2022-01-04 16:00:00,77.88
2022-01-04 17:00:00,104.311
2022-01-04 18:00:00,131.421
2022-01-04 19:00:00,146.871
2022-01-04 20:00:00,160.433
2022-01-04 21:00:00,164.085
2022-01-04 22:00:00,158.082
2022-01-04 23:00:00,161.654
2022-01-05 00:00:00,171.939
2022-01-05 01:00:00,185.352
2022-01-05 02:00:00,188.882
2022-01-05 03:00:00,181.875
2022-01-05 04:00:00,183.121
2022-01-05 05:00:00,195.237
2022-01-05 06:00:00,205.49
2022-01-05 07:00:00,208.973
2022-01-05 08:00:00,211.369
2022-01-05 09:00:00,214.799
2022-01-05 10:00:00,188.972
2022-01-05 11:00:00,132.115
2022-01-05 12:00:00,88.741
2022-01-05 13:00:00,74.097
2022-01-05 14:00:00,60.136
2022-01-05 15:00:00,39.848
2022-01-05 16:00:00,42.582
2022-01-05 17:00:00,104.311
2022-01-05 18:00:00,194.586
2022-01-05 19:00:00,239.15
2022-01-05 20:00:00,250.713
2022-01-05 21:00:00,244.274
2022-01-05 22:00:00,234.3
2022-01-05 23:00:00,224.618
2022-01-06 00:00:00,217.493
2022-01-06 01:00:00,219.007
2022-01-06 02:00:00,224.654
